SampleName,riskScore,riskClass
TCGA-DD-A4NA_129,0.874423760447549,low
TCGA-DD-A4NB_130,0.752579264303311,low
TCGA-DD-A4ND_131,1.06269261334125,low
TCGA-DD-A4NE_132,1.05138800023271,low
TCGA-DD-A4NF_133,3.8665238719471,high
TCGA-DD-A4NG_134,0.872881416785969,low
TCGA-DD-A4NI_135,0.46477472169225,low
TCGA-DD-A4NJ_136,0.954198692061227,low
TCGA-DD-A4NK_137,0.532449694793008,low
TCGA-DD-A4NL_138,0.76182041657229,low
TCGA-DD-A4NN_139,1.22704080334831,low
TCGA-DD-A4NO_140,0.601424403825369,low
TCGA-DD-A4NP_141,0.978656061395665,low
TCGA-DD-A4NQ_142,3.19188065639089,high
TCGA-DD-A4NS_143,0.957739170857192,low
TCGA-DD-A4NV_144,0.555494085758792,low
TCGA-DD-A73A_145,0.508562485146659,low
TCGA-DD-A73B_146,1.03251506539434,low
TCGA-DD-A73C_147,0.669807322883413,low
TCGA-DD-A73D_148,0.839762097716225,low
TCGA-DD-A73E_149,0.752579264303311,low
TCGA-DD-A73G_150,0.956953787020627,low
TCGA-DD-AA3A_151,2.24096105207249,high
TCGA-DD-AAC8_152,25.3463318767576,high
TCGA-DD-AAC9_153,0.559430639961485,low
TCGA-DD-AACA_154,1.11705594302734,low
TCGA-DD-AACB_155,0.972576311940389,low
TCGA-DD-AACD_156,1.21146753591935,low
TCGA-DD-AACE_157,0.697563978442497,low
TCGA-DD-AACF_158,0.969091787263535,low
TCGA-DD-AACG_159,1.47154334229973,high
TCGA-DD-AACH_160,1.6440421292548,high
TCGA-DD-AACI_161,0.608902788589611,low
TCGA-DD-AACJ_162,1.07068923900547,low
TCGA-DD-AACK_163,0.738105636777427,low
TCGA-DD-AACL_164,5.25796175108698,high
TCGA-DD-AACN_165,0.772774501669752,low
TCGA-DD-AACO_166,0.828235366692128,low
TCGA-DD-AACP_167,3.75428352631956,high
TCGA-DD-AACQ_168,0.511263075016702,low
TCGA-DD-AACS_169,0.503204025160837,low
TCGA-DD-AACT_170,0.920215960803275,low
TCGA-DD-AACU_171,0.550612323836854,low
TCGA-DD-AACV_172,1.17816410870083,low
TCGA-DD-AACW_173,1.11896436489133,low
TCGA-DD-AACX_174,1.03498128337575,low
TCGA-DD-AACY_175,0.634135574787126,low
TCGA-DD-AACZ_176,3.13734494052208,high
TCGA-DD-AAD0_177,0.970804130483166,low
TCGA-DD-AAD1_178,0.748939544129359,low
TCGA-DD-AAD2_179,0.942479473337827,low
TCGA-DD-AAD3_180,0.606756668699246,low
TCGA-DD-AAD5_181,2.70922630119164,high
TCGA-DD-AAD6_182,0.85230538957904,low
TCGA-DD-AAD8_183,0.616721522568866,low
TCGA-DD-AADA_184,0.577493222546369,low
TCGA-DD-AADB_185,1.18406652121814,low
TCGA-DD-AADC_186,2.72152366348215,high
TCGA-DD-AADD_187,1.32381472322562,low
TCGA-DD-AADF_188,1.13896046568556,low
TCGA-DD-AADG_189,0.471385390552735,low
TCGA-DD-AADI_190,0.77550783253261,low
TCGA-DD-AADJ_191,0.663920959792039,low
TCGA-DD-AADK_192,0.731619058280258,low
