"name","selected","shared name"
"RPL38","false","RPL38"
"RPL35A","false","RPL35A"
"RPL36AL","false","RPL36AL"
"RPL24","false","RPL24"
"RPL14","false","RPL14"
"RPL6","false","RPL6"
"RPL21","false","RPL21"
"RPL34","false","RPL34"
"RPL31","false","RPL31"
"RPL27","false","RPL27"
