"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009063","BP","GO:0009063","amino acid catabolic process","34/618","111/18986",0.306306306306306,9.41024519665296,16.3002877010565,4.31540587364588e-24,1.70811610671402e-21,1.36854115457057e-21,"TAT/ALDH6A1/ABAT/AASS/HPD/OTC/SHMT1/HAAO/DAO/MAT1A/GPT/PIPOX/GPT2/SARDH/CDO1/AGXT2/AGXT/ALDH8A1/SDS/GSTZ1/ADHFE1/ACMSD/AMDHD1/HDC/TDO2/AADAT/ARG1/KMO/GLS2/IDO2/PRODH/CBS/UROC1/GAD1",34
"GO:0016053","BP","GO:0016053","organic acid biosynthetic process","55/618","334/18986",0.164670658682635,5.05895975040211,13.7275766618035,1.55921985307018e-23,5.65736936688965e-21,4.53267946760929e-21,"CYP8B1/SLC27A5/ABAT/SLC27A2/ACSM2A/ACSM5/AASS/ABCB11/CYP2C8/CTH/INSIG1/OTC/PDK4/SHMT1/HAAO/ACSM2B/CYP4F11/APOA5/HAO1/BHMT/ACOX2/LIPG/CYP3A4/CYP4A22/CYP2C9/FMO3/UPB1/CYP4A11/CDO1/AGXT2/ACADL/CYP7B1/AGXT/ALDH8A1/SDS/ACMSD/NAGS/APOC3/CPS1/AKR1D1/CES1/PYCR1/KMO/GLS2/CYP2D6/CYP39A1/AVPR1A/CBS/CYP7A1/ELOVL7/CYP1A1/GAD1/ACSM1/CYP1A2/GSTM1",55
"GO:0006520","BP","GO:0006520","amino acid metabolic process","51/618","289/18986",0.176470588235294,5.42147344374643,13.8930814293449,2.68478221767069e-23,8.99195521210629e-21,7.20434677681025e-21,"TAT/ALDH6A1/GLYATL1/ABAT/AASS/GLYAT/HPD/CTH/SLC16A2/OTC/SHMT1/HAAO/DAO/MAT1A/HAO1/BHMT/GPT/PIPOX/GPT2/SARDH/UPB1/CDO1/AGXT2/IYD/AGXT/ALDH8A1/SDS/GSTZ1/ADHFE1/ACMSD/GNMT/AMDHD1/NAGS/DIO1/CPS1/HDC/TDO2/AADAT/TTC36/ARG1/PYCR1/KMO/GLS2/IDO2/OCA2/PRODH/SLC7A11/CBS/UROC1/GAD1/ASPG",51
"GO:0046394","BP","GO:0046394","carboxylic acid biosynthetic process","54/618","331/18986",0.163141993957704,5.01199659754202,13.5065841638728,6.34912617876535e-23,1.97457824159602e-20,1.58203038770138e-20,"CYP8B1/SLC27A5/ABAT/SLC27A2/ACSM2A/ACSM5/AASS/ABCB11/CYP2C8/CTH/INSIG1/OTC/PDK4/SHMT1/HAAO/ACSM2B/CYP4F11/APOA5/HAO1/BHMT/ACOX2/LIPG/CYP3A4/CYP4A22/CYP2C9/UPB1/CYP4A11/CDO1/AGXT2/ACADL/CYP7B1/AGXT/ALDH8A1/SDS/ACMSD/NAGS/APOC3/CPS1/AKR1D1/CES1/PYCR1/KMO/GLS2/CYP2D6/CYP39A1/AVPR1A/CBS/CYP7A1/ELOVL7/CYP1A1/GAD1/ACSM1/CYP1A2/GSTM1",54
"GO:0042445","BP","GO:0042445","hormone metabolic process","45/618","241/18986",0.186721991701245,5.73641380977319,13.5732560093604,1.03766304584941e-21,3.01198993441888e-19,2.41320374311925e-19,"RDH16/HSD17B6/CYP2C8/SLC16A2/ENPEP/UGT2B7/ADH1B/CYP3A4/UGT2B10/GHR/CYP2C9/ADH4/SULT2A1/ADH1C/IYD/ALDH8A1/DIO1/SRD5A2/UGT2B15/ESR1/RDH5/AKR1D1/AFP/SULT1B1/UGT1A1/UGT1A3/ADH1A/CYP2D6/PCSK1N/CYP19A1/BCO2/MEP1A/CYP11A1/UGT1A9/CYP26B1/REN/ACE2/HSD3B1/CYP1A1/SPP1/CYP26A1/MME/SULT1E1/CYP1A2/CYP17A1",45
"GO:0008202","BP","GO:0008202","steroid metabolic process","52/618","334/18986",0.155688622754491,4.78301649128927,12.7943246768819,3.67877152638721e-21,1.00108570161812e-18,8.02069002529421e-19,"CYP8B1/SLC27A5/SEC14L2/SLC27A2/HSD11B1/CYP2A6/TSKU/RDH16/HSD17B6/ABCB11/CYP2C8/INSIG1/NR1I2/APOA5/ACOX2/UGT2B7/CYP3A4/CYP2B6/BDH1/UGT2B10/CYP2C9/SULT2A1/ACADL/CYP7B1/APOF/PON1/SRD5A2/UGT2B15/ESR1/RDH5/AKR1D1/AFP/CES1/LEPR/UGT1A4/LCAT/UGT1A1/UGT1A3/CYP2D6/CYP19A1/CYP3A43/CYP11A1/CYP39A1/NR0B1/CYP7A1/HSD3B1/CYP1A1/SPP1/SULT1E1/CYP1A2/CYP17A1/AQP8",52
"GO:0006631","BP","GO:0006631","fatty acid metabolic process","56/618","405/18986",0.138271604938272,4.24793639378321,12.119064265598,3.43326809039579e-20,8.79320545034311e-18,7.04510863874406e-18,"PCK2/SLC27A5/CYP4F2/CES2/SLC27A2/ACSM2A/CYP2A6/EHHADH/ACSM5/ABCB11/CYP2C8/INSIG1/PDK4/FMO4/PCK1/ACSM2B/ACSL1/CYP4F11/APOA5/HAO1/ACOX2/LIPG/CYP4F3/CYP3A4/CYP4A22/CYP2B6/ABCC9/CYP2C9/ADH4/CYP4A11/ACADL/ACOT12/APOC3/PPARGC1A/HAO2/SOX9/CES1/ECHDC3/MFSD2A/UGT1A4/UGT1A1/FMO2/UGT1A3/GSTA1/CYP2D6/CYP2A13/UGT1A9/ACSL4/CYP2A7/AVPR1A/CYP7A1/ELOVL7/CYP1A1/ACSM1/CYP1A2/GSTM1",56
"GO:0170035","BP","GO:0170035","L-amino acid catabolic process","25/618","75/18986",0.333333333333333,10.2405609492988,14.7075496520105,4.62268879465738e-19,1.11817705621879e-16,8.95882495058161e-17,"TAT/AASS/HPD/SHMT1/DAO/MAT1A/GPT/PIPOX/GPT2/CDO1/AGXT2/AGXT/ALDH8A1/SDS/GSTZ1/ADHFE1/AMDHD1/HDC/AADAT/ARG1/GLS2/PRODH/CBS/UROC1/GAD1",25
"GO:0170040","BP","GO:0170040","proteinogenic amino acid catabolic process","24/618","71/18986",0.338028169014085,10.3847942021058,14.5317981888795,1.63010678402731e-18,3.73551838823942e-16,2.99289411759916e-16,"TAT/AASS/HPD/SHMT1/DAO/MAT1A/GPT/PIPOX/GPT2/CDO1/AGXT2/AGXT/SDS/GSTZ1/ADHFE1/AMDHD1/HDC/AADAT/ARG1/GLS2/PRODH/CBS/UROC1/GAD1",24
"GO:0042180","BP","GO:0042180","cellular ketone metabolic process","37/618","237/18986",0.156118143459916,4.79621209017793,10.7870871977057,1.99928385947999e-15,4.35244096208794e-13,3.48717195279826e-13,"CYP4F2/HSD17B6/ABCB11/GPD1/INSIG1/PDK4/FMO4/CYP4F11/APOA5/BHMT/CYP2B6/ADH4/ACADL/ALDH8A1/ACMSD/APOC3/PPARGC1A/SRD5A2/TDO2/SOX9/AFP/CES1/AADAT/MFSD2A/KMO/UGT1A4/UGT1A1/FMO2/UGT1A3/CYP19A1/IDO2/CYP11A1/UGT1A9/SLC7A11/AVPR1A/CYP7A1/CYP17A1",37
