,IDO1,CD274,HAVCR2,PDCD1,CTLA4,LAG3,PDCD1LG2
IDO1,0,0.0439991046142329,0.000242384357612832,1.47734120865114e-08,4.0804807592967e-10,0.610294951971305,0.0231000979081273
CD274,0.0439991046142329,0,0.0010174567002168,0.117498173533137,0.0182080794494942,0.234275363179738,6.42345894516851e-07
HAVCR2,0.000242384357612832,0.0010174567002168,0,0.00135006469956544,3.3693541265162e-05,0.0840949540012264,2.27444999520331e-05
PDCD1,1.47734120865114e-08,0.117498173533137,0.00135006469956544,0,5.7310445654343e-14,0.0617436774284359,0.0198741473951825
CTLA4,4.0804807592967e-10,0.0182080794494942,3.3693541265162e-05,5.7310445654343e-14,0,0.807344272967111,0.0800151108738864
LAG3,0.610294951971305,0.234275363179738,0.0840949540012264,0.0617436774284359,0.807344272967111,0,0.00651330976766288
PDCD1LG2,0.0231000979081273,6.42345894516851e-07,2.27444999520331e-05,0.0198741473951825,0.0800151108738864,0.00651330976766288,0
