"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"CAIRO_HEPATOBLASTOMA_DN","CAIRO_HEPATOBLASTOMA_DN","CAIRO_HEPATOBLASTOMA_DN",242,-0.74988109636576,-2.95508904029965,1e-10,7.76268656716418e-09,6.74469756480754e-09,1416,"tags=55%, list=11%, signal=50%","715/5827/5106/283/30845/360/6999/8647/1491/563/731/23498/7498/875/115817/10221/1316/51279/2021/10555/55664/34/5606/9970/2203/6653/90634/25987/3486/445/132/978/80765/51011/54941/11326/10249/2158/56548/2822/10891/2639/3398/5054/10402/85453/3556/10157/54923/10998/390/4837/1557/6342/2690/2308/319/2166/8631/33/25854/729/10449/4783/178/760/133/55753/10020/10400/2819/6505/10171/22849/8835/5502/6715/8608/6716/57447/10894/10912/57134/55107/54762/30/1558/11199/27165/1071/1969/5625/283537/3931/5858/1893/57733/5745/653808/3598/2998/2027/735/51179/2213/10/1776/6580/2954/9848/3752/7433/4499/55576/51302/8547/1393/6718/64388/3483/5348/1555/1548/2642/9547/3084/8424/51266/1592/8685/2220/10332/1544"
"CHIANG_LIVER_CANCER_SUBCLASS_PROLIFERATION_UP","CHIANG_LIVER_CANCER_SUBCLASS_PROLIFERATION_UP","CHIANG_LIVER_CANCER_SUBCLASS_PROLIFERATION_UP",161,0.764211718862574,2.8844657985001,1e-10,7.76268656716418e-09,6.74469756480754e-09,1018,"tags=53%, list=8%, signal=49%","6286/4224/4751/2118/1033/83540/220134/4321/259266/51514/1063/55355/7153/24137/55635/9787/79733/55872/983/9928/7272/28982/84002/9232/11065/4288/1852/701/9133/10112/11004/991/332/990/54443/79801/9212/146909/150468/11156/10403/1062/55227/891/100133941/2305/9493/83879/55789/113130/55165/890/174/6297/10643/9319/80150/64105/6790/3070/11130/898/2146/23171/8317/79075/1820/10970/5355/79993/55824/4318/29127/1894/2539/55215/55771/157378/5984/3832/57181/4085/5603/22974/57167"
"ROSTY_CERVICAL_CANCER_PROLIFERATION_CLUSTER","ROSTY_CERVICAL_CANCER_PROLIFERATION_CLUSTER","ROSTY_CERVICAL_CANCER_PROLIFERATION_CLUSTER",128,0.786830711795527,2.88364180780326,1e-10,7.76268656716418e-09,6.74469756480754e-09,1806,"tags=73%, list=14%, signal=64%","4751/259266/51514/1063/1058/55355/7153/24137/9787/79733/55872/983/64151/4605/9928/699/7272/9232/11065/9833/4288/701/9133/10112/11004/991/332/990/79801/9212/146909/56992/54821/6241/3161/10403/1062/5347/891/51512/2305/3833/79019/1869/9493/83461/55165/890/55143/9319/29028/10721/9134/6790/9837/55388/55723/3070/11130/8836/8208/2146/23397/3159/899/29127/1894/6491/55215/81831/9700/3832/4085/5603/22974/51053/10615/1763/4173/3838/124222/10635/2237/7083/84296/23649/4001/1789/27338/9585/1111/4171/11339/10460"
"SOTIRIOU_BREAST_CANCER_GRADE_1_VS_3_UP","SOTIRIOU_BREAST_CANCER_GRADE_1_VS_3_UP","SOTIRIOU_BREAST_CANCER_GRADE_1_VS_3_UP",133,0.780981237183665,2.87464352665901,1e-10,7.76268656716418e-09,6.74469756480754e-09,1362,"tags=60%, list=11%, signal=54%","4751/1033/9156/259266/1063/1058/55355/7153/24137/9787/79733/983/64151/4605/9928/699/7272/9232/11065/9833/10024/4288/701/9133/10112/11004/991/332/9212/2491/146909/56992/641/6241/3161/10403/1062/5347/891/51512/2305/3833/1869/83461/55165/890/55143/9319/10721/8318/9134/7296/6790/9837/55388/11130/2146/79075/23397/29127/9088/1894/6491/7295/25788/993/5984/4175/9700/3832/4085/5888/3925/22974/10615/4173/3838/10963/5440/2237"
"BLANCO_MELO_BRONCHIAL_EPITHELIAL_CELLS_INFLUENZA_A_DEL_NS1_INFECTION_DN","BLANCO_MELO_BRONCHIAL_EPITHELIAL_CELLS_INFLUENZA_A_DEL_NS1_INFECTION_DN","BLANCO_MELO_BRONCHIAL_EPITHELIAL_CELLS_INFLUENZA_A_DEL_NS1_INFECTION_DN",150,0.764572491245263,2.87109023860374,1e-10,7.76268656716418e-09,6.74469756480754e-09,1653,"tags=67%, list=13%, signal=59%","55247/995/4751/1033/83540/220134/9156/9245/51514/1063/55355/7153/24137/79733/64151/4605/9928/7272/29089/221150/9232/11065/10024/701/9133/10112/11004/57405/332/990/54443/79801/9212/2491/146909/56992/641/54821/157313/6241/3161/1062/5347/2305/3833/2187/79019/1869/83879/374393/29128/55789/113130/83461/6941/55165/890/55143/7516/81624/146956/81620/8318/6790/8438/55388/55723/11130/79968/63967/724102/8317/23397/10293/100129405/9088/5287/55215/55771/993/3832/11169/5888/8629/284403/79915/10615/4173/113235/79172/51702/2237/7083/10733/5933/84296/91057/84733/55422/4001/80263"
"KONG_E2F3_TARGETS","KONG_E2F3_TARGETS","KONG_E2F3_TARGETS",86,0.782508215392947,2.69880723727862,1e-10,7.76268656716418e-09,6.74469756480754e-09,1469,"tags=59%, list=11%, signal=53%","10642/128239/83540/1063/55355/7153/55635/9787/55872/64151/699/29089/11065/9833/4288/701/10112/11004/57405/991/990/79801/54821/3161/5347/891/113130/83461/890/64105/6790/8438/55723/898/8208/2146/8317/23397/899/29127/60674/64946/3832/5888/22974/1763/1871/10635/2237/7083/5933"
"FLORIO_NEOCORTEX_BASAL_RADIAL_GLIA_DN","FLORIO_NEOCORTEX_BASAL_RADIAL_GLIA_DN","FLORIO_NEOCORTEX_BASAL_RADIAL_GLIA_DN",162,0.70742409428039,2.67437067649564,1e-10,7.76268656716418e-09,6.74469756480754e-09,1204,"tags=55%, list=9%, signal=50%","128239/4751/1033/83540/220134/9156/259266/51514/2903/1063/1058/55355/7153/24137/55635/9787/79733/55872/983/4605/9928/699/7272/29089/221150/9232/729533/11065/9833/10024/4288/701/9133/10112/11004/57405/991/332/54443/79801/9212/146909/56992/150468/641/157313/6241/3161/10403/1062/5347/891/51512/2305/3833/81930/79019/9493/55789/113130/83461/55143/7516/10721/8318/64105/6790/9824/91687/9837/7412/11130/9235/23397/157570/10293/29127/286827/55215/55771/9700/3832/4085/22974/10615/2177/3838/7035/9735"
"WHITEFORD_PEDIATRIC_CANCER_MARKERS","WHITEFORD_PEDIATRIC_CANCER_MARKERS","WHITEFORD_PEDIATRIC_CANCER_MARKERS",102,0.755659305421418,2.67336028235835,1e-10,7.76268656716418e-09,6.74469756480754e-09,1638,"tags=57%, list=13%, signal=50%","4751/83540/1063/1058/7153/9787/55872/983/4605/9928/699/7272/29089/9232/11065/9833/4288/9133/332/157313/6241/1062/891/4613/1869/83879/29128/113130/890/55143/29028/10721/8318/6790/55723/9401/11130/8836/2882/23397/91975/5427/993/5984/9700/3832/4085/3925/22974/4173/3838/26586/3608/7083/10733/4830/91057/1786"
"ZHAN_MULTIPLE_MYELOMA_PR_UP","ZHAN_MULTIPLE_MYELOMA_PR_UP","ZHAN_MULTIPLE_MYELOMA_PR_UP",40,0.890598128027137,2.65989938125863,1e-10,7.76268656716418e-09,6.74469756480754e-09,971,"tags=85%, list=8%, signal=79%","4100/4751/83540/220134/259266/7153/9787/79733/983/9928/7272/29089/11065/701/9133/57405/332/6241/891/2305/147841/55789/9319/6790/91687/55388/2146/79075/29127/4102/55215/55771/5984/22974"
"CROONQUIST_IL6_DEPRIVATION_DN","CROONQUIST_IL6_DEPRIVATION_DN","CROONQUIST_IL6_DEPRIVATION_DN",91,0.754850652026278,2.64921279222843,1e-10,7.76268656716418e-09,6.74469756480754e-09,1783,"tags=63%, list=14%, signal=54%","1033/1058/7153/983/4605/9928/699/6696/9232/11065/4288/701/9133/11004/57405/991/990/9212/11156/6241/3161/1062/5347/891/2305/3833/890/9319/8318/9134/6790/9837/11130/8836/23397/3159/10293/899/6491/55215/5427/993/3832/4085/3925/22974/10615/4173/3838/9735/2487/7083/10733/1111/4171/11339/5983"
"ZHOU_CELL_CYCLE_GENES_IN_IR_RESPONSE_24HR","ZHOU_CELL_CYCLE_GENES_IN_IR_RESPONSE_24HR","ZHOU_CELL_CYCLE_GENES_IN_IR_RESPONSE_24HR",109,0.737292741609852,2.6489036657571,1e-10,7.76268656716418e-09,6.74469756480754e-09,1281,"tags=45%, list=10%, signal=41%","55247/4751/1033/83540/9156/259266/1063/1058/7153/55635/9787/79733/983/4605/699/7272/29089/9232/11065/9833/9133/10112/57405/991/332/54443/3161/891/3833/1869/9493/29128/55165/890/55143/9319/64105/8438/2146/29127/5984/3930/3832/4085/27101/10615/3838/9735/26586"
"FISCHER_G2_M_CELL_CYCLE","FISCHER_G2_M_CELL_CYCLE","FISCHER_G2_M_CELL_CYCLE",214,0.675247719954162,2.64548491408911,1e-10,7.76268656716418e-09,6.74469756480754e-09,1081,"tags=35%, list=8%, signal=32%","26256/2182/55247/128239/995/4751/83540/51804/259266/1063/1058/55355/7153/55635/55872/983/9928/699/7272/9232/11065/9833/10024/4288/701/9133/10112/11004/991/332/54443/79801/9212/146909/56992/150468/157313/3161/10403/1062/5347/891/51512/2305/3833/81930/9493/55789/83461/55165/890/55143/330/9319/10721/6790/9824/91687/80119/1464/23397/899/29127/286827/1894/6491/3930/9700/3832/4085/81610/22974/10615/3915"
"MEBARKI_HCC_PROGENITOR_FZD8CRD_UP","MEBARKI_HCC_PROGENITOR_FZD8CRD_UP","MEBARKI_HCC_PROGENITOR_FZD8CRD_UP",415,0.62471312981784,2.6219474599289,1e-10,7.76268656716418e-09,6.74469756480754e-09,1903,"tags=45%, list=15%, signal=39%","2786/115584/995/4751/1033/83540/220134/9156/221662/259266/9369/23657/1058/55287/55355/7153/387597/24137/9787/79733/55872/983/64151/4605/9928/699/7272/29089/221150/9232/9833/10024/4288/701/7161/157753/10112/11004/57405/991/332/990/54443/79801/9212/114787/2491/56992/150468/641/2810/54821/5522/6241/3161/10403/1062/5347/891/51512/2305/3833/81930/56704/2187/23551/79019/1869/9493/83879/147841/374393/29128/55789/113130/148213/83461/6941/55165/890/26150/201299/55143/81624/9319/29028/10721/8318/9134/55653/10675/6790/84675/9824/91687/8438/9837/55388/8682/55723/10389/11130/79968/51435/2571/8208/85462/8038/2146/8317/286826/151887/1820/5137/387103/157570/3225/27124/10293/27085/899/84933/286827/9088/4277/1894/6491/11022/9015/25788/55215/5427/55771/993/5984/9700/64946/3832/25902/4085/11169/5888/27101/3925/81610/22974/284403/79862/1763/54898/3838/9735/79172/65055/54058/64853/4436/7083/10733/5933/23649/91057/2119/29899/9915/56666/4001/84986/1789/4907/9585/1111/64837/79750/4171/580/11339/5983/10460/64849/6002/11262/6710/55038/64919"
"DESERT_STEM_CELL_HEPATOCELLULAR_CARCINOMA_SUBCLASS_UP","DESERT_STEM_CELL_HEPATOCELLULAR_CARCINOMA_SUBCLASS_UP","DESERT_STEM_CELL_HEPATOCELLULAR_CARCINOMA_SUBCLASS_UP",224,0.661856145542018,2.61739461535712,1e-10,7.76268656716418e-09,6.74469756480754e-09,2247,"tags=51%, list=17%, signal=43%","4224/6690/79574/6364/2781/1690/4321/8875/6091/1058/55355/7153/9787/4897/4320/983/64151/699/7272/6696/9232/11065/10024/701/10112/11004/56992/641/7429/1062/55227/79019/9493/55165/10644/7188/6297/22943/9319/80150/3070/5168/5909/2882/7262/9456/7086/23171/7371/10970/11015/5355/4318/29127/84561/2539/55353/993/3930/3832/5603/22974/65244/9654/10615/3915/9804/58526/9898/26986/3958/6541/27347/3321/6132/7534/822/79888/55656/3608/10635/1282/55127/79666/1462/2119/483/1786/8754/4072/55689/50807/4171/7037/57472/10460/1277/5747/5050/5646/1290/54498/4172/8439/9181/64943/7169/10007/3646/51366/2131/4082/1192/3682"
"ODONNELL_TFRC_TARGETS_DN","ODONNELL_TFRC_TARGETS_DN","ODONNELL_TFRC_TARGETS_DN",106,0.73269570515964,2.61324630294799,1e-10,7.76268656716418e-09,6.74469756480754e-09,1146,"tags=47%, list=9%, signal=43%","1033/259266/1063/1058/7153/24137/55635/9787/2191/983/4605/9928/699/7272/4288/701/10112/57405/991/332/990/54443/79801/9212/150468/54821/6241/3161/10403/1062/5347/891/51512/2305/55789/55165/890/81624/6790/9824/3070/6319/23397/1894/25788/5427/3832/81610/1763/2177"
"LIAO_METASTASIS","LIAO_METASTASIS","LIAO_METASTASIS",476,0.610180671693471,2.5984562153609,1e-10,7.76268656716418e-09,6.74469756480754e-09,2767,"tags=45%, list=22%, signal=37%","57016/4224/6690/4100/26256/1728/6819/1917/55247/2786/55061/64208/7546/83540/4321/771/9245/342035/9536/80201/6091/23657/55355/55612/4897/4320/4605/84002/25984/135228/1852/701/5324/256714/332/146909/11156/9829/55740/51512/2305/2634/55356/79019/1869/83879/4133/54852/10644/55283/147645/7188/22943/10643/9319/222962/29028/80150/10518/55653/26471/1122/8438/286128/115908/444/898/2744/57210/7086/10417/2146/8317/10970/1837/3159/5355/10154/57655/114818/1894/57538/6535/54751/3985/53335/11182/7280/23381/2539/25788/3673/55771/157378/170394/60674/81831/57181/25902/5603/6464/23236/8706/89795/6692/619279/23246/8629/9654/283373/30837/10312/378938/6272/7784/7286/9898/5738/23513/206358/94234/92344/9601/27347/3321/126969/3927/822/58528/117145/92912/1992/55656/3234/5361/55630/23144/30846/54732/302/90993/6334/8463/1462/84733/56977/128553/84062/80821/91404/50807/580/10460/114991/256281/1277/5747/5050/54520/64778/54498/9764/3654/8439/9181/26147/29901/163590/2192/9647/199953/7220/90990/5154/3796/2122/9668/6405/7169/11123/10007/283131/4862/54621/1159/65109/1278/126789/9816/10525/55205/5595/9448/9231/22900/160851/55466/54662/29789/1841/6646/5450/84343/9130/2521/3842/5163/5125/64857/57720/26229/29894/5757/23531/93099"
"LEE_EARLY_T_LYMPHOCYTE_UP","LEE_EARLY_T_LYMPHOCYTE_UP","LEE_EARLY_T_LYMPHOCYTE_UP",86,0.75240557953539,2.59498569276903,1e-10,7.76268656716418e-09,6.74469756480754e-09,918,"tags=62%, list=7%, signal=58%","55247/4751/1033/83540/259266/51514/1058/7153/9787/79733/55872/983/64151/9928/699/7272/29089/9232/11065/9833/4288/701/9133/10112/11004/332/146909/56992/157313/6241/3161/10403/891/29128/83461/55165/1870/81624/29028/6790/9837/55388/8836/144455/2672/79075/387103/23022/6509/55215/55771/993/3832"
"DESERT_PERIPORTAL_HEPATOCELLULAR_CARCINOMA_SUBCLASS_UP","DESERT_PERIPORTAL_HEPATOCELLULAR_CARCINOMA_SUBCLASS_UP","DESERT_PERIPORTAL_HEPATOCELLULAR_CARCINOMA_SUBCLASS_UP",152,-0.702494557555104,-2.59047248167359,1e-10,7.76268656716418e-09,6.74469756480754e-09,1870,"tags=59%, list=15%, signal=51%","64081/10993/2110/22977/2542/5105/4018/1559/8564/1962/32/217/715/5106/55268/6999/1491/563/731/875/115817/3818/9970/64577/2203/2053/6653/445/978/10249/6694/2158/2639/1647/1579/10998/2690/319/6898/33/25854/729/55753/10020/2861/10400/2819/56898/6505/22849/8835/26999/8608/6716/57447/57134/55107/64816/54762/635/1558/11199/27165/283537/10351/3931/1893/57733/443/730/2998/735/6296/51179/10/1776/6580/2954/9848/7433/57817/1393/6718/3483/148/5348/3781/2099/219595"
"ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_DN","ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_DN","ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_DN",237,-0.659372629527702,-2.58009218638845,1e-10,7.76268656716418e-09,6.74469756480754e-09,1858,"tags=45%, list=14%, signal=39%","23203/26751/51332/10613/8553/83452/60370/22977/90231/558/3394/1559/132884/3155/5104/10653/595/633/123/563/79001/10221/51279/1805/79777/4547/554235/65018/3818/23179/2646/2203/2053/123879/29950/3486/25837/978/25878/6694/2158/56548/10891/8425/8858/79720/23645/10013/1847/4061/64651/2690/375775/2166/4929/8631/147/4651/28992/55753/84913/93436/11185/2819/4489/26999/54825/57447/56907/10912/4239/30/1958/256764/1969/79658/80704/3931/26227/5745/4502/730/2353/2027/735/10/9172/1776/6580/387742/4494/7433/4499/2354/57817/55576/10164/8547/7069/3483/4501/4495/2642/8424/84879/169355/1544"
"WINNEPENNINCKX_MELANOMA_METASTASIS_UP","WINNEPENNINCKX_MELANOMA_METASTASIS_UP","WINNEPENNINCKX_MELANOMA_METASTASIS_UP",142,0.691817201337186,2.57110259704108,1e-10,7.76268656716418e-09,6.74469756480754e-09,1305,"tags=39%, list=10%, signal=36%","55247/4751/1033/83540/9156/259266/1063/1058/7153/9787/983/64151/699/29089/9232/9833/9133/11004/57405/332/990/54443/79801/146909/6241/10403/891/29128/113130/55165/55143/29028/8318/6790/10052/8438/11130/79075/23397/29127/1894/65265/9015/5984/4175/3832/27101/51053/3308/10615/3309/4173/3838/9735/27253/3329"
"SHEDDEN_LUNG_CANCER_POOR_SURVIVAL_A6","SHEDDEN_LUNG_CANCER_POOR_SURVIVAL_A6","SHEDDEN_LUNG_CANCER_POOR_SURVIVAL_A6",392,0.611360961293631,2.55620839897058,1e-10,7.76268656716418e-09,6.74469756480754e-09,1833,"tags=34%, list=14%, signal=30%","55247/5307/995/4751/1033/220134/9156/4321/1280/259266/51514/1063/1058/55355/7153/24137/55635/9787/6623/79733/55872/983/64151/4605/9928/699/7272/9232/11065/9833/10024/4288/1852/701/9133/10112/11004/57405/991/332/990/79801/9212/2491/146909/56992/54821/6241/3161/10403/1062/891/51512/2305/81930/2842/79019/9493/8614/83461/55165/890/55143/174/10643/9319/81620/29028/8318/9134/6790/112399/8438/9837/55388/9401/3070/11130/79968/8836/898/6319/2146/8317/11082/23397/3159/7138/29127/4102/55215/5563/5427/993/81831/5984/4175/3832/4085/80086/11169/3925/22974/284403/10615/1763/7277/4173/3838/9735/26586/10635/2764/7278/1031/7083/10733/5933/4603/4830/84296/7517/29899/6648/4001/28998/27338/1111/55689/11339/5983/10460/3559"
"HOFFMANN_LARGE_TO_SMALL_PRE_BII_LYMPHOCYTE_UP","HOFFMANN_LARGE_TO_SMALL_PRE_BII_LYMPHOCYTE_UP","HOFFMANN_LARGE_TO_SMALL_PRE_BII_LYMPHOCYTE_UP",134,0.687778918823122,2.53435495604732,1e-10,7.76268656716418e-09,6.74469756480754e-09,1508,"tags=44%, list=12%, signal=39%","995/4751/1033/1058/55355/7153/24137/9787/79733/983/699/7272/29089/11065/9833/4288/9133/10112/11004/991/54443/9212/6241/10403/1062/891/3833/9493/113130/83461/890/9319/8318/6790/91687/8438/55388/3070/10267/898/8208/23397/29127/1894/4175/51582/11169/5888/3925/1763/80128/3838/64710/2237/1031/7083/10733/5933/6944"
"CROONQUIST_NRAS_SIGNALING_DN","CROONQUIST_NRAS_SIGNALING_DN","CROONQUIST_NRAS_SIGNALING_DN",67,0.76668518694916,2.52949422241541,1e-10,7.76268656716418e-09,6.74469756480754e-09,1783,"tags=61%, list=14%, signal=53%","995/1033/1058/7153/983/4605/9232/11065/4288/701/9133/11004/57405/991/990/9212/11156/10403/5347/891/2305/890/9319/6790/9837/11130/23397/3159/10293/6491/3832/3925/22974/10615/4173/7083/10733/1111/4171/11339/5983"
"GOBERT_OLIGODENDROCYTE_DIFFERENTIATION_UP","GOBERT_OLIGODENDROCYTE_DIFFERENTIATION_UP","GOBERT_OLIGODENDROCYTE_DIFFERENTIATION_UP",487,0.59376167793869,2.52207160459427,1e-10,7.76268656716418e-09,6.74469756480754e-09,1783,"tags=39%, list=14%, signal=35%","128239/995/4751/1033/83540/220134/9156/259266/51514/1063/1058/55355/7153/24137/55635/9787/55872/983/64151/27092/4605/699/7272/29089/221150/9232/729533/11065/9833/10024/4288/701/9133/10112/11004/340719/57405/991/332/990/79801/9212/2491/146909/150468/641/54821/157313/6241/3161/10403/1062/5347/891/51512/2305/3833/81930/2842/79019/1869/9493/83879/147841/29128/55789/113130/83461/4133/6941/55165/890/201299/55143/1870/7516/146956/9319/81620/29028/8318/9134/64105/6507/6790/9824/91687/8438/9837/55388/55723/9401/3070/286128/79968/26031/63967/444/898/83463/8208/144455/80119/2146/8317/286826/79075/23397/387103/157570/54997/10293/899/29127/286827/9088/5420/1894/23022/6491/55215/5427/55771/5984/4175/9700/64946/3832/4085/11169/5888/3925/81610/22974/619279/9654/284403/51053/79915/10615/378938/1763/2177/80028/54492/4173/26986/3838/9735/64710/3927/26586/10635/2237/57559/6608/9761/54865/51377/64853/1031/23380/7083/10733/5933/56256/302/4603/55746/23649/1462/91057/4254/25936/1786/79856/4001/57673/3984/84986/9585/9788/1111/2335/4171/11266/11339/5983"
"CHEMNITZ_RESPONSE_TO_PROSTAGLANDIN_E2_UP","CHEMNITZ_RESPONSE_TO_PROSTAGLANDIN_E2_UP","CHEMNITZ_RESPONSE_TO_PROSTAGLANDIN_E2_UP",119,0.691004311405717,2.50978409459165,1e-10,7.76268656716418e-09,6.74469756480754e-09,1956,"tags=50%, list=15%, signal=42%","128239/1033/259266/1063/55355/7153/9787/64151/699/7272/221150/9232/11065/4288/701/9133/10112/332/990/11156/6241/1062/891/51512/29128/5820/29028/8318/6790/10052/8682/55723/79968/23397/528/57655/7163/55771/79005/169611/376267/22974/10615/3313/4173/6541/6132/57559/23367/7083/3604/63941/4001/27338/580/8694/57504/11260/8439"
"VILLANUEVA_LIVER_CANCER_KRT19_UP","VILLANUEVA_LIVER_CANCER_KRT19_UP","VILLANUEVA_LIVER_CANCER_KRT19_UP",146,0.671387385804422,2.50558457859041,1e-10,7.76268656716418e-09,6.74469756480754e-09,1737,"tags=43%, list=14%, signal=38%","55355/7153/24137/9787/64151/699/7272/169044/9232/9833/10024/4288/10112/11004/991/54443/29944/56992/150468/641/10403/1062/145741/81930/79019/9493/55789/83461/55165/55143/1040/8438/9837/55388/11130/2146/8317/1820/23397/91975/1894/6491/55215/993/4175/5603/3925/22974/57167/1763/339500/9735/79172/79140/6940/10733/29899/4001/100289635/83871/9891/9585/580"
"FUJII_YBX1_TARGETS_DN","FUJII_YBX1_TARGETS_DN","FUJII_YBX1_TARGETS_DN",182,0.653525432507284,2.50558088668687,1e-10,7.76268656716418e-09,6.74469756480754e-09,2082,"tags=45%, list=16%, signal=38%","55247/995/1033/9156/1280/259266/9536/51514/7153/24137/55635/4605/9833/701/57405/990/79801/5522/6241/55740/2305/56704/9493/83879/29128/55789/6941/58191/22943/9319/81620/29028/64105/55388/55723/3070/11130/144455/2878/23397/1837/899/4277/5911/25788/55215/5427/993/11320/5984/4175/3832/1836/4085/5888/157506/2177/4173/7035/9532/2237/6745/7083/655/10733/4603/23649/7517/4001/1111/4171/11339/5983/669/5611/5747/11270/3978/4172/26147/83990/51659"
"HORIUCHI_WTAP_TARGETS_DN","HORIUCHI_WTAP_TARGETS_DN","HORIUCHI_WTAP_TARGETS_DN",275,0.621881241369812,2.48915190232005,1e-10,7.76268656716418e-09,6.74469756480754e-09,1076,"tags=29%, list=8%, signal=27%","5865/4751/1033/83540/259266/1058/55355/7153/24137/55635/9787/55872/983/64151/4605/9928/699/7272/221150/9232/11065/9833/10024/4288/701/9133/10112/11004/57405/991/332/54443/9212/146909/150468/157313/6241/3161/10403/5347/55740/891/51512/2305/79019/9493/147841/29128/83461/55165/890/55143/22943/9319/6790/55154/114907/55723/3070/6713/2744/5137/387103/3159/5355/29127/23089/55771/3930/9700/3832/821/4085/3320/81610/22974/51053/10615/7257"
"WHITFIELD_CELL_CYCLE_LITERATURE","WHITFIELD_CELL_CYCLE_LITERATURE","WHITFIELD_CELL_CYCLE_LITERATURE",44,0.818834198587372,2.48813536151483,1e-10,7.76268656716418e-09,6.74469756480754e-09,907,"tags=59%, list=7%, signal=55%","995/1033/1063/1058/7153/983/699/701/9133/10112/991/332/990/6241/5347/891/1869/890/8318/9134/6790/898/899/29127/993/4175"
"BENPORATH_PROLIFERATION","BENPORATH_PROLIFERATION","BENPORATH_PROLIFERATION",126,0.676603261898079,2.47782629752947,1e-10,7.76268656716418e-09,6.74469756480754e-09,1999,"tags=52%, list=16%, signal=45%","4751/1033/83540/9156/259266/51514/1063/1058/7153/55872/983/64151/4605/699/7272/29089/9232/9133/332/54443/6241/10403/1062/79019/83879/113130/81620/29028/6790/8438/29097/8208/2146/142/2/29127/9088/5984/3930/4085/5888/3925/3964/375/10615/80232/5692/3838/58528/1476/3608/10635/4436/5202/29899/84079/7159/65005/7818/2178/4171/7037/9141/4172/9603/1054"
"NAKAYAMA_SOFT_TISSUE_TUMORS_PCA2_UP","NAKAYAMA_SOFT_TISSUE_TUMORS_PCA2_UP","NAKAYAMA_SOFT_TISSUE_TUMORS_PCA2_UP",73,0.737547889110232,2.47158027507633,1e-10,7.76268656716418e-09,6.74469756480754e-09,971,"tags=55%, list=8%, signal=51%","5307/4751/1033/51176/1280/259266/1063/1058/55355/7153/9787/55872/983/699/11065/9833/4288/9133/10112/11004/991/332/6241/3161/1301/1062/891/51512/1944/55165/890/55143/6756/333/23397/5355/4102/9700/3832/22974"
"ZHOU_CELL_CYCLE_GENES_IN_IR_RESPONSE_6HR","ZHOU_CELL_CYCLE_GENES_IN_IR_RESPONSE_6HR","ZHOU_CELL_CYCLE_GENES_IN_IR_RESPONSE_6HR",76,0.731793299935726,2.46536587860198,1e-10,7.76268656716418e-09,6.74469756480754e-09,1024,"tags=43%, list=8%, signal=40%","4751/9156/51514/1058/219790/9787/79733/4605/7272/29089/10112/3833/1869/29128/113130/55165/890/55143/9319/81620/64105/8438/8208/2146/29127/5984/3930/4175/3832/4085/11169/5888/51053"
"KOBAYASHI_EGFR_SIGNALING_24HR_DN","KOBAYASHI_EGFR_SIGNALING_24HR_DN","KOBAYASHI_EGFR_SIGNALING_24HR_DN",229,0.622520343970569,2.46188621801075,1e-10,7.76268656716418e-09,6.74469756480754e-09,1737,"tags=45%, list=14%, signal=40%","4751/1033/9156/259266/51514/1058/55355/7153/24137/55635/9787/79733/55872/983/64151/4605/9928/699/7272/11065/9833/4288/701/11004/57405/991/332/990/79801/9212/146909/56992/641/54821/6241/3161/10403/5347/891/51512/79019/1869/9493/83461/55165/890/55143/22943/9319/81620/29028/8318/9134/6790/9837/55388/55723/3070/11130/7262/2146/79075/23397/7371/899/29127/9088/1894/6491/7280/25788/55215/5427/3655/993/81831/5984/4175/9700/3832/4085/5888/22974/51053/10615/4173/3838/51018/10635/2237/4436/7083/10733/4603/4830/23649/2119/29899/4001/27338/4907/4171/580"
"KANG_DOXORUBICIN_RESISTANCE_UP","KANG_DOXORUBICIN_RESISTANCE_UP","KANG_DOXORUBICIN_RESISTANCE_UP",48,0.79527757413271,2.45164061059963,1e-10,7.76268656716418e-09,6.74469756480754e-09,1772,"tags=85%, list=14%, signal=74%","1728/1033/259266/1058/55355/7153/24137/55872/983/64151/699/4288/701/991/332/990/6241/3161/5347/2305/79019/55143/29028/10721/6790/9837/55723/11130/79075/55215/5984/4085/22974/4173/10635/7083/10733/23649/4001/580/11339"
"GAVIN_FOXP3_TARGETS_CLUSTER_P6","GAVIN_FOXP3_TARGETS_CLUSTER_P6","GAVIN_FOXP3_TARGETS_CLUSTER_P6",84,0.715438956846201,2.4464003227396,1e-10,7.76268656716418e-09,6.74469756480754e-09,1570,"tags=54%, list=12%, signal=47%","4751/83540/259266/1063/55872/983/64151/699/701/9133/10112/11004/57405/991/332/9212/6241/3161/1062/5347/891/147841/113130/83461/55165/890/55143/10643/64105/6790/8438/55388/63967/9108/5888/22974/10615/3958/63874/55630/7083/655/9094/367/3604"
