"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"MEISSNER_NPC_HCP_WITH_H3K4ME2","MEISSNER_NPC_HCP_WITH_H3K4ME2","MEISSNER_NPC_HCP_WITH_H3K4ME2",348,0.330680768993311,1.36012818436731,0.00280767198029839,0.0374567386474834,0.0325447088138205,1687,"tags=24%, list=13%, signal=21%","2719/10814/65266/2781/2900/64208/7015/1280/64641/128178/3706/2774/84002/2318/9133/256714/29993/114787/22996/3754/9829/2662/57125/25903/146/56265/123036/7421/10518/9926/10570/59352/56033/375323/8788/5909/1780/9615/51308/85462/8437/55203/23566/126669/3159/23762/51087/1311/10079/53335/11182/57586/9108/23138/84883/4185/388121/4828/23604/54898/9024/2257/29937/3234/11000/118788/84532/10723/5744/51085/655/56256/8323/9143/302/90993/9094/64761/54020/79856/100/4072"
"GESERICK_TERT_TARGETS_DN","GESERICK_TERT_TARGETS_DN","GESERICK_TERT_TARGETS_DN",21,-0.68103803142103,-1.77090967330662,0.00300090078045747,0.039871469878736,0.03464277521315,2807,"tags=76%, list=22%, signal=60%","2006/64332/1848/54206/9314/8553/1839/3726/7071/7538/4783/4616/1959/3164/10912/2354"
"WP_ESTROGEN_RECEPTOR_PATHWAY","WP_ESTROGEN_RECEPTOR_PATHWAY","WP_ESTROGEN_RECEPTOR_PATHWAY",13,-0.754151080234325,-1.71655884845116,0.00300511751441348,0.039871469878736,0.03464277521315,637,"tags=54%, list=5%, signal=51%","5105/51/5166/3725/1543/2099/1544"
"BLANCO_MELO_SARS_COV_1_INFECTION_MCR5_CELLS_UP","BLANCO_MELO_SARS_COV_1_INFECTION_MCR5_CELLS_UP","BLANCO_MELO_SARS_COV_1_INFECTION_MCR5_CELLS_UP",10,0.813170884228146,1.8293630809839,0.00305827706705619,0.0404735344166902,0.0351658857610077,670,"tags=60%, list=5%, signal=57%","259266/1063/9928/1062/374393/11082"
"ICHIBA_GRAFT_VERSUS_HOST_DISEASE_D7_DN","ICHIBA_GRAFT_VERSUS_HOST_DISEASE_D7_DN","ICHIBA_GRAFT_VERSUS_HOST_DISEASE_D7_DN",34,-0.606214258683329,-1.74602546235738,0.00308895210203433,0.0407757357428441,0.0354284567834181,1105,"tags=29%, list=9%, signal=27%","64359/3990/1579/2690/284541/8608/30/3977/1555/8842"
"SIMBULAN_PARP1_TARGETS_DN","SIMBULAN_PARP1_TARGETS_DN","SIMBULAN_PARP1_TARGETS_DN",16,0.712583753835498,1.78172196531089,0.00311570007380521,0.0409801163456448,0.0356060351697251,2688,"tags=69%, list=21%, signal=54%","6696/9133/991/891/890/3925/1786/27338/3148/5557/5111"
"BURTON_ADIPOGENESIS_PEAK_AT_16HR","BURTON_ADIPOGENESIS_PEAK_AT_16HR","BURTON_ADIPOGENESIS_PEAK_AT_16HR",40,0.563038176286832,1.68159448083266,0.0031228233134215,0.0409801163456448,0.0356060351697251,2280,"tags=45%, list=18%, signal=37%","990/6241/83879/55723/3070/8208/3159/4175/5888/4173/2237/23649/1462/1786/4172/283871/3148/63901"
"REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS","REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS","REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS",99,-0.453607073587294,-1.57946610692845,0.00312807271471274,0.0409801163456448,0.0356060351697251,2811,"tags=29%, list=22%, signal=23%","9110/7048/93/9958/7040/659/56937/25937/11167/92/9611/57530/1025/268/4092/4093/8812/5590/4609/3624/3726/130399/5054/23645/4091/658/64388/27302/2658"
"PID_FOXM1_PATHWAY","PID_FOXM1_PATHWAY","PID_FOXM1_PATHWAY",39,0.5721659062039,1.6996638521086,0.00313602764032815,0.0409811049179565,0.0356068941019009,574,"tags=31%, list=4%, signal=29%","4751/1063/1058/983/9133/332/9212/5347/891/2305/890/898"
"REACTOME_RESOLUTION_OF_D_LOOP_STRUCTURES_THROUGH_SYNTHESIS_DEPENDENT_STRAND_ANNEALING_SDSA","REACTOME_RESOLUTION_OF_D_LOOP_STRUCTURES_THROUGH_SYNTHESIS_DEPENDENT_STRAND_ANNEALING_SDSA","REACTOME_RESOLUTION_OF_D_LOOP_STRUCTURES_THROUGH_SYNTHESIS_DEPENDENT_STRAND_ANNEALING_SDSA",21,0.674424921766521,1.77222962148821,0.00318698909876221,0.0413546411700099,0.0359314452772954,2072,"tags=43%, list=16%, signal=36%","9156/641/7516/5888/1763/10635/7517/580/83990"
"KEGG_PRION_DISEASES","KEGG_PRION_DISEASES","KEGG_PRION_DISEASES",33,-0.595304158276526,-1.69819835622158,0.00317885388207809,0.0413546411700099,0.0359314452772954,1974,"tags=42%, list=15%, signal=36%","713/712/714/5604/731/3553/729/2534/3569/1958/4685/730/735/4684"
"REACTOME_SUMOYLATION_OF_DNA_REPLICATION_PROTEINS","REACTOME_SUMOYLATION_OF_DNA_REPLICATION_PROTEINS","REACTOME_SUMOYLATION_OF_DNA_REPLICATION_PROTEINS",43,0.551613355664467,1.67506568278068,0.00318846589293866,0.0413546411700099,0.0359314452772954,3197,"tags=33%, list=25%, signal=25%","7153/332/9212/55143/6790/55746/10401/9631/7175/5111/23636/23225/348995/3619"
"MARTORIATI_MDM4_TARGETS_NEUROEPITHELIUM_DN","MARTORIATI_MDM4_TARGETS_NEUROEPITHELIUM_DN","MARTORIATI_MDM4_TARGETS_NEUROEPITHELIUM_DN",106,-0.443233522215303,-1.56766872159286,0.0032488056947276,0.0420324338763141,0.0365203530962702,2144,"tags=38%, list=17%, signal=32%","257068/4094/114625/3400/2824/1910/713/1436/58476/5602/54764/6886/401152/84460/8153/121512/912/1524/8320/23270/5999/57348/9734/6304/10563/340419/2534/8618/4360/5156/5101/429/219623/9464/3696/2353/57633/1602/64388/8715"
"TSENG_IRS1_TARGETS_UP","TSENG_IRS1_TARGETS_UP","TSENG_IRS1_TARGETS_UP",90,0.453551777439044,1.5902997212952,0.00331286497295194,0.0427548653209009,0.0371480457852493,2251,"tags=37%, list=18%, signal=30%","157855/2191/4605/2583/699/6696/100133941/2634/56265/26471/6713/8788/116832/7371/55824/60674/6383/3308/58526/6300/3313/3234/2237/10987/80230/669/1649/5154/47/6932/3910/10056/4256"
"MARTINEZ_RESPONSE_TO_TRABECTEDIN_DN","MARTINEZ_RESPONSE_TO_TRABECTEDIN_DN","MARTINEZ_RESPONSE_TO_TRABECTEDIN_DN",252,0.3530847042173,1.3993083233265,0.0033445541441094,0.0430569953057252,0.0374105548219428,2930,"tags=25%, list=23%, signal=19%","995/51514/7153/983/699/29089/11065/5324/54443/5347/55165/890/10644/7296/6790/94241/8878/7371/6894/84933/25788/3930/3832/2181/58526/1009/9532/8548/3336/9453/1462/10808/126626/5862/26230/10915/8476/4172/1186/9181/2339/5519/10728/5558/4862/10213/83943/9231/5501/8473/8697/5111/5861/7112/9184/10564/5706/28985/26278/1022/1633/26091"
"BROWNE_HCMV_INFECTION_2HR_UP","BROWNE_HCMV_INFECTION_2HR_UP","BROWNE_HCMV_INFECTION_2HR_UP",33,-0.591735203253183,-1.68801735299859,0.00335844828691133,0.0431291099758663,0.0374732124644843,1024,"tags=33%, list=8%, signal=31%","90634/1675/2921/467/4929/3164/4239/1958/8013/2353/107"
"WILCOX_RESPONSE_TO_PROGESTERONE_UP","WILCOX_RESPONSE_TO_PROGESTERONE_UP","WILCOX_RESPONSE_TO_PROGESTERONE_UP",119,0.419644056008527,1.52418148450849,0.00337416703372741,0.0432242432079219,0.0375558700435359,1089,"tags=21%, list=8%, signal=19%","259266/1063/55355/7153/24137/9787/55872/983/64151/9133/10112/991/990/79801/6241/3161/10403/891/55165/6319/23089/55215/11169/3964/50650"
