"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"HALLMARK_G2M_CHECKPOINT","HALLMARK_G2M_CHECKPOINT","HALLMARK_G2M_CHECKPOINT",180,0.636825496208234,2.44874985098629,1e-10,2.5e-09,1.78947368421053e-09,1806,"tags=38%, list=14%, signal=33%","1950/4751/1033/9156/1063/1058/7153/24137/55872/983/4605/699/7272/9232/11065/10024/4288/9133/11004/991/332/990/9212/56992/3161/10403/1062/5347/1869/9493/890/1870/10721/8318/6790/8438/6713/2146/8317/7371/3159/10293/899/29127/6491/993/3930/4175/9700/3832/4085/3925/22974/1871/3838/6541/1031/10733/5933/23649/4001/27338/9585/1111/4171/580/5885/10460"
"HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS",186,0.63653668555174,2.44144284110518,1e-10,2.5e-09,1.78947368421053e-09,1997,"tags=40%, list=16%, signal=34%","1033/7153/24137/55635/9787/79733/983/4605/29089/9232/9833/4288/701/9133/11004/57405/991/332/9212/146909/6241/3161/1062/5347/79019/147841/83461/6941/55143/81624/9319/29028/6790/9837/55723/3070/898/83463/2146/79075/3159/29127/993/3930/4175/9700/4085/3925/10615/4173/3838/10635/1031/4436/7083/10733/4830/84296/23649/1786/4001/27338/1111/4171/580/5885/7037/5983/10460/5931/5981/3978/4172/1029"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB",190,-0.497805987779001,-1.89596277006176,1.87588966355891e-07,3.12648277259819e-06,2.23790345828081e-06,2006,"tags=48%, list=16%, signal=41%","7097/602/5187/2114/51561/1026/56937/2355/4084/6446/5271/9322/10365/25976/9334/10611/6373/4780/65986/2669/7130/1880/10135/23764/9314/8553/24145/5966/9592/11080/8877/3606/10769/4609/3280/5329/3624/3371/3976/595/23135/10221/1839/3726/1316/1906/6515/5606/3553/24147/1844/3949/7071/6351/6385/5806/2921/7538/22822/1647/3398/5054/23645/1847/467/388/150094/6347/1843/2919/8061/4973/4929/4783/4616/1959/2920/1960/3164/9021/3725/5209/3569/1958/8013/1827/374/2353/5743/6372/2354"
"HALLMARK_MITOTIC_SPINDLE","HALLMARK_MITOTIC_SPINDLE","HALLMARK_MITOTIC_SPINDLE",192,0.460621381589397,1.77567892406186,8.61229878502688e-06,0.000107653734812836,7.70574101818194e-05,1253,"tags=19%, list=10%, signal=17%","4751/1063/7153/24137/9787/983/699/7272/9133/11004/332/54443/56992/10403/1062/5347/9493/6790/80119/4983/55722/29127/1894/23022/57580/9700/3832/22974/134549/9826/50650/58526/7277/55835/9735/51199"
"HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1",185,0.395373385305746,1.51147961368292,0.00126420663575928,0.0126420663575928,0.00904905802438218,5001,"tags=54%, list=39%, signal=33%","991/890/8318/7203/5984/4175/821/4085/3326/4173/26986/3838/3329/3608/3336/4830/10987/7416/65005/4171/5634/3192/11260/7419/10728/4869/5687/10213/6723/1537/7411/220988/26354/5478/1176/3183/6193/5111/9184/6627/4174/5706/5682/5691/3181/6204/5707/6599/57819/7913/9045/6175/8894/6150/5704/6632/6732/3475/55651/22948/6187/4673/3178/10935/6633/6240/3615/5036/5709/7298/10575/790/1964/6128/22916/1207/5685/6626/10155/10054/6950/6741/6742/11335/11137/1478/10236/6188/7514/4176/23196/8454/2547/8664/1982/8662/6141/2091/5230"
"HALLMARK_MTORC1_SIGNALING","HALLMARK_MTORC1_SIGNALING","HALLMARK_MTORC1_SIGNALING",187,0.365762292112903,1.40478715171268,0.00440705825676186,0.0367254854730155,0.0262877159175269,2444,"tags=28%, list=19%, signal=23%","23657/699/6241/5347/26471/7296/6790/112399/6713/8878/6319/4199/899/2539/6509/993/2717/821/27101/5723/2181/3308/23753/7277/3309/3313/4173/10963/3329/811/488/7184/6745/51377/3336/10987/5464/4171/7037/3422/908/6917/1649/3992/5352/47/31/10213/8503/2821/6016/9521/8833"
