"name","selected","shared name"
"GMPR","false","GMPR"
"ADSS1","false","ADSS1"
"AMPD2","false","AMPD2"
"HPRT1","false","HPRT1"
"ATIC","false","ATIC"
"ADSS2","false","ADSS2"
"AMPD3","false","AMPD3"
"ITPA","false","ITPA"
"IMPDH2","false","IMPDH2"
"NT5E","false","NT5E"
