Gene Symbol,Metabolic Super-Pathway
CSPG5,Carbohydrate
DSEL,Carbohydrate
DSE,Carbohydrate
GLB1L,Carbohydrate
GLYCTK,Carbohydrate
GPC2,Carbohydrate
SLC2A14,Carbohydrate
HS6ST1,Carbohydrate
HS6ST2,Carbohydrate
HS6ST3,Carbohydrate
HGSNAT,Carbohydrate
HPSE2,Carbohydrate
HPSE,Carbohydrate
HS2ST1,Carbohydrate
HYAL1,Carbohydrate
HYAL3,Carbohydrate
LYVE1,Carbohydrate
NDST3,Carbohydrate
NDST4,Carbohydrate
NUP188,Carbohydrate
HS3ST1,Carbohydrate
HS3ST2,Carbohydrate
HS3ST3A1,Carbohydrate
HS3ST3B1,Carbohydrate
HS3ST4,Carbohydrate
HS3ST5,Carbohydrate
HS3ST6,Carbohydrate
PGM2,Carbohydrate
NUP210,Carbohydrate
PPP1R3C,Carbohydrate
RSC1A1,Carbohydrate
SLC35B2,Carbohydrate
SLC35B3,Carbohydrate
SLC35D2,Carbohydrate
SLC5A10,Carbohydrate
CHST15,Carbohydrate
UST,Carbohydrate
XYLB,Carbohydrate
XYLT1,Carbohydrate
XYLT2,Carbohydrate
G6PC2,Carbohydrate
G6PC3,Carbohydrate
SLC5A9,Carbohydrate
GNPDA2,Carbohydrate
POM121,Carbohydrate
POM121C,Carbohydrate
SLC37A4,Carbohydrate
PAPSS2,Carbohydrate
GCK,Carbohydrate
PPP2R5D,Carbohydrate
UGP2,Carbohydrate
UBC,Carbohydrate
UBB,Carbohydrate
