0	1	2	3	4	5	6	7	8	9	10	11	12	13
CLECL1	0.00093	0.00304	0	0	0.01053	0	0.07713	0.00236	0.00693	0	0.01014	0	0	0.06246
CLGN	0.03572	0.03977	0.30718	0.15216	0.00443	4e-05	0.01045	0.00317	0.01132	0.06435	0.28669	0	0	0
CLHC1	0.02333	0.01257	0.02796	0.01869	0.02928	0.00494	0.02657	0.02664	0.01429	0.03855	0.00032	0.02593	0.01059	0.00253
CLIC1	0.16583	0.18533	0.06625	0.09853	0.37866	0.08948	0.35351	0.12783	0.55234	0.40149	0.16682	0.14098	0.25909	0.50837
CLIC2	0.00307	0.08552	0.01501	0.00268	0.01877	0	0.17842	0	0.02267	0.01277	0.00127	0.00463	0.01019	0.00126
CLIC3	0.00534	0.00527	0	0	0.10505	0.00867	0.00859	0.02261	0.01592	0.00648	0	0.00093	0.13144	0.03454
CLIC4	0.16491	0.17291	0.06084	0.03549	0.05603	0.06389	0.03992	0.53179	0.1082	0.28862	0.0589	0.10131	0.48637	0.10086
CLINT1	0.27195	0.53373	0.44083	0.16817	0.3493	0.25756	0.4047	0.86132	0.48175	0.29302	0.48425	0.45725	0.59475	0.36505
CLIP1	0.55495	1.15902	0.80238	0.44227	0.6384	0.39652	0.58682	0.50112	0.79227	0.55184	0.7023	0.49747	0.51059	0.20008
CLIP2	0.00068	0.08984	0.04554	0.01919	0.00744	0.01176	0.01884	0.0226	0.00628	0.02676	0.02049	0.03088	0	0.09666
CLIP3	0.05485	0.05501	0.0258	0.00529	0.02694	0.0038	0.00558	0	0.03594	0.02815	0	0.01969	0	0
CLIP4	0.14743	0.17136	0.33013	0.11409	0.08402	0.04173	0.10003	0.0882	0.08839	0.23738	0.36179	0.028	0.14013	0.09841
CLK1	0.33983	0.18775	0.55016	0.20591	0.88543	0.2115	0.66495	0.49956	0.69453	0.3749	0.42187	0.33641	1.10951	0.89063
CLK2	0.23203	0.31818	0.48536	0.13529	0.21822	0.18687	0.13864	0.0939	0.26651	0.25763	0.3631	0.48537	0.26238	0.14006
CLK3	0.05914	0.09667	0.09202	0.06505	0.18196	0.20916	0.11059	0.10804	0.20261	0.09282	0.09852	0.09285	0.14067	0.1519
CLK4	0.11927	0.07149	0.14001	0.01478	0.08889	0.02198	0.06286	0.13187	0.07183	0.1481	0.06115	0.13682	0.20441	0.10193
CLMN	0.33387	0.26186	0.32836	0.07814	0.05947	0.16076	0.15952	0.14488	0.03505	0.52217	0.46841	0.66089	0.08302	0.09814
CLMP	0.00889	0.0258	0.0944	0.06688	0.04482	0.2459	0.10095	0.03765	0.01887	0.00389	0.10664	0.03865	0.05538	0.01532
CLN3	0.38129	0.22505	0.49696	0.2305	0.1333	0.04647	0.18883	0.07271	0.12219	0.41566	0.39829	0.22539	0.10757	0.20326
CLN5	0.07002	0.09278	0.05549	0.05356	0.03224	0	0.06358	0.02011	0.01138	0.06859	0.04743	0.02509	0.01499	0.01024
CLN6	0.10182	0.1727	0.16673	0.12231	0.04243	0.05876	0.23961	0.1987	0.28429	0.22075	0.25948	0.18664	0.10219	0.00146
CLN8	0.09514	0.17517	0.42525	0.23928	0.18798	0.69021	0.28811	0.21428	0.24578	0.14525	0.49519	0.3521	0.17764	0.59872
CLNK	0.00217	0	0	0.00211	0.0311	0.01011	0.0013	0	0.05418	0	0	0	0.01976	0.18359
CLNS1A	0.3579	0.15624	0.14419	0.07611	0.17691	0.04743	0.05498	0.0296	0.14782	0.3466	0.13916	0.18238	0.13313	0.33567
CLOCK	0.11506	0.27946	0.16662	0.11301	0.13495	0.05575	0.12204	0.16503	0.07689	0.18222	0.17958	0.32302	0.23155	0.14307
CLP1	0.02985	0.03535	0.03227	0.02417	0.00412	0.00515	0.00053	0.04609	0.05082	0.06158	0.01832	0.00412	0.03415	0.03371
CLPB	0.11964	0.07228	0.09515	0.02403	0.00739	0	0.04598	0.00843	0.00601	0.05081	0.03486	0.06224	0.07992	0.05472
CLPP	0.09615	0.10241	0.11353	0.08296	0.26648	0.09021	0.09959	0.24945	0.46243	0.09573	0.12763	0.10136	0.29223	0.45767
CLPTM1	0.0788	0.11085	0.12582	0.10788	0.04687	0.04922	0.0455	0.12676	0.04242	0.12192	0.17425	0.09502	0.09113	0.02732
CLPTM1L	0.69043	0.20353	0.22236	0.17477	0.14158	0.06361	0.16912	0.64436	0.19298	1.06803	0.4086	0.17022	0.47562	0.16554
CLPX	0.33183	0.4128	0.26736	0.10865	0.25321	0.15329	0.18434	0.2723	0.35666	0.3293	0.28556	0.40156	0.26239	0.12874
CLRN1-AS1	0.00386	0.00109	0.00917	0	0.00301	0.00335	0.01228	0.0105	0.00197	0.00836	0.00324	0.00323	0	0.00169
CLRN3	0.06264	0.0021	0	0	0	0	5e-04	0	0	0.03507	0.00143	0	0	0
CLSPN	0.1394	0.31389	0.75739	0.55331	0.44385	1.59194	0.45101	0.56708	1.09819	0.25773	1.02086	0.5412	0.47674	0.63479
CLSTN1	0.38116	0.26524	0.55763	0.41921	0.36538	0.09026	0.19668	0.24741	0.33611	0.86576	0.48528	0.05834	0.44666	0.32163
CLSTN3	0.02411	0.00692	0.01394	0.0134	0.0579	0.11268	0.01737	0.00463	0.00765	0.01963	0.05055	0.05313	0.04645	0.07957
CLTA	0.2824	0.29542	0.21763	0.10912	0.24451	0.14156	0.55512	0.26144	0.53843	0.50666	0.32222	0.41962	0.30944	0.22867
CLTB	0.14102	0.23543	0.14898	0.14123	0.15795	0.07239	0.11169	0.10556	0.2086	0.22655	0.13468	0.16181	0.19733	0.14724
CLTC	0.80878	0.9592	0.86744	0.56635	0.38053	0.2267	0.88763	0.23743	0.62443	0.87941	0.92632	0.60951	0.4595	0.62816
CLTCL1	0.02379	0.06695	0.03378	0.03574	0.00526	0.01202	0.00808	0	0.00066	0.03742	0.02296	0	0	0
CLU	1.58374	3.41071	2.38451	2.34761	1.04488	1.62675	1.42737	0.54889	0.38006	0.80986	2.19071	4.1775	0.27179	0.35855
CLUAP1	0.17146	0.31315	0.4641	0.31598	0.26406	0.97028	0.2987	0.31747	0.22245	0.18899	0.42463	0.44384	0.24944	0.37341
CLUH	0.41316	0.38136	0.40586	0.19732	0.12433	0.03525	0.22746	0.03855	0.06041	0.22247	0.27774	0.32872	0.12582	0.06231
CLUHP3	0.05098	0.03706	0.18147	0.03918	0.11613	0.01909	0.02333	0.04011	0.07217	0.10204	0.18641	0.17467	0.06871	0.03905
CLUL1	0.00318	0.00125	0.00347	0.00169	0.00099	0	0	0	0	0.00212	0	0	0	0
CLVS1	0.0073	0.02376	0.00023	0	0.00092	0	0.00401	0	0	0.01007	0	0	0	0
CLVS2	0.27046	0	0.00088	0	0.00122	0	0.00183	0	0	0.50784	0.00455	0	0	0
CLYBL	0.12789	0.186	0.13498	0.08408	0.04196	0.02312	0.03523	0.03897	0.04191	0.03737	0.15151	0.07041	0.02543	0
CMAHP	0.04009	0.08046	0.00183	0.00211	0.03322	0.06653	0.03189	0.23577	0.09208	0.13309	0.02075	0.00394	0.32857	0.10736
CMAS	0.44764	0.23453	0.1834	0.07939	0.09278	0.0816	0.06441	0.0473	0.18792	0.35492	0.23874	0.22526	0.16448	0.20782
CMBL	1.70217	1.42226	0.49986	0.44351	0.40715	0.46398	0.60901	0.15589	0.14829	1.04722	0.48548	1.23588	0.15523	0.15946
CMC1	0.11983	0.13719	0.0497	0.02469	0.30737	0.02923	0.05829	0.06693	0.22785	0.2008	0.09041	0.15162	0.16401	0.12133
CMC2	0.14079	0.27848	0.0626	0.04058	0.17513	0.01851	0.10815	0.07477	0.39369	0.14775	0.21078	0.11815	0.29959	0.03906
CMC4	0.04636	0.11538	0.0465	0.01536	0.04938	0.00613	0.03897	0.04628	0.02533	0.04235	0.05469	0.05603	0.0208	0.01994
CMIP	0.25691	0.14895	0.15826	0.10976	0.19873	0.1308	0.18542	0.04845	0.2301	0.4282	0.25076	0.22301	0.11774	0.27504
CMKLR1	0.0084	0.01458	0.00796	0.03121	0.00488	0.02546	0.55101	0.02236	0.04224	0.00109	0.00896	0.00094	0	0
CMPK1	0.3375	0.51682	0.28302	0.14458	0.24956	0.14817	0.19026	0.12722	0.24839	0.20984	0.30035	0.2756	0.39288	0.03944
CMPK2	0.00506	0.04633	0.01912	0.01477	0.00834	0	0.0137	0.02451	0.02467	0	0.01813	0.01477	0	0
CMSS1	0.16254	0.21699	0.11532	0.0332	0.03694	0.04399	0.12216	0.07959	0.2425	0.27298	0.09228	0.23756	0.03269	0.00676
CMTM3	0.01482	0.01668	0.00176	0.0119	0.17579	0.02685	0.19006	0.00412	0.14303	0.04003	0.02509	0.0355	0.09193	0.09641
CMTM4	0.02825	0.10186	0.02014	0.01201	0.01264	0.00392	0.02877	0.00091	0	0.02783	0.02422	0.00059	0	0
CMTM6	0.36959	0.80688	0.35652	0.22813	0.55222	0.18094	0.74229	0.31126	0.66306	0.57066	0.40259	0.57888	0.42475	1.02683
CMTM7	0.03849	0.07702	0.06224	0.05455	0.18146	0.04438	0.25652	0.29516	0.30027	0.07572	0.07632	0.01793	0.24994	0.15086
CMTM8	0.1854	0.19814	0.18673	0.10977	0.05603	0.00822	0.04402	0	0.00082	0.17567	0.13236	0.12755	0	0
CMTR1	0.09089	0.09234	0.16949	0.07981	0.07234	0.0745	0.07798	0.05119	0.08474	0.11813	0.07605	0.22539	0.12403	0.09713
CMTR2	0.05503	0.05841	0.03653	0.04236	0.02981	0.00204	0.02066	0.00406	0.00947	0.13609	0.03118	0.04452	0.0505	0.01781
CMYA5	0.05469	0.00647	0.05987	0.02345	0.00222	0.00705	0.01907	0.00764	0	0.0594	0.00823	0	0.00559	0
CNBD2	0.00292	0.00411	0.0142	0.00754	0.00553	0.00241	0.01168	0.00602	0.00114	0.00414	0.00895	0.00559	0	0.02324
CNBP	0.80917	0.62427	0.31373	0.18383	0.58376	0.21758	0.49035	0.59276	0.5004	0.83908	0.3986	0.32938	0.69282	0.59111
CNDP1	0	0.00364	0.00765	0.00133	0	0	0	0	0	0	0	0	0.04062	0
CNDP2	0.29675	0.61584	0.51554	0.25423	0.29107	0.11797	0.51783	0.25066	0.50867	0.22633	0.40504	0.79482	0.17679	0.67617
CNEP1R1	0.02461	0.03333	0.01092	0.00276	0.01889	0.0109	0.03645	0.00238	0.00362	0.03896	0.00521	0.05	0.01372	0.00169
CNFN	0.00633	0.11608	0.00361	0	0.01141	0	0.02363	0.00067	0	0.01751	0	0.04287	0	0
CNGA1	0.12026	0.02435	0.11686	0.03422	0.00717	0.02174	0.01183	0.00145	0	0.04582	0.00885	0.03779	0	0
CNGB1	0.01295	0.02072	0.03993	0.01996	0.02694	0.05987	0.02715	0.03076	0.02928	0.0141	0.04158	0.05187	0.01081	0.0126
CNGB3	0	0.00923	0.00044	0	0.00675	0.00075	0.00194	0	0	0	0	0	0	0
CNIH1	0.4007	0.21884	0.31038	0.21008	0.11691	0.0612	0.08479	0.06154	0.08168	0.26462	0.23273	0.16699	0.1044	0.05181
CNIH2	0.0054	0.00056	0.00011	0	0.00229	0	0	0	0.00491	0	0.00191	0	0	0
CNIH3	0.00116	0.00902	0.00383	0.00057	0	0	0	0.00083	0	0.00156	0	0	0.01083	0
CNIH4	0.16108	0.24363	0.45712	0.33315	0.09835	0.04123	0.12264	0.08346	0.25261	0.35572	0.48531	0.06217	0.16746	0.14224
CNKSR1	0	0	0.00072	0	0	0	0	0.08631	0.02282	0	6e-04	0	0.05889	0
CNKSR2	0.03644	0.05139	0.05311	0.0228	0.01392	3e-04	0.01435	0.0138	0.01693	0.07554	0.06061	0	0	0.00484
CNKSR3	0.05716	0.08487	0.06642	0.03122	0.00905	0.01436	0.02137	0	0	0.05779	0.03686	0.04337	0	0.01572
CNN2	0.12663	0.06691	0.16186	0.05467	0.85899	0.20812	0.38987	0.32459	1.37009	0.36726	0.25625	0.69256	0.80081	1.11115
CNN3	0.23168	0.27107	0.1975	0.08604	0.03071	0.09386	0.06162	0.00491	0.00855	0.24593	0.14719	0.32334	0.0034	0
CNNM1	0.13573	0.03504	0.11652	0.07055	0.03757	0.12727	0.07127	0.09099	0.05084	0.1109	0.16893	0.08158	0.0555	0.1165
CNNM2	0.07283	0.07607	0.08197	0.03532	0.03851	0.00225	0.03083	0.06573	0.04126	0.11185	0.04068	0.06145	0.0029	0.00403
CNNM3	0.24283	0.24846	0.27739	0.19312	0.12131	0.07221	0.11111	0.07496	0.08923	0.16991	0.26882	0.21652	0.22837	0.00724
CNNM4	0.03078	0.02771	0.01995	0.00171	0.02189	0	0.02803	0.00175	0.00246	0.01225	0.00812	0.00067	0.00272	0
CNOT1	0.48147	0.5064	0.25488	0.13276	0.56824	0.18186	0.37662	0.28968	0.77	0.65407	0.42201	0.47821	0.2672	0.22545
CNOT10	0.12776	0.17996	0.18223	0.10873	0.11575	0.12626	0.1131	0.13037	0.20386	0.27674	0.22515	0.15934	0.23276	0.07473
CNOT11	0.27769	0.25916	0.20364	0.13424	0.12787	0.06653	0.11797	0.10176	0.25946	0.2523	0.24426	0.1291	0.1048	0.07121
CNOT2	0.315	0.67639	0.44993	0.1291	0.42537	0.09795	0.2531	0.32925	0.74802	0.42944	0.40019	0.6213	0.35578	0.17522
CNOT3	0.06046	0.10759	0.11358	0.07518	0.05523	0.04178	0.06658	0.11566	0.16897	0.07167	0.09208	0.13458	0.14304	0.10918
CNOT4	0.1162	0.1752	0.14363	0.0384	0.14107	0.03377	0.08538	0.13701	0.14246	0.19173	0.12635	0.09905	0.15354	0.11577
CNOT6	0.10535	0.14869	0.11562	0.04446	0.15486	0.0706	0.10749	0.06865	0.17686	0.10142	0.13226	0.08777	0.09684	0.23521
CNOT6L	0.08556	0.21124	0.07048	0.03323	0.69243	0.19548	0.15415	0.27186	0.64967	0.20003	0.15803	0.2081	0.73819	0.27112
CNOT7	0.14047	0.25128	0.1434	0.06644	0.22063	0.09179	0.17497	0.22308	0.2605	0.14006	0.19071	0.27054	0.29963	0.20011
CNOT8	0.07818	0.07168	0.04844	0.03689	0.07606	0.01059	0.0724	0.0326	0.14661	0.10963	0.04791	0.10686	0.20144	0.14891
CNP	0.13898	0.10608	0.11281	0.05002	0.0757	0.04671	0.09005	0.21129	0.20292	0.27582	0.09002	0.14325	0.12103	0.17615
CNPPD1	0.20635	0.29792	0.21114	0.13064	0.15232	0.0458	0.1684	0.08472	0.20025	0.18571	0.33315	0.18835	0.20579	0.13498
CNPY2	0.32053	0.51122	0.56083	0.26767	0.25499	0.11061	0.25489	0.43337	0.29244	0.51125	0.46764	0.41392	0.4495	0.15557
CNPY3	0.32422	0.28134	0.23137	0.17791	0.29095	0.12205	0.45116	0.32438	0.72268	0.39554	0.34533	0.27495	0.29856	1.03957
CNPY4	0.00944	0.01734	0.02589	0.00426	0.02576	0.01469	0.00978	0.00022	0.03728	0.02595	0.06685	0.00172	0.01164	0.00272
CNR1	0.00547	0.01872	0.0235	0.00924	0.00105	0	0	0	0.00191	0.00494	0.0088	0	0	0.01143
CNRIP1	0	0.01896	0	0	0.00051	0	0.0556	0	0.00523	0.02465	0	0	0	0
CNST	0.13768	0.1378	0.23098	0.07315	0.11983	0.10383	0.10414	0.05455	0.11938	0.17393	0.26176	0.26091	0.23405	0.07658
CNTD1	0.01171	0.01854	0.00196	0	0.00381	0.00287	0.00429	0	0.00032	0	0	0	0	0.00272
CNTD2	0	0.00184	0.05773	0.01277	0	0.00041	0.01279	0	0	0	0.00634	0	0	0
CNTFR	0	0.00222	0.00156	0	0.00329	0	0.00131	0	0	0	0	0	0	0
CNTLN	0.1508	0.28858	0.50685	0.20025	0.1244	0.33809	0.44445	0.09596	0.23554	0.24762	0.6199	0.19595	0.15208	0.27307
CNTN4	0.00025	0.00654	0.00609	0.00281	0.00086	0	0.00149	0.01711	0.00246	0.00383	0	0.00103	0.00226	0.00272
CNTN5	7e-04	0.00885	0.00365	0.00068	0.00475	0	0.00112	0	0	0	0.00552	0	0	0
CNTNAP1	0.01153	0.10997	0.04516	0.02047	0.00663	0	0.03258	0	0	0.00919	0.00586	0	0	0
CNTNAP2	0.19935	0.00275	0.03209	0.03052	0.00033	0.00386	0.00062	0.00126	0.0068	0.20208	0.09774	0.01339	0	0.0965
CNTNAP3	0.01431	0.00344	0.00337	0	0.00123	0	0.00161	0	0	0.0521	0.00041	0.06827	0	0
CNTNAP4	3e-04	0.02478	0.00186	0.0051	0.00151	0	0.00674	0.00027	0	0.00114	0.00154	0.05766	0	0
CNTRL	0.05048	0.08318	0.13102	0.05204	0.5526	0.25009	0.45956	0.44408	1.19613	0.03238	0.22173	0.28921	0.77815	0.87005
CNTROB	0.03117	0.05831	0.05488	0.0042	0.02938	0.01764	0.07073	0.02736	0.12004	0.11431	0.21079	0.04889	0.05883	0.08617
COA1	0.11668	0.20995	0.25975	0.13646	0.21541	0.26682	0.19327	0.16556	0.24732	0.13495	0.24032	0.20302	0.31058	0.12493
COA3	0.85934	1.1515	0.36233	0.14694	0.40619	0.20936	0.39499	0.33718	0.58505	0.95733	0.43608	0.86799	0.3881	0.12965
COA4	0.2859	0.22675	0.2331	0.09335	0.077	0.03139	0.09226	0.08143	0.22025	0.30008	0.17663	0.18829	0.17434	0.16742
COA5	0.1742	0.19133	0.13059	0.05368	0.05544	0.00866	0.09238	0.04895	0.12707	0.17119	0.22141	0.08266	0.16391	0.00912
COA6	0.16566	0.17337	0.15836	0.0814	0.09049	0.00879	0.07047	0.0529	0.1567	0.21274	0.14176	0.09884	0.05527	0.11606
COA7	0.14923	0.23031	0.41836	0.23243	0.2569	0.64146	0.26107	0.24098	0.27852	0.17206	0.32561	0.38716	0.21859	0.24106
COASY	0.48157	0.44971	0.44919	0.21922	0.24594	0.133	0.23365	0.27643	0.37784	0.45198	0.4485	0.70789	0.12381	0.12037
COBL	0.1036	0.17566	0.12952	0.046	0.03012	0.00722	0.01391	0.00305	0	0.03587	0.08145	0.107	0	0
COBLL1	0.55704	0.3732	0.66828	0.23013	0.10813	0.134	0.11407	0.60338	0.2361	0.71158	0.67612	0.48823	0.59886	0.7113
COCH	0.10054	0.19862	0.00624	0	0.02219	8e-05	0.04672	0.00584	0.03684	0.11945	0.03797	0	0.04361	0.12462
COG1	0.04939	0.06457	0.1105	0.02802	0.0544	0.01768	0.03224	0.03244	0.12236	0.03075	0.148	0.14762	0.20125	0.06136
COG2	0.16982	0.2489	0.26804	0.11118	0.17162	0.09583	0.11776	0.139	0.22385	0.27683	0.18356	0.20328	0.20848	0.35193
COG3	0.09758	0.13927	0.15641	0.03504	0.06128	0.02254	0.07075	0.09672	0.12795	0.10885	0.08526	0.09133	0.1865	0.08779
COG4	0.19893	0.21873	0.18128	0.06825	0.17388	0.07082	0.10385	0.14292	0.19371	0.23511	0.1737	0.2486	0.28876	0.17747
COG5	0.13097	0.0881	0.10644	0.04367	0.11601	0.04534	0.05973	0.11494	0.08564	0.20789	0.13088	0.18315	0.24579	0.01299
COG6	0.06001	0.09049	0.05041	0.00185	0.03536	0.01529	0.03446	0.04121	0.06311	0.13229	0.04754	0.0507	0.07035	0.07049
COG7	0.08357	0.05768	0.08089	0.01608	0.03353	0.04404	0.04743	0.1101	0.03592	0.12621	0.08976	0.24096	0.00799	0.00775
COG8	0.02679	0.00954	0.00814	0.02337	0.00915	0	0.01303	0.01965	0.00131	0.05196	0.01256	0.00831	0.00863	0
COIL	0.16323	0.17819	0.11858	0.05513	0.13625	0.08153	0.09037	0.11692	0.18722	0.19374	0.17698	0.26433	0.16921	0.31069
COL11A2	0.03601	0.00986	0	0	0.00473	0.00333	0.00853	0.02681	0.00737	0.37289	0.00113	0.02298	0.04598	0.15138
COL16A1	0.00324	0.09764	0.0745	0.03757	0.01009	0.00262	0.01649	0	0	0	0.11522	0	0	0
COL18A1	0.96966	0.84452	1.46666	0.88849	0.21949	0.31148	0.32729	0.08674	0.06255	1.0494	0.96881	1.67505	0.06243	0.12725
COL1A1	0.00489	0.02037	0.02291	0.00376	0.00279	0.01917	0.00307	0	0	0.06321	0.00331	0	0	0
COL1A2	0.0206	0	0.00268	0.00907	0	0	0.00279	0.01245	0	0.08386	0	0	0	0
COL22A1	0	0.22664	0.0062	0	0.0212	0	0.06135	0	0.00037	0	0	0	0	0
COL23A1	0.00039	0.00683	0.00233	0	0	0	0	0	0	0	0.02789	0	0	0
COL24A1	2e-04	0.09378	0.26763	0.09961	0.01653	0.15308	0.04415	0.07388	0.00377	0	0.20616	0.04066	0.12512	0.00484
COL26A1	0	0.0441	0	0	0.00041	0	0.00929	0	0	0	0	0	0	0
COL27A1	0.28514	0.32153	0.39342	0.13289	0.0537	0.16698	0.04639	0.01658	0.0096	0.24018	0.16007	0.22284	0.03245	0.00916
COL28A1	0	0.01513	7e-04	0	0	0	0.00592	0	0.0011	0	0	0	0	0
COL3A1	0.00135	0.00333	0.00348	0	0	0.01344	0	0	0.00119	0.13567	0.02685	0	0	0
COL4A1	0.01018	0.00892	0.00708	0	0.01249	0.01962	0.00238	0.00144	0	0.36267	0.01985	0.03966	0.00133	0
COL4A2	0.01405	0.00088	0.00504	0.00764	0.00033	0.00549	0	0	0	0.37516	0.02603	0	0	0
COL4A3	0.00156	0.00028	0.00145	0.00024	0	0.01689	0	0.0124	0.00069	0	0	0.04433	0.00528	0.0651
COL4A3BP	0.10219	0.27176	0.18231	0.05823	0.26934	0.07102	0.24696	0.14979	0.28536	0.13971	0.24848	0.27406	0.08248	0.24117
COL4A4	0	0.00224	0.00067	0.0104	0.01563	0.0398	0.00871	0.062	0.02579	0.01866	0	0.02224	0.05092	0.06221
COL4A5	0	0.01934	0.10633	0.05971	0.01387	0	0.00291	0	0	0	0.14052	0	0	0
COL5A1	0.00013	0.00091	0.00032	0.00402	0.02781	0	0.0144	0	0.00451	0.02326	0	0	0	0
COL5A2	0.12053	0.06495	0.07837	0.03635	0.01337	0.01115	0.01581	0.01928	0.00643	0.18127	0.07939	0.00236	0	0
COL5A3	0.03714	0.05066	0.08977	0.07226	0.01892	0.03484	0.01825	0.01987	0.00081	0.00364	0.0708	0.09073	0.00368	0
COL6A1	0.00065	0.28577	0.17	0.06629	0.02642	0.00276	0.05309	0	0	0.0478	0.0773	0.05435	0.0023	0
COL6A2	0.00077	0.01287	0.032	0.01634	0.0148	0	0.00883	0	0	0.07246	0.00333	0	0	0
COL6A3	0.00278	0	0.00655	0	0.00246	0.01387	0.01079	0	0.00055	0.03836	0	0.04751	0	0
COL6A4P1	0.00089	0.00384	0.00452	0	0	4e-05	0.00089	0	0	0.00736	0	0	0	0
COL6A4P2	0.00284	0.00509	0.00146	0.00094	0.00839	0.01363	0.00021	0.05303	0.0188	0.04939	0.00096	0.00457	0	0
COL7A1	0.37215	0.02181	0.02383	0.00059	0.00666	0.15861	0.01358	0.02366	0.00086	0.2987	0.02381	0.09764	0.0112	0
COL8A2	0	0.0018	0.00122	0.00162	0.01405	0.00459	0.00714	0.00061	5e-04	0	0.02415	0	0	0
COL9A2	7e-05	0.00852	0.02426	0.0036	0.02124	0	0.02131	0.01621	0.01601	0	0.0115	0	0.01331	0.00287
COL9A3	0.00098	0.0228	0.05829	0.00527	0.00076	0.00486	0.00692	0.11229	0.00677	0.02497	0.04119	0.00986	0.03016	0.04533
COLCA1	0.01481	0.02626	0.02095	0.00117	0.00746	0.00103	0.00988	0.03035	0.01553	0.05799	0.01056	0.00144	0.04042	0
COLCA2	0.02872	0.02841	0.03291	0.00297	0	0	0.00034	0	0	0.08121	0.04284	0.00059	0.04421	0
COLEC11	0.04298	0.01481	0.06077	0.01279	0.00732	0.00104	0.00672	0	0.00093	0.05795	0.05842	0.00801	0	0
COLEC12	0.00912	0.00902	0.00041	0.01455	0.0029	0	0.26688	0	0	0.02868	0	0	0	0
COLGALT1	0.20033	0.18988	0.17668	0.0588	0.08891	0.08632	0.36755	0.03252	0.10645	0.31669	0.14285	0.21457	0.08804	0.20714
COLGALT2	0.00037	0.00595	0.00382	0	0.02521	0.01516	0.00142	0.00485	0	0.04287	0.0013	0.00098	0	0
COLQ	0.04705	0.01001	0.06026	0.01193	0.03862	0.025	0.01119	0.00096	0.00139	0.10666	0.03378	0.03131	0	0.04406
COMMD1	0.19639	0.29551	0.15703	0.04646	0.18973	0.02743	0.13878	0.21537	0.34576	0.20145	0.22486	0.17393	0.39426	0.26174
COMMD10	0.05744	0.07981	0.10751	0.02439	0.06124	0.01945	0.0861	0.08324	0.0953	0.06722	0.11991	0.08833	0.15912	0.08893
COMMD2	0.21441	0.31327	0.734	0.49423	0.42518	1.21052	0.48459	0.49519	0.46854	0.35235	0.8619	0.49408	0.27193	0.5173
COMMD3	0.33682	0.3339	0.22585	0.08538	0.13237	0.06625	0.06858	0.33087	0.21682	0.41578	0.20104	0.14611	0.37171	0.23932
COMMD4	0.25815	0.29039	0.34768	0.14134	0.18423	0.04939	0.1103	0.10536	0.3275	0.33487	0.66839	0.26007	0.14577	0.08203
COMMD5	0.06748	0.15109	0.08685	0.01882	0.05215	0.00178	0.09296	0.0882	0.07929	0.10714	0.1164	0.04522	0.0833	0.08005
COMMD6	0.39298	0.31829	0.10692	0.02864	0.55167	0.04559	0.21012	0.22494	0.50931	0.59645	0.14089	0.13889	0.39626	0.52074
COMMD7	0.3524	0.32835	0.21046	0.12644	0.30217	0.046	0.2105	0.15979	0.35091	0.29502	0.12358	0.2195	0.21543	0.09456
COMMD8	0.07731	0.11401	0.08329	0.03583	0.12165	0.02888	0.06111	0.09133	0.19665	0.11228	0.09193	0.05891	0.05803	0
COMMD9	0.24844	0.24513	0.32305	0.21145	0.22675	0.45873	0.30705	0.2367	0.26109	0.33649	0.39099	0.40498	0.16423	0.25474
COMT	0.07775	0.11101	0.05499	0.08856	0.04033	0.04351	0.09878	0.04092	0.03774	0.19034	0.07996	0.16056	0.09222	0.18732
COMTD1	0.04911	0.11567	0.10456	0.0137	0.03684	0.0202	0.05486	0.14045	0.09626	0.07934	0.19789	0.15595	0.11919	0.11565
COPA	0.58308	0.62812	0.73193	0.46605	0.33566	0.47368	0.41692	0.61915	0.48336	0.79236	0.67787	0.52567	0.39728	0.44745
COPB1	0.57978	0.57048	0.68541	0.30485	0.37105	0.20069	0.38673	0.28031	0.57387	0.85663	0.61386	0.47189	0.30141	0.45425
COPB2	0.34065	0.439	0.41824	0.14702	0.19095	0.12493	0.21821	0.32477	0.4461	0.4758	0.33393	0.39681	0.45608	0.06625
COPE	0.07179	0.0443	0.08647	0.06964	0.10474	0.02742	0.0396	0.24137	0.15437	0.06946	0.09142	0.05423	0.21068	0.0573
COPG1	0.14495	0.19422	0.31997	0.14194	0.09887	0.05281	0.11945	0.17507	0.12798	0.2962	0.17458	0.20991	0.26455	0
COPG2	0.00352	0.02813	0.01365	0.00994	0.01452	0.0082	0.02811	0	0.11083	0.03433	0.00963	0.02683	0	0.00759
COPRS	0.57312	0.60457	0.31359	0.17741	0.08731	0.06346	0.29209	0.08128	0.14571	0.51189	0.40352	0.28595	0.17667	0
COPS2	0.19164	0.21854	0.1446	0.03641	0.20032	0.04237	0.16466	0.16639	0.28007	0.24291	0.14494	0.24516	0.22634	0.2558
COPS3	0.05632	0.05444	0.0405	0.00721	0.05502	0.03055	0.03557	0.03845	0.19169	0.08991	0.02617	0.03245	0.19372	0.0697
COPS4	0.04791	0.12447	0.06092	0.00212	0.1061	0.03198	0.0586	0.02581	0.11983	0.01865	0.04731	0.07887	0.16279	0.07243
COPS5	0.11972	0.20309	0.18078	0.09525	0.13328	0.02626	0.08675	0.07265	0.18454	0.14407	0.21416	0.10262	0.12	0.10243
COPS6	0.70587	0.47003	0.48469	0.23791	0.38662	0.15257	0.28553	0.27102	0.86798	1.00498	0.53892	0.49113	0.6608	0.44596
