0	1	2	3	4	5	6	7	8	9	10	11	12	13
ABCB7	0.1016	0.11334	0.14029	0.02722	0.06476	0.03789	0.09709	0.0848	0.12827	0.18476	0.09571	0.12317	0.14619	0.16633
ABCB8	0.00762	0.0361	0.02581	0.00331	0.00312	0.00363	0.0274	0.00198	0.00158	0.07029	0.04361	0.04189	0.00714	0
ABCB9	0.01063	0.00934	0.01463	0.01903	0.00383	0	0.01407	0.03957	0	0	0.01792	0.00401	0.00931	0
ABCC1	0.01337	0.0456	0.02809	0.01221	0.05355	0.00485	0.1375	0.06541	0.13119	0.0212	0.00146	0.02811	0.06438	0.16116
ABCC10	0.03812	0.03002	0.08134	0.03316	0.0233	0.01401	0.01667	0.0158	0.05028	0.06475	0.04536	0.04843	0.00268	0.04189
ABCC11	0.00055	0.01168	0.0024	8e-04	0	0	0.00112	0	0	0	0	0	0	0
ABCC13	0.01681	0.01935	0.0319	0.02694	0.01491	0.0633	0.03418	0.01356	0.01957	0.01869	0.0272	0.02512	0.01252	0.01767
ABCC2	0.85148	1.14082	0.69267	0.25976	0.21342	0.59293	0.25962	0.14258	0.05365	0.76169	0.53159	1.34944	0.07904	0.18982
ABCC3	0.22158	0.44442	0.7932	0.26861	0.05759	0.11128	0.17718	0.03773	0.01676	0.14998	0.63273	0.29969	0.01223	0
ABCC4	0.0485	0.21992	0.11706	0.04403	0.06864	0.01504	0.08053	0.07567	0.01483	0.03097	0.0907	0.03229	0.08872	0.00256
ABCC5	0.04832	0.2284	0.19577	0.05499	0.03966	0.02637	0.51272	0.02106	0.12939	0.17452	0.15908	0.08136	0.05108	0.09468
ABCC6	0.63009	0.13597	0.25682	0.10739	0.03684	0.05855	0.07289	0.00848	0	0.45803	0.44149	0.29889	0.00349	0.0514
ABCC6P1	0.25859	0.09663	0.14513	0.01871	0.01957	0.01191	0.0187	0	0.00181	0.22519	0.16993	0.1877	0	0
ABCC6P2	0.04342	0.01037	0.01052	0.00374	0.00037	0	0.00271	0	0	0.02433	0.01528	0.02581	0	0
ABCC8	0	9e-05	0.01076	0.00646	0	0	0.00148	0	0	0	0.00243	0	0	0
