Malignant cells	Immune cells	Stromal cells
CCL5	0.27275	1.51332	2.04872
CCL8	0.00502	0.00855	0.01563
CCM2	0.10747	0.19746	0.33643
CCM2L	0.00536	0	0
CCNA2	0.02329	0.01806	0.60665
CCNB1	0.06916	0.04006	0.93773
CCNB1IP1	0.07758	0.04829	0.07163
CCNB2	0.03143	0.01699	0.65322
CCNB3	0.00134	0.00681	0
CCNC	0.28513	0.17837	0.28421
CCND1	0.35405	0.14593	0.03943
CCND2	0.03274	0.63027	0.65487
CCND3	0.06138	0.30465	0.80535
CCNDBP1	0.11247	0.15489	0.19113
CCNE1	0.01008	0.01445	0.07477
CCNE2	0.02457	0.01179	0.21925
CCNF	0.02144	0.02012	0.3997
CCNG1	0.18774	0.07795	0.12463
CCNG2	0.05238	0.05334	0.09582
CCNH	0.03442	0.15898	0.06664
CCNI	0.34051	0.83198	1.44065
CCNJ	0.01308	0.00217	0.00155
CCNJL	0.00173	9e-04	0.00102
CCNK	0.15533	0.22721	0.2754
CCNL1	0.40945	0.85436	0.97745
CCNL2	0.71492	0.3107	0.43219
CCNT1	0.21378	0.15315	0.43473
CCNT2	0.17876	0.14252	0.26675
CCNY	0.19209	0.12099	0.12491
CCNYL1	0.0593	0.04678	0.02663
CCP110	0.13274	0.15699	0.3442
CCPG1	0.07907	0.05981	0.02361
CCR1	0.01752	0.19007	0.19635
CCR10	0.00266	0.01003	0
CCR2	0.00703	0.12185	0.0932
CCR5	0.00363	0.11045	0.12635
CCR6	0.25434	0.28789	0.27669
CCR7	0.00405	0.04563	0.07379
CCRL2	0.00203	0.0342	0.01321
CCS	0.38537	0.16577	0.15277
CCSAP	0.05688	0.0544	0.07883
CCSER1	0.0016	0.01918	0.03332
CCSER2	0.19659	0.28191	0.34456
CCT2	0.28797	0.19564	0.49515
CCT3	0.73073	0.32779	0.72031
CCT4	0.32075	0.20395	0.51973
CCT5	0.7445	0.29246	1.04863
CCT6A	0.47523	0.29741	0.72438
CCT6B	0.00443	0.00688	0.02896
CCT6P1	0.01214	0.01318	0.02101
CCT6P3	0.0418	0.04321	0.04293
CCT7	0.21461	0.20915	0.49978
CCT8	0.4468	0.33103	0.53786
CCZ1	0.03501	0.0422	0.05743
CCZ1B	0.01629	0.01243	0.02178
CD101	0.00834	0.01303	0.01042
CD109	0.08789	0.07737	0.1035
CD14	0.32294	0.42532	0.03106
CD151	0.338	0.12268	0.14269
CD160	0.00466	0.07376	0.16356
CD163	0.02781	0.40772	0.04712
CD163L1	0.00517	0.08573	0
CD164	0.46266	0.37046	0.4831
CD177	0.00089	0.01026	0
CD180	0.00106	0.05657	0.02376
CD19	0.02675	0.11349	0.1621
CD1C	0.00166	0.01982	0.01485
CD1D	0.00288	0.04329	0.01932
CD2	0.06808	0.8589	1.4509
CD200	0.00116	0.01944	0.10712
CD200R1	0.00152	0.05412	0.02512
CD209	0.01833	0.10609	0.00083
CD22	0.00605	0.05107	0.19544
CD226	0.00456	0.04438	0.0979
CD24	0.6792	0.10219	0.04705
CD244	0.00219	0.05366	0.09844
CD247	0.00947	0.19898	0.36572
CD27	0.04562	0.69231	1.09806
CD27-AS1	0.01428	0.0158	0.00447
CD274	0.00293	0.01136	0.00129
CD276	0.11018	0.09201	0.0021
CD28	0.02906	0.09626	0.22411
CD2AP	0.34944	0.27131	0.24976
CD2BP2	0.12766	0.13992	0.21336
CD300A	0.00107	0.06363	0.0316
CD300C	0.00154	0.01934	0
CD300E	0.04296	0.03583	0.03086
CD300LF	0.00507	0.03304	0
CD300LG	0.00341	0.00053	0.00098
CD302	0.0082	0.00399	0
CD320	0.11394	0.08486	0.22826
CD33	0.00394	0.04272	0.01096
CD34	0.00373	0.00204	0.00064
CD36	0.21406	0.10094	0.02656
CD37	0.01664	0.3381	0.43438
CD38	0.02331	0.354	0.47914
CD3D	0.04044	0.62554	1.23614
CD3E	0.01528	0.31612	0.56021
CD3EAP	0.08346	0.03859	0.04638
CD3G	0.01682	0.29264	0.65254
CD4	0.01783	0.26045	0.18771
CD40	0.05268	0.05404	0.01844
CD40LG	0.00372	0.04689	0.06942
CD44	0.05418	0.52996	0.58796
CD46	0.55534	0.28747	0.20941
CD47	0.16488	0.24881	0.37597
CD48	0.00565	0.18131	0.20706
CD5	0.01304	0.11211	0.26397
CD52	0.1071	1.0902	1.7771
CD53	0.01524	0.33959	0.44161
CD55	0.04522	0.09732	0.08092
CD58	0.03521	0.11967	0.14879
CD59	0.64099	0.5523	0.30812
CD5L	0.00134	0.02165	0
CD6	0.01711	0.28304	0.62963
CD63	1.29341	1.32057	0.81868
CD68	0.08701	0.37398	0.05677
CD69	0.03528	0.48952	0.67017
CD7	0.00641	0.14919	0.193
CD70	0.14587	0.12784	0.13293
CD72	0.00072	0.0458	0.01403
CD74	0.96845	3.01048	2.88669
CD79A	0.01757	0.38641	0.24999
CD79B	0.01674	0.17964	0.27772
CD80	8e-05	0.01551	0.0322
CD81	0.98022	0.71215	0.96128
CD82	0.26231	0.33693	0.41978
CD83	0.02091	0.24407	0.12506
CD84	0.37797	1.04841	1.12565
CD86	0.01942	0.2605	0.06833
CD8A	0.03977	0.48822	0.94166
CD8B	0.01824	0.29185	0.58023
CD9	0.05812	0.06837	0
CD93	0.01378	0.11579	0.03691
CD96	0.10924	0.46833	0.66196
CD99	0.00191	0.00268	0.00062
CD99L2	0.13497	0.0499	0.01287
CDA	0.02185	0.00323	0.00159
CDADC1	0.04623	0.02687	0.07691
CDAN1	0.07436	0.05095	0.0634
CDC123	0.1838	0.16165	0.44644
CDC14A	0.02814	0.05317	0.07596
CDC14B	0.1089	0.05188	0.00254
CDC16	0.20877	0.19661	0.29483
CDC20	0.03539	0.0161	0.57537
CDC23	0.09052	0.06894	0.12836
CDC25A	0.01672	0.00855	0.12217
CDC25B	0.2194	0.24257	1.0761
CDC25C	0.01609	0.00585	0.15494
CDC26	0.03416	0.0596	0.03136
CDC27	0.21088	0.21934	0.41547
CDC34	0.15373	0.08625	0.10871
CDC37	0.24229	0.31479	0.62281
CDC37L1	0.06556	0.07609	0.11113
CDC40	0.45089	0.39579	0.41311
CDC42	0.47536	0.59676	1.0397
CDC42BPA	0.6203	0.0799	0.00661
CDC42BPB	0.35193	0.13489	0.11314
CDC42BPG	0.00432	0	0
CDC42EP1	0.07713	0.02184	0
CDC42EP2	0.03755	0.01537	0.00939
CDC42EP3	0.00769	0.10762	0.15443
CDC42EP4	0.12195	0.01634	0.00042
CDC42P3	0.00033	0.00235	0.00223
CDC42SE1	0.11554	0.23561	0.23173
CDC42SE2	0.18795	0.75014	1.2478
CDC45	0.00624	0.0044	0.12237
CDC5L	0.36802	0.28481	0.50903
CDC6	0.04143	0.03812	0.32497
CDC7	0.02161	0.01339	0.06607
CDC73	0.19901	0.19948	0.27835
CDCA2	0.01796	0.02078	0.64757
CDCA3	0.01314	0.00862	0.42102
CDCA4	0.00762	0.01443	0.10044
CDCA5	0.04229	0.03437	0.91951
CDCA7	0.01962	0.01715	0.14764
CDCA7L	0.06809	0.06393	0.10261
CDCA8	0.04208	0.01595	0.87069
CDCP1	0.00925	0.06851	0.00655
CDH1	0.19455	0.01717	0.01675
CDH12	0.00741	0.00014	0.00045
CDH15	0.01774	0	0
CDH16	0.00738	0.00177	0
CDH17	0.00398	0.00527	0
CDH18	0.00829	0.00154	0
CDH19	0.01773	0.00135	0
CDH2	0.43783	0.06238	0.05454
CDH23	0.1288	0.12118	0.07499
CDH24	0.00134	0.00049	0.00166
CDH4	0.00127	0.00012	0
CDH5	0.00379	0.00136	0
CDH6	0.00284	0.00484	0.00326
CDH7	0.00945	0.00584	0.01118
CDH8	0.00334	0	0
CDH9	0.00656	0.00281	0
CDHR1	0.00369	0.05708	0.02126
CDHR2	0.02411	0.00797	0.00083
CDHR3	0.12551	0.06578	0.02966
CDHR5	0.28648	0.02824	0.00775
CDIP1	0.10652	0.08629	0.11313
CDIPT	0.32545	0.16193	0.17389
CDIPTOSP	0.01845	0.00022	0
CDK1	0.03735	0.01017	0.5866
CDK10	0.24975	0.13921	0.1347
CDK11A	0.02125	0.02316	0.00877
CDK11B	0.01067	0.01628	0.03143
CDK12	0.34748	0.3417	0.54796
CDK13	0.25526	0.26635	0.36929
CDK14	0.20417	0.17484	0.22025
CDK16	0.35744	0.05191	0.07313
CDK17	0.06185	0.11711	0.09024
CDK18	0.01191	0.00437	0
CDK19	0.1003	0.07433	0.28837
CDK2	0.03478	0.03194	0.1157
CDK20	0.00749	0.00047	0
CDK2AP1	0.06566	0.04087	0.09557
CDK2AP2	0.25392	0.25956	0.61473
CDK4	0.36618	0.25152	0.32839
CDK5	0.07485	0.04718	0.0844
CDK5R1	0.01262	0.01451	0.02109
CDK5RAP1	0.11571	0.05594	0.05699
CDK5RAP2	0.37706	0.38158	0.70375
CDK5RAP3	0.62949	0.41375	0.37001
CDK6	0.25019	0.21707	0.26857
CDK7	0.05434	0.03791	0.07028
CDK8	0.03226	0.02861	0.00413
CDK9	0.02931	0.0495	0.05467
CDKAL1	0.10732	0.08779	0.07541
CDKL1	0.01091	0.02153	0.07815
CDKL3	0.01481	0.01198	0.00166
CDKL4	0.00446	0.0056	0.00157
CDKL5	0.03875	0.02838	0.0288
CDKN1A	0.06786	0.1539	0.06858
CDKN1B	0.11156	0.24692	0.51335
CDKN1C	0.06172	0.02903	0
CDKN2A	0.04523	0.04126	0.09696
CDKN2AIP	0.05281	0.09898	0.24664
CDKN2AIPNL	0.12784	0.06676	0.14856
CDKN2B	0.01858	0.01394	0
CDKN2B-AS1	0.01545	0.02766	0.0239
CDKN2C	0.04078	0.07352	0.2295
CDKN2D	0.01159	0.02737	0.11012
CDKN3	0.05461	0.01099	0.68506
CDNF	0.01097	0.00755	0
CDO1	0.53042	0.05626	0.00503
CDON	0.02761	0.00735	0.00894
CDPF1	0.0361	0.02506	0.02778
CDR2	0.03548	0.07427	0.0748
CDRT1	0.00772	0.00169	0.00168
CDS1	0.00825	0.00418	0.00783
CDS2	0.11623	0.08393	0.13146
CDT1	0.08	0.07535	0.36425
CDV3	0.39723	0.68755	0.71388
CDYL	0.09636	0.18206	0.25183
CDYL2	0.01616	0.05352	0.03508
CEACAM1	0.16264	0.03341	0.00065
CEACAM19	0.0101	0.00293	0.00168
CEACAM21	0.00375	0.03342	0.05668
CEACAM22P	0.16106	0.14222	0.11527
CEACAM4	0.00011	0.00974	0
CEACAM5	0.13696	0.18129	0.19488
CEACAM8	0.00244	0.00313	0.00042
CEBPA	0.58024	0.1846	0.01756
CEBPA-DT	0.05177	0.00871	0
CEBPB	0.29237	0.15002	0.08664
CEBPD	0.19038	0.1467	0.06823
CEBPG	0.3009	0.12719	0.18744
CEBPZ	0.30177	0.29474	0.50356
ADA2	0.06578	0.59681	0.42325
CECR2	0.11335	0.02166	0.03395
CECR3	0.00154	0.00774	0
HDHD5	0.06587	0.04927	0.09528
HDHD5-AS1	0.01325	0.00586	0
CECR7	0.0077	0.00641	0
CELF1	0.77283	0.44682	0.48911
CELF2	0.07764	0.73609	0.96163
CELF4	0.03105	0.01551	0.00073
CELF5	0.04396	0.00589	0
CELF6	0.04051	0.03125	0.00082
CELSR1	0.02182	0.00487	0
CELSR2	0.02005	0.00954	0.00067
CELSR3	0.02357	0.00656	0.00767
CENPA	0.00582	0.00139	0.11269
CENPB	0.20604	0.15938	0.25111
CENPBD1	0.18909	0.16921	0.11112
CENPBD1P1	0.14173	0.06155	0.10179
CENPC	0.11789	0.33083	0.59325
CENPE	0.10428	0.17397	1.95386
CENPF	0.20938	0.14436	2.61196
CENPH	0.02264	0.02454	0.20279
CENPI	0.01399	0.00171	0.07399
CENPJ	0.12792	0.11714	0.421
CENPK	0.02409	0.05862	0.48565
CENPL	0.03175	0.03186	0.24385
CENPM	0.02992	0.05517	0.50149
CENPN	0.24091	0.19116	0.68976
CENPO	0.0199	0.01634	0.22194
CENPP	0.01465	0.01922	0.05278
CENPQ	0.0435	0.01811	0.0862
CENPT	0.01662	0.02011	0.01182
CENPU	0.07245	0.04847	0.7095
CENPV	0.09017	0.0133	0.00739
CENPW	0.04871	0.01189	0.30884
CEP104	0.24717	0.17998	0.27539
CEP112	0.04314	0.01494	0.06122
CEP120	0.08461	0.14729	0.30221
CEP128	0.04963	0.20491	0.47062
CEP135	0.16024	0.23787	0.45391
CEP152	0.10683	0.09845	0.75167
CEP164	0.20101	0.09925	0.20595
CEP170	0.17669	0.23128	0.12837
CEP170B	0.07384	0.02291	0.00138
CEP19	0.10108	0.12225	0.05697
CEP192	0.12254	0.1443	0.2598
CEP250	0.19461	0.12527	0.14208
CEP290	0.3275	0.316	0.24541
CEP350	0.71308	0.76803	1.25917
CEP41	0.09198	0.08462	0.09981
CEP44	0.07942	0.0586	0.13885
CEP55	0.0204	0.01837	0.77139
CEP57	0.34957	0.24741	0.7139
CEP57L1	0.09407	0.07097	0.21258
CEP63	0.17177	0.16938	0.27529
CEP68	0.19135	0.17736	0.1624
CEP70	0.14112	0.05502	0.0903
CEP72	0.01611	0.00457	0.00876
CEP76	0.02027	0.015	0.06524
CEP78	0.03395	0.02277	0.09841
CEP85	0.0394	0.02428	0.07339
CEP85L	0.07678	0.24058	0.42589
CEP89	0.04344	0.03807	0.17685
CEP95	0.13763	0.12934	0.2058
CEP97	0.06118	0.08907	0.30765
CEPT1	0.05804	0.08942	0.04329
CERCAM	0.00387	0.02718	0
CERK	0.26557	0.29914	0.37936
CERS2	0.7005	0.15443	0.04746
CERS3	0.00201	9e-05	0.00086
CERS4	0.18346	0.04533	0.07023
CERS5	0.19858	0.1716	0.173
CERS6	0.13825	0.12724	0.15949
CES1	2.75965	1.16442	0.4465
CES1P1	0.04516	0.00983	0.00109
CES1P2	0.00205	0.00306	0
CES2	0.95351	0.35232	0.2896
CES3	0.10891	0.03271	0.01765
CES4A	0.01297	0.01353	0.00602
CES5A	0.00218	0.00423	0
CETN1	0.00168	0	0
CETN2	0.21261	0.08351	0.0952
CETN3	0.05865	0.07761	0.12023
CETN4P	0.00152	0.00093	0
CFB	2.23432	0.49374	0.19017
CFD	0.02354	0.14259	0.00668
CFDP1	0.37272	0.31642	0.7443
CFH	1.3306	0.22367	0.05539
CFHR1	0.77333	0.08273	0.02325
CFHR2	0.65941	0.06432	0.01603
CFHR3	0.06221	0.00379	0
CFHR4	0.02328	0.0022	0
CFHR5	0.36979	0.02896	0.00274
CFI	0.35648	0.06086	0.00648
CFL1	0.8699	1.15035	2.38775
CFL1P1	0.01237	0.01331	0.00832
CFL2	0.22063	0.07216	0.04238
CFLAR	0.82021	1.21926	0.94634
CFP	0.00182	0.02977	0.00447
CGGBP1	0.31619	0.31337	0.58212
CGN	0.22746	0.05035	0.00098
CGNL1	0.82187	0.21079	0.08519
CGREF1	0.03555	0.00489	0.00037
CGRRF1	0.03433	0.03569	0.02472
CH25H	0.00102	0.01785	0.01879
CHAC1	0.04595	0.04928	0.00067
CHAC2	0.00283	0.0051	0.02308
CHAD	0.02148	0.00279	0
CHADL	0.01391	0.01636	0
CHAF1A	0.12297	0.09382	0.49045
CHAF1B	0.0157	0.0145	0.06682
CHAMP1	0.06833	0.07355	0.13595
CHCHD1	0.17826	0.1484	0.30597
CHCHD10	0.50282	0.30736	0.30821
CHCHD2	0.51628	0.54819	1.07114
CHCHD3	0.09494	0.0991	0.18727
CHCHD4	0.09159	0.06145	0.06462
CHCHD5	0.05429	0.0767	0.12279
CHCHD6	0.03365	0.06892	0.01341
CHCHD7	0.08713	0.14671	0.22547
CHD1	0.23533	0.31769	0.27662
CHD1L	0.3831	0.16616	0.18468
CHD2	0.6267	0.85995	0.93402
CHD3	0.03332	0.27257	0.46656
CHD4	0.66763	0.6418	1.14358
CHD5	0.00217	0	0
CHD6	0.36598	0.37979	0.32206
CHD7	0.22518	0.24836	0.17338
CHD8	0.32667	0.41477	0.48696
CHD9	0.36812	0.54359	0.47302
CHDH	0.64027	0.26335	0.14854
CHEK1	0.04446	0.03765	0.34286
CHEK2	0.04944	0.04456	0.11531
CHEK2P2	0.0034	0.00212	0
CHERP	0.10481	0.04752	0.09063
CHFR	0.08564	0.10224	0.12752
CHI3L1	0.90384	0.16943	0.05283
CHI3L2	0.00221	0.04169	0.09284
CHIAP2	0.04208	0.03462	0.0414
CHIC1	0.01393	0.01353	0.02699
CHIC2	0.03086	0.03254	0.067
CHID1	0.39298	0.29219	0.14012
CHKA	0.18437	0.08177	0.02798
CHKB	0.03654	0.10299	0.059
CHKB-DT	0.01911	0.00623	0
CHM	0.18065	0.18524	0.19292
CHML	0.1505	0.11202	0.05919
CHMP1A	0.2785	0.18711	0.46497
CHMP1B	0.14682	0.21898	0.24413
CHMP2A	0.40451	0.36386	0.48852
CHMP2B	0.19756	0.20494	0.17259
CHMP3	0.02845	0.05673	0.01037
CHMP4A	0.20124	0.36775	0.72202
CHMP4B	0.13143	0.21397	0.20359
CHMP4C	0.11836	0.07546	0.03374
CHMP5	0.09731	0.10338	0.07259
CHMP6	0.12159	0.06433	0.15368
CHMP7	0.03652	0.05877	0.13803
CHN1	0.00996	0.01863	0.08527
CHN2	0.14984	0.07739	0.08803
CHODL	0.00564	0.00485	0.00051
CHORDC1	0.10868	0.18146	0.16943
CHP1	0.34545	0.17187	0.18377
CHP2	0.03859	0.00823	9e-04
CHPF	0.10571	0.16106	0.08485
CHPF2	0.07522	0.08377	0.03777
CHPT1	0.34069	0.09921	0.05409
CHRAC1	0.10297	0.10329	0.20799
CHRD	0.11261	0.02157	0.01709
CHRDL1	0.00375	0.00146	0.00098
CHRDL2	0.02142	0.00207	0
CHRM3	0.02599	0.00859	0.00086
CHRNA10	0.00423	0.00126	0.00525
CHRNA2	0.00182	0.00132	0
CHRNA3	0.00024	0.00041	0
CHRNA5	0.19741	0.20207	0.10276
CHRNA7	0.00258	0.00279	0
CHRNB1	0.22815	0.21123	0.14185
CHRND	0.00262	0	0
CHRNE	0.00751	0.00244	0.00243
CHST1	0.00476	0.00315	0.00078
CHST10	0.01285	0.01107	0.00885
CHST11	0.01517	0.14831	0.16283
CHST12	0.03193	0.07585	0.04621
CHST13	0.17088	0.03673	0.00135
CHST14	0.01821	0.00273	0.0225
CHST15	0.16093	0.20152	0.13671
CHST2	0.00136	0.0468	0.08578
CHST3	0.0078	0.00592	0.00461
CHST5	0.01303	0.01275	0.00321
CHST6	0.37712	0.31561	0.19532
CHST7	0.01208	0.01706	0.0077
CHST9	0.02849	0.00902	0.00225
CHSY1	0.03789	0.06878	0.10865
CHTF18	0.03941	0.01424	0.12652
CHTF8	0.0842	0.07734	0.10694
CHTOP	0.3629	0.19831	0.51771
CHUK	0.08247	0.05785	0.15087
CHURC1	0.33804	0.45434	0.67821
CIAO1	0.60408	0.64147	0.63607
CIAPIN1	0.12025	0.06038	0.12937
CIB1	0.43513	0.49171	0.79275
CIB2	0.05356	0.0264	0.03284
CIC	0.06316	0.03292	0.04588
CIDEB	0.14016	0.05745	0.10114
CIDEC	0.01437	0.00674	0.00702
CIDECP	0.03457	0.01713	0.05252
CIITA	0.01418	0.06169	0.04314
CINP	0.09857	0.13827	0.08378
CIPC	0.05445	0.04038	0.00776
CIR1	0.24116	0.34671	0.334
CIRBP	0.51115	0.96029	0.7409
CISD1	0.3164	0.09628	0.17182
CISD2	0.29272	0.25935	0.33187
CISH	0.01725	0.04334	0.04159
CIT	0.03759	0.02568	0.41394
CITED2	0.0502	0.31407	0.19345
CITED4	0.11721	0.02456	0.02748
CIZ1	0.09858	0.1401	0.21858
CKAP2	0.12263	0.17893	1.15931
CKAP2L	0.06534	0.04524	0.49513
CKAP4	0.38292	0.22696	0.16231
CKAP5	0.25929	0.23411	1.25273
CKB	0.18198	0.06769	0.01986
CKLF	0.06955	0.14477	0.3306
CKMT1A	0.01622	0.00125	0.00427
CKMT1B	0.02643	0.00861	0.00143
CKMT2	0.00132	0	0
CKMT2-AS1	0.12608	0.07091	0.02815
CKS1B	0.22512	0.08325	0.72501
CKS2	0.08761	0.11545	1.00586
CLASP1	0.10411	0.1322	0.23099
CLASP2	0.08678	0.09593	0.09038
CLASRP	0.03279	0.02787	0.09018
CLCC1	0.11248	0.10994	0.13136
CLCF1	0.01147	0.00351	0
CLCN2	0.01524	0.00638	0.00044
CLCN3	0.17894	0.1476	0.25853
CLCN4	0.02946	0.02315	0.01882
CLCN5	0.18918	0.03783	0.00167
CLCN6	0.07521	0.03972	0.01708
CLCN7	0.21333	0.16907	0.17231
CLCNKA	0.01429	0.00327	0
CLCNKB	0.04446	0.01288	0.00044
CLDN1	0.45506	0.0903	0.01689
CLDN10	0.00627	0.01063	0.0127
CLDN11	0.02136	0.00159	0
CLDN12	0.14569	0.01864	0.00037
CLDN14	0.02808	0.00683	0.00162
CLDN15	0.09562	0.04796	0.00236
CLDN16	0.12477	0.11826	0.07907
CLDN18	0.01574	0.00884	0.00147
CLDN19	0.09238	0.05584	0.03741
CLDN2	0.10766	0.01491	0
CLDN23	0.00887	0.00214	0.02006
CLDN3	0.08845	0.02083	0
CLDN4	0.06037	0.02749	0
CLDN5	0.00779	0.00056	0
CLDN7	0.02757	0.00664	0.00684
CLDN9	0.00258	0	0
CLDND1	0.05431	0.06753	0.26083
CLDND2	0.01383	0.0036	0.01761
CLEC10A	0.00213	0.02254	0.0071
CLEC11A	0.01203	0.015	0.009
CLEC12A	0.00252	0.03272	0.02204
CLEC14A	0.0044	0.00042	0.00965
CLEC16A	0.04826	0.03218	0.07504
CLEC19A	0.01613	0.01511	0.00632
CLEC2B	0.0295	0.33265	0.51703
CLEC2D	0.12089	0.55387	0.88332
CLEC2L	0.00561	0.00014	0
CLEC3B	0.0029	0.01293	0.00304
CLEC4A	0.00247	0.03527	0.00639
CLEC4E	5e-04	0.0089	0
CLEC4GP1	1.20826	1.06781	0.74714
CLEC5A	0.00095	0.01296	0
CLEC7A	0.00899	0.11529	0.03791
CLEC9A	0.00044	0.00743	0.0589
CLECL1	0.00128	0.03298	0.00693
CLGN	0.0974	0.00579	0.01132
CLHC1	0.01878	0.02562	0.01429
CLIC1	0.14429	0.32121	0.55234
CLIC2	0.02415	0.06876	0.02267
CLIC3	0.00394	0.05648	0.01592
CLIC4	0.12206	0.16776	0.1082
CLINT1	0.356	0.47817	0.48175
CLIP1	0.7065	0.57133	0.79227
CLIP2	0.03421	0.01678	0.00628
CLIP3	0.03528	0.01194	0.03594
CLIP4	0.1719	0.09465	0.08839
CLK1	0.30929	0.75613	0.69453
CLK2	0.28503	0.16882	0.26651
CLK3	0.09295	0.14028	0.20261
CLK4	0.08696	0.09621	0.07183
CLMN	0.28177	0.11212	0.03505
CLMP	0.06263	0.06239	0.01887
CLN3	0.30503	0.1421	0.12219
CLN5	0.06166	0.03878	0.01138
CLN6	0.1366	0.14071	0.28429
CLN8	0.26732	0.24107	0.24578
CLNK	0.002	0.02001	0.05418
CLNS1A	0.19677	0.11134	0.14782
CLOCK	0.16374	0.14294	0.07689
CLP1	0.0281	0.01361	0.05082
CLPB	0.07371	0.02751	0.00601
CLPP	0.09902	0.21501	0.46243
CLPTM1	0.0986	0.06317	0.04242
CLPTM1L	0.35991	0.26569	0.19298
CLPX	0.29309	0.22925	0.35666
CLRN1-AS1	0.00359	0.00727	0.00197
CLRN3	0.01981	0.00017	0
CLSPN	0.52524	0.47769	1.09819
CLSTN1	0.36449	0.29046	0.33611
CLSTN3	0.02801	0.03442	0.00765
CLTA	0.24885	0.35771	0.53843
CLTB	0.15981	0.13502	0.2086
CLTC	0.76005	0.54255	0.62443
CLTCL1	0.03554	0.00472	0.00066
CLU	2.29611	1.00791	0.38006
CLUAP1	0.36944	0.28847	0.22245
CLUH	0.3246	0.14199	0.06041
CLUHP3	0.07147	0.06462	0.07217
CLUL1	0.00204	0.00037	0
CLVS1	0.00803	0.00171	0
CLVS2	0.09387	0.00108	0
CLYBL	0.12239	0.03646	0.04191
CMAHP	0.04286	0.09243	0.09208
CMAS	0.25566	0.08399	0.18792
CMBL	1.08836	0.40448	0.14829
CMC1	0.09323	0.16217	0.22785
CMC2	0.13653	0.13783	0.39369
CMC4	0.0546	0.04222	0.02533
CMIP	0.18772	0.16421	0.2301
CMKLR1	0.01418	0.19429	0.04224
CMPK1	0.31961	0.20956	0.24839
CMPK2	0.01809	0.01221	0.02467
CMSS1	0.1415	0.0724	0.2425
CMTM3	0.01566	0.14103	0.14303
CMTM4	0.03875	0.01471	0
CMTM6	0.44334	0.58205	0.66306
CMTM7	0.05563	0.23128	0.30027
CMTM8	0.15657	0.03592	0.00082
CMTR1	0.10384	0.07493	0.08474
CMTR2	0.04701	0.02303	0.00947
CMYA5	0.03254	0.00911	0
CNBD2	0.00577	0.00798	0.00114
CNBP	0.52203	0.56126	0.5004
CNDP1	0.00222	0.00281	0
CNDP2	0.39383	0.36731	0.50867
CNEP1R1	0.02069	0.02094	0.00362
CNFN	0.03115	0.01245	0
CNGA1	0.06821	0.00698	0
CNGB1	0.02673	0.02607	0.02928
CNGB3	0.00231	0.00318	0
CNIH1	0.26849	0.09272	0.08168
CNIH2	0.00178	0.00085	0.00491
CNIH3	0.00317	9e-04	0
CNIH4	0.24852	0.11034	0.25261
CNKSR1	0.00013	0.01965	0.02282
CNKSR2	0.03788	0.01275	0.01693
CNKSR3	0.05626	0.01124	0
CNN2	0.14183	0.60723	1.37009
CNN3	0.20215	0.03363	0.00855
CNNM1	0.09882	0.06282	0.05084
CNNM2	0.06252	0.03709	0.04126
CNNM3	0.22276	0.11276	0.08923
CNNM4	0.01941	0.01824	0.00246
CNOT1	0.37811	0.41925	0.77
CNOT10	0.15381	0.1241	0.20386
CNOT11	0.21537	0.11613	0.25946
CNOT2	0.38658	0.33528	0.74802
CNOT3	0.08267	0.07804	0.16897
CNOT4	0.11753	0.12124	0.14246
CNOT6	0.10581	0.12199	0.17686
CNOT6L	0.12617	0.42046	0.64967
CNOT7	0.15669	0.21019	0.2605
CNOT8	0.06014	0.07828	0.14661
CNP	0.10847	0.11183	0.20292
CNPPD1	0.20419	0.1487	0.20025
CNPY2	0.38534	0.29702	0.29244
CNPY3	0.26061	0.3793	0.72268
CNPY4	0.01573	0.01388	0.03728
CNR1	0.01124	8e-04	0.00191
CNRIP1	0.00516	0.0192	0.00523
CNST	0.14792	0.10904	0.11938
CNTD1	0.00838	0.00298	0.00032
CNTD2	0.01131	0.00437	0
CNTFR	0.00076	0.00167	0
CNTLN	0.28277	0.23601	0.23554
CNTN4	0.00305	0.00417	0.00246
CNTN5	0.0031	0.00215	0
CNTNAP1	0.03926	0.01361	0
CNTNAP2	0.07712	0.00405	0.0068
CNTNAP3	0.00864	0.00101	0
CNTNAP4	0.00828	0.00292	0
CNTRL	0.10256	0.52828	1.19613
CNTROB	0.04438	0.04724	0.12004
COA1	0.1858	0.20217	0.24732
COA3	0.67951	0.37868	0.58505
COA4	0.20655	0.09302	0.22025
COA5	0.13721	0.07274	0.12707
COA6	0.13769	0.07535	0.1567
COA7	0.28547	0.25223	0.27852
COASY	0.40129	0.23425	0.37784
COBL	0.10422	0.01652	0
COBLL1	0.45004	0.25524	0.2361
COCH	0.08144	0.03281	0.03684
COG1	0.06097	0.05328	0.12236
COG2	0.19249	0.15638	0.22385
COG3	0.10024	0.08054	0.12795
COG4	0.17172	0.15243	0.19371
COG5	0.10012	0.10184	0.08564
COG6	0.05489	0.0398	0.06311
COG7	0.0693	0.04939	0.03592
COG8	0.01638	0.01201	0.00131
COIL	0.14077	0.12565	0.18722
COL11A2	0.02459	0.01816	0.00737
COL16A1	0.04392	0.0094	0
COL18A1	0.95536	0.21821	0.06255
COL1A1	0.01426	0.00209	0
COL1A2	0.01002	0.0032	0
COL22A1	0.05411	0.02888	0.00037
COL23A1	0.00289	0	0
COL24A1	0.10007	0.04342	0.00377
