Malignant cells	Immune cells	Stromal cells
ACRBP	0.00308	0.02229	0.00102
ACSBG1	0.00582	0.00299	0
ACSF2	0.15467	0.05031	0.05166
ACSF3	0.02493	0.03529	0.03074
ACSL1	0.73298	0.20753	0.11496
ACSL3	0.38974	0.13836	0.19538
ACSL4	1.00431	0.36529	0.30176
ACSL5	0.19848	0.12884	0.16376
ACSL6	0.10193	0.06353	0.04512
ACSM1	0.07378	0.01233	0
ACSM2A	0.93153	0.21871	0.06445
ACSM2B	0.90619	0.17646	0.06333
ACSM3	0.01682	0.00956	0.01798
ACSM5	0.43663	0.07738	0.02815
ACSS1	0.05814	0.1614	0.19826
ACSS2	0.27851	0.0702	0.06348
ACSS3	0.15541	0.01922	0.00381
ACTA2	0.01025	0.03625	0.10491
ACTB	1.62391	2.63459	3.82523
ACTG1	1.09744	1.89829	3.26672
ACTG1P4	0.00397	0.0031	0.00437
ACTG2	0.00336	0.01577	0.04803
ACTL6A	0.06723	0.0413	0.16327
ACTL8	0.03198	0.02185	0
ACTN1	0.33129	0.13394	0.07175
ACTN2	0.0181	0.00098	0
ACTN4	0.52524	0.38256	0.60068
ACTR10	0.13075	0.10487	0.14306
ACTR1A	0.20223	0.28666	0.59321
ACTR1B	0.1184	0.09516	0.20371
ACTR2	0.53691	0.96518	1.74204
ACTR3	0.27434	0.65379	1.34539
ACTR3B	0.03074	0.01179	0.01026
ACTR3C	0.05676	0.02154	0.01864
ACTR5	0.02576	0.01705	0.00583
ACTR6	0.1261	0.08871	0.12923
ACTR8	0.05609	0.06066	0.04183
ACTRT3	0.03705	0.00703	0
ACVR1	0.04873	0.01979	0.00452
ACVR1B	0.12424	0.04359	0.00878
ACVR1C	0.0336	0.00302	0.01367
ACVR2A	0.06731	0.02354	0.01752
ACVR2B	0.06399	0.02391	0.01593
ACVR2B-AS1	0.00972	0.0037	0
ACVRL1	0.00479	0.01266	0.00809
ACY3	0.02415	0.00599	0.06349
ACYP1	0.04784	0.02775	0.17716
ACYP2	0.09344	0.0784	0.06955
ADA	0.04953	0.15183	0.41945
ADAD2	0.00214	0.00238	0
ADAL	0.11309	0.06577	0.09573
ADAM10	0.21532	0.2429	0.20187
ADAM11	0.0023	0.00119	0
ADAM12	0.01781	0.01473	0
ADAM15	0.02943	0.01962	0.00188
ADAM17	0.39993	0.38177	0.45574
