CD8T	Malignant	Mono/Macro	Tprolif	B
EOMES	0.73768	0.02339	0.02432	0.74009	0.20376
EP300	0.46759	0.37338	0.49568	0.62059	0.46311
EP400	0.18247	0.23735	0.25294	0.37645	0.13658
EP400P1	0.021	0.01654	0.00673	0.00821	0.00301
EPAS1	0.06733	0.20789	0.12911	0.01272	0.03238
EPB41	0.57144	0.44572	0.31765	0.50832	0.34283
EPB41L1	0.02326	0.06207	0.09777	0	0.00404
EPB41L2	0.05809	0.1239	0.56037	0.12023	0.00949
EPB41L3	0.00184	0.0095	0.38811	0	0.00113
EPB41L4A	0.00444	0.0118	0.00299	0.0402	0.05486
EPB41L4A-AS1	0.0989	0.04171	0.03154	0.0603	0.05759
EPB41L4B	0.01047	0.08802	0.0113	0.00059	0.01091
EPB41L5	0.03895	0.28518	0.06224	0.00401	0.00072
EPC1	0.36001	0.17741	0.18189	0.39618	0.28453
EPC2	0.09312	0.06597	0.06738	0.14314	0.09265
EPCAM	0	0.00417	0.00124	0	0
EPDR1	0.01758	0.08281	0.02266	3e-04	0.00057
EPG5	0.06961	0.10031	0.17399	0.13303	0.08022
EPGN	0.02196	0.02147	0.01551	0.02576	0.02107
EPHA1	0.01828	0.04376	0.00436	0	0
EPHA1-AS1	0.07955	0.07773	0.0484	0.07443	0.08884
EPHA10	0.01065	0.00303	0.00458	0.00208	0.00332
EPHA2	0	0.00493	0.00359	0	0
EPHA4	0.02782	0.00238	0.00033	0.01443	0.02286
EPHB1	0.01506	0.00055	0.00066	0	5e-04
EPHB2	0.00293	0.04159	0.08104	0.01522	0.00041
EPHB3	0.00063	0.00215	0.00568	0	0
EPHB4	0.01382	0.10238	0.0212	0.0048	0.01545
EPHB6	0.02094	0.02776	0.02773	0.07476	0.00964
EPHX1	0.06039	0.40749	0.12458	0.04792	0.01445
EPHX2	0.14601	0.24778	0.08374	0.05411	0.02487
EPHX3	0	0.00658	0	0	0
EPM2A	0.00419	0.01891	0.01649	0.01202	0.00233
EPM2AIP1	0.27109	0.31754	0.33305	0.23211	0.45033
EPN1	0.08128	0.26471	0.22937	0.15249	0.09649
EPN2	0.02857	0.06031	0.04625	0.02813	0.09587
EPN2-AS1	0	0.00064	0	0	0.01877
EPN3	0	7e-04	0	0.00086	0
EPO	0	0.01634	0.00664	0	0
EPOR	0.03404	0.02419	0.00671	0.03664	0.02781
EPPIN	0.00311	0.00539	0.00152	0.01076	0.00364
EPPK1	0.00814	0.04972	0.01955	0	0
EPRS	0.40392	0.50106	0.42129	0.73825	0.63572
EPS15	0.41618	0.18781	0.31119	0.48046	0.43461
EPS15L1	0.03828	0.04154	0.06078	0.09542	0.0803
EPS8	0.01417	0.12823	0.21262	0.03351	0.01871
EPS8L1	0.02466	0.00362	0.00271	0	0
EPS8L2	0.19461	0.55967	0.1356	0.08111	0.08611
EPS8L3	0.00567	0.02345	0.00124	0.00048	0.02075
EPSTI1	0.3775	0.0414	0.23835	0.37186	0.31352
ERAL1	0.01513	0.03006	0.00636	0.01411	0.01305
ERAP1	0.22632	0.15123	0.18871	0.33194	0.26046
ERAP2	0.84555	0.27124	0.26442	1.09711	1.27665
ERBB2	0.01357	0.06924	0.02418	0.00026	0.00271
ERBB3	0.25437	1.12386	0.38141	0.13089	0.12276
ERC1	0.16632	0.21708	0.28068	0.352	0.42529
ERCC1	0.10394	0.13112	0.07903	0.12789	0.12279
ERCC2	0.02477	0.05138	0.0575	0.02154	0.05344
ERCC3	0.04366	0.08378	0.12694	0.08792	0.0566
ERCC4	0.11847	0.07489	0.0469	0.1308	0.07672
ERCC5	0.00839	0.00281	0.00792	0.01659	0.01038
ERCC6	0.05432	0.10193	0.05403	0.13734	0.09486
ERCC6L	7e-04	0.0076	0	0.06444	0.00289
ERCC6L2	0.26725	0.18423	0.20847	0.20616	0.28303
ERCC8	0.02421	0.01393	0.02074	0.01018	0.02398
EREG	0.00129	0.00658	0.0061	0.00692	0.00239
ERF	0.02238	0.02158	0.01793	0.02041	0.03053
ERGIC1	0.09204	0.21688	0.17102	0.06295	0.19761
ERGIC2	0.17885	0.13671	0.11506	0.12863	0.28476
ERGIC3	0.17627	0.33379	0.16567	0.21488	0.54471
ERH	0.1705	0.17722	0.11217	0.4198	0.16337
ERI1	0.10765	0.02926	0.03135	0.20235	0.04238
ERI2	0.01254	0.05153	0.02304	0.08153	0.03191
ERI3	0.09676	0.1568	0.07448	0.13097	0.06334
ERICH1	0.28772	0.13351	0.2636	0.43082	0.23895
ERICH2	0.00201	0.03106	0.01697	5e-04	0
ERLEC1	0.31846	0.3351	0.23677	0.40759	1.63763
ERLIN1	0.0453	0.18273	0.0625	0.10153	0.03761
ERLIN2	0.15868	0.26165	0.20022	0.12675	0.13047
ERMAP	0.0228	0.05283	0.07215	0.04848	0.02902
ERMARD	0.02294	0.12098	0.0472	0.06969	0.08175
ERMN	0.01385	0.00153	0.02016	0	0.04561
ERMP1	0.05574	0.05575	0.02755	0.05687	0.00698
ERN1	0.05384	0.02056	0.01512	0	0.11729
ERN2	0.03524	0.04385	0.03683	0.0295	0.04004
ERP27	0.02785	0.00172	0.0077	0.03102	0
ERP29	0.56296	0.729	0.66654	0.71152	0.71212
ERP44	0.14761	0.13894	0.16783	0.12389	0.15938
ERRFI1	0.07284	0.26475	0.07057	0.0103	0.02499
ERV3-1	0.01342	0.01872	0.01887	0.07902	0.02257
ERVK13-1	0.0679	0.0872	0.07053	0.0786	0.09788
ERVK3-1	0.00074	0.00108	0.00238	0.00266	0
ERVV-1	0.0598	0.09616	0.11855	0.08411	0.07291
ESAM	0	0.00446	0.01099	0	0
ESCO1	0.21018	0.19411	0.19668	0.29353	0.24086
ESCO2	0.00443	0.01204	0.00978	0.34042	0.00125
ESD	0.139	0.30533	0.22001	0.27252	0.03035
ESF1	0.28381	0.41487	0.38224	0.34027	0.20674
ESM1	0.00251	0.00324	0.00103	0.00355	0
ESPL1	0.00458	0.0126	0	0.09485	0.00156
ESPN	0.01377	0.13904	0.04586	0.03341	0.0208
ESPNL	0.00035	0.01458	0.00306	0	0
ESR1	0.00297	0.01341	0.03863	0.02211	0.04745
ESR2	0.02096	0.03257	0.02669	0.03343	0.03758
ESRG	0.01081	0.00694	0.00741	0.01882	0.00929
ESRP2	0.00684	0.08812	0.04135	0.00733	0.00097
ESRRA	0.1002	0.19658	0.15543	0.06519	0.05896
ESRRG	0	0.00412	0	0	0
ESYT1	0.21539	0.23301	0.13587	0.21102	0.07619
ESYT2	0.42049	0.39542	0.38954	0.29682	0.39496
ESYT3	0	0.00684	0	0	0
ETAA1	0.07864	0.07251	0.01522	0.11997	0.06467
ETF1	0.23954	0.25282	0.28726	0.31498	0.22119
ETFA	0.15673	0.33945	0.17753	0.16162	0.122
ETFB	0.55106	1.10773	0.43859	0.96671	0.36476
ETFDH	0.02938	0.07767	0.02243	0.10322	0.03767
ETHE1	0.0973	0.06973	0.06775	0.18245	0.1193
ETNK1	0.1215	0.10922	0.10645	0.19851	0.11953
ETNK2	0.02001	0.31719	0.0935	0.01275	0.00428
ETNPPL	0.02182	0.07486	0.0456	0.00066	0.00069
ETS1	1.63822	0.07189	0.09416	1.37569	0.51207
ETS2	0.02292	0.14151	0.3426	0.01001	0.00765
ETV1	0.10354	0.02742	0.00773	0.06082	0.01404
ETV2	0.00179	0.02908	0.04308	0.00269	0.03821
ETV3	0.02732	0.015	0.08252	0.02016	0.01789
ETV4	0.00303	0.08334	0.03545	0.01947	0
ETV5	0.04045	0.0873	0.19634	0.02599	0.01799
ETV6	0.09606	0.0886	0.1696	0.10452	0.12738
ETV7	0.10063	0.02475	0.01801	0.10309	0.06417
EVA1A	0.01876	0.08247	0.02289	0.00256	0.00027
EVA1B	0.0312	0.04514	0.1809	0.04171	0.08671
EVA1C	0.00964	0.0031	0.01007	0	0.01163
EVC	0.00498	0.04331	0.00894	0.00773	0.00125
EVC2	0.0063	0.01904	0.00192	0.07195	0.03608
EVI2A	0.17059	0.00811	0.26499	0.1665	0.15666
EVI2B	0.63034	0.03346	0.33519	0.84245	0.72741
EVI5	0.07978	0.46356	0.38574	0.09847	0.35825
EVI5L	0.04759	0.03202	0.00108	0.00421	0.03471
EVL	1.21859	0.21871	0.49269	1.14347	0.37212
EVPL	0.00043	0.01418	0	0	0
EVX1	0.00022	0.00967	0.00088	0	0
EWSR1	0.27893	0.25043	0.31011	0.60426	0.29032
EXD1	0.00716	0.00261	0.00113	0.00163	0.00234
EXD2	0.01091	0.04022	0.01125	0	0.01168
EXD3	0.04917	0.07975	0.0565	0.05297	0.07327
EXO1	0.01562	0.00952	0.017	0.18766	0
EXO5	0.05318	0.04233	0.01335	0.06747	0.0257
EXOC1	0.27198	0.11716	0.30352	0.29095	0.1599
EXOC2	0.14193	0.11124	0.13292	0.15306	0.11298
EXOC3	0.17548	0.255	0.25184	0.37252	0.14225
EXOC3L1	0.00033	0.00388	9e-04	0.00301	0
EXOC3L4	0.01317	0.05616	0.00457	0.00044	0.00111
EXOC4	0.26668	0.31905	0.28223	0.42664	0.29817
EXOC5	0.1285	0.13919	0.10491	0.17439	0.10683
EXOC6	0.06902	0.13176	0.09463	0.15742	0.07725
EXOC6B	0.07165	0.09511	0.10002	0.01482	0.01414
EXOC7	0.19076	0.25887	0.19565	0.29121	0.17962
EXOC8	0.08397	0.08976	0.05024	0.09037	0.07233
EXOG	0.096	0.09481	0.072	0.19266	0.0709
EXOSC1	0.08658	0.10068	0.03845	0.17126	0.15021
EXOSC10	0.16867	0.15884	0.13632	0.3939	0.15306
EXOSC2	0.13047	0.14881	0.17135	0.23378	0.10202
EXOSC3	0.03943	0.02916	0.02205	0.1396	0.07264
EXOSC4	0.05885	0.14937	0.13886	0.24176	0.07963
EXOSC5	0.04363	0.04327	0.02674	0.05134	0.03589
EXOSC6	0.06651	0.07492	0.02641	0.0841	0.05103
EXOSC7	0.09277	0.10533	0.08238	0.12783	0.06156
EXOSC8	0.17607	0.09682	0.05725	0.50714	0.07373
EXOSC9	0.13925	0.07688	0.10864	0.17603	0.11413
EXPH5	0.01731	0.08266	0.02745	0.05927	0.01994
EXT1	0.05026	0.17159	0.12755	0.02869	0.0444
EXT2	0.0258	0.11349	0.06317	0.02659	0.0723
EXTL2	0.03698	0.09681	0.03233	0.01526	0.05912
EXTL3	0.05167	0.05521	0.02584	0.02888	0.0206
EXTL3-AS1	0.1314	0.13974	0.13456	0.12177	0.11687
EYA2	0	0.00485	0.0514	0	0.00062
EYA3	0.1686	0.06534	0.06572	0.21159	0.10906
EYA4	0	0.00979	0.00617	0	0
EYS	0.00035	0.00281	0.00085	0.00368	0.00066
EZH1	0.1748	0.10253	0.09551	0.12348	0.14548
EZH2	0.12172	0.0799	0.05243	0.90379	0.12995
EZR	1.01899	0.43488	0.39206	1.73632	0.69611
F10	0.07896	0.49823	0.12808	0.00887	0.00579
F10-AS1	0	0.00269	0	0	0.00057
F11	0.02919	0.18368	0.03763	0.00102	0.03344
F11-AS1	0	0.00119	0	0	0
F11R	0.15853	0.47862	0.27745	0.18321	0.12919
F12	0.13003	1.15011	0.26941	0.07045	0.07113
F13A1	0.00234	0.01862	0.62189	0.05749	0.00155
F13B	0.01102	0.13696	0.05137	0.0017	0.00097
F2	0.31696	1.4693	0.55763	0.08159	0.09254
F2R	0.3704	0.13985	0.11339	0.42263	0.24116
F2RL1	0.01898	0.03126	0.02142	0	0.02375
F2RL2	0	0.00141	0.00162	0.00038	0.0012
F2RL3	0.05757	0.0885	0.07168	0.03941	0.07721
F3	0.00086	0.0032	0.01116	0.00094	0.00172
F5	0.25889	1.26377	0.33206	0.11604	0.15005
F7	0.06103	0.53131	0.11236	0.00437	0.016
F8	0.00896	0.03584	0.01527	0.01101	0.00048
F9	0.02338	0.18266	0.01822	0	0.00102
FAAH	0.01023	0.11578	0.0158	0.01345	0
FAAH2	0.01839	0.02778	0.00481	0.0011	0.00803
FABP1	0.13361	0.63885	0.33356	0.03768	0.01438
FABP3	0	0.00787	0.10747	0	0
FABP5	0.3163	0.0636	0.63492	0.88075	0.12423
FABP5P3	0.00551	0.00068	0.00101	0.00142	0.002
FADD	0.02769	0.04314	0.01145	0.03905	0.0132
FADS1	0.19558	0.7121	0.29227	0.17114	0.10525
FADS2	0.04203	0.20041	0.09587	0.00412	0
FADS3	0.01179	0.09513	0.02891	0.00354	0.01058
FADS6	0.07206	0.09964	0.12792	0.05409	0.06685
FAF1	0.15616	0.11418	0.09122	0.46152	0.11238
FAF2	0.13824	0.19689	0.11666	0.16101	0.15933
FAH	0.05561	0.49767	0.21983	0.07863	0.06558
FAHD1	0.13244	0.36506	0.20338	0.28646	0.15321
FAHD2A	0.04145	0.13569	0.03743	0.15136	0.02763
FAHD2B	0.04922	0.06132	0.03709	0.08057	0.06593
FAHD2CP	0.00901	0.01058	0.00157	0.00124	0.01491
FAIM	0.01075	0.01284	0.00483	0.0314	0.01565
FAIM2	0.00651	0.00017	0	0.02107	0.00094
FAM102A	0.21051	0.09877	0.05083	0.16889	0.11599
FAM102B	0.03269	0.01891	0.07351	0.05648	0.02101
RAMAC	0.12551	0.11789	0.07604	0.17043	0.09258
FAM104A	0.20998	0.1038	0.02904	0.28848	0.12193
FAM104B	0.04481	0.04971	0.01774	0.04758	0.04524
OTULINL	0.05767	0.00998	0.26268	0.1379	0.02187
FAM107A	0	0.00399	0.00253	0	0
FAM107B	0.58059	0.32551	0.15045	0.56333	0.33073
PHETA1	0.00831	0.05442	0.04395	0.00545	0.00619
FAM110A	0.08637	0.02788	0.06582	0.2034	0.02181
FAM110B	0.00214	0.03366	0.00883	0.00037	0
FAM110C	0.01822	0.02816	0.00878	0.01039	0.0056
FAM111A	0.40779	0.21199	0.24689	1.26177	0.27687
FAM111B	0.05474	0.03412	0.03524	0.37403	0.00335
FAM114A1	0.06221	0.34056	0.15089	0.04476	0.10044
FAM114A2	0.09172	0.07405	0.08203	0.05828	0.06401
FAM117A	0.06293	0.05373	0.01294	0.03405	0.16684
FAM117B	0.05082	0.02448	0.03371	0.03666	0.05363
FAM118A	0.15754	0.0733	0.14068	0.22059	0.08099
FAM118B	0.03241	0.0344	0.03054	0.02637	0.03787
FAM120A	0.4089	0.33372	0.37898	0.57951	0.3593
FAM120AOS	0.15416	0.09047	0.1147	0.25663	0.12703
FAM120B	0.08082	0.07506	0.11048	0.06683	0.04252
FAM120C	0.05916	0.04647	0.01305	0.0631	0.01569
FAM122A	0.05492	0.01156	0.00987	0.03619	0.0365
FAM122B	0.0516	0.0738	0.02626	0.10444	0.03879
FAM122C	0.09245	0.03684	0.05724	0.04987	0.05643
FAM124A	0.0062	0.01392	0.00824	0.00085	0
FAM126A	0.05866	0.05806	0.05736	0.08042	0.03575
FAM126B	0.3682	0.32479	0.39604	0.36271	0.37797
RTL8C	0.09886	0.24572	0.1156	0.06187	0.0982
RTL8A	0.02549	0.0777	0.03845	0.00715	0.01781
RTL8B	0	0.00456	0	0	0
FAM129A	0.28925	0.06609	0.14084	0.42601	0.17194
FAM129B	0.01056	0.01851	0.04804	0.01268	0
FAM129C	0.00252	0.00069	0	0.00177	0.04931
FAM131A	0.01551	0.02369	0.03242	0	0.00865
FAM131C	0.00126	0.0069	0.00528	0	0
C1QTNF12	0.00538	0.04376	0.01041	0.00085	0.01461
FAM133A	0.01729	0.08747	0.05445	0.00162	0.01668
FAM133B	0.02424	0.01995	0.00727	0.0139	0.01137
FAM133CP	0.0442	0.08495	0.03307	0.02739	0.03587
RETREG2	0.37693	0.62392	0.43601	0.25867	0.31768
RETREG1	0.06033	0.01238	0.00172	0.04242	0.00518
RETREG3	0.15253	0.25384	0.1657	0.13707	0.19511
FAM135A	0.04229	0.07618	0.10979	0.00947	0.05197
FAM136A	0.08312	0.20206	0.10624	0.25486	0.25297
FAM13A	0.03251	0.08372	0.24706	0.00108	0.07161
FAM13A-AS1	0.03401	0.02384	0.06324	0.01071	0.0235
FAM13B	0.2193	0.08423	0.10664	0.20928	0.19388
FAM13C	0.0039	0.01527	0.0074	0	0.00277
FAM149A	0.01954	0.03624	0.00759	0.00681	0.0827
FAM149B1	0.01708	0.03295	0.03368	0.02286	0.0052
FAM151A	0.06434	0.14132	0.11467	0.00807	0
FAM151B	0.00168	0.00856	0.01604	0	0.00054
FAM153C	0.11106	0.0841	0.11292	0.04471	0.08168
FAM155A-IT1	0.00031	0.00763	0	0	0
FAM157B	0.00034	0.00165	0.0099	0.00073	0
FAM157C	0.03379	0.04962	0.0395	0.02724	0.06278
SHISAL2A	0.0188	0.00148	0	0.03081	0.02708
FAM160A2	0.04851	0.10676	0.04298	0.02865	0.01994
FAM160B1	0.13456	0.16387	0.10674	0.16224	0.1201
FAM160B2	0.12193	0.11328	0.1049	0.09096	0.11399
FAM161A	0.2339	0.28429	0.30437	0.20394	0.31718
FAM161B	0.02004	0.04339	0.03743	0.02953	0.03014
FAM162A	0.10184	0.31448	0.24205	0.16216	0.03516
FAM166A	0.01083	0.00635	0	0.00142	0.01017
FAM167A	0.00065	0.00137	0.00416	6e-04	0.00134
FAM167B	0.01005	0.00382	0.00103	0	0.00077
FAM168A	0.04499	0.12856	0.0512	0.01098	0.03098
FAM168B	0.17069	0.29562	0.21757	0.14615	0.13127
FAM169A	0.0682	0.09608	0.02577	0.03577	0.04748
FAM171A1	0.01991	0.10562	0.0122	0.03169	0.11073
FAM171B	0	0.00788	0.0083	0	0
FAM172A	0.16598	0.1291	0.17319	0.29376	0.15469
FAM172BP	0.00658	0.00328	0.00568	0.00094	0.00176
FAM173A	0.11719	0.05466	0.03759	0.10597	0.14
FAM173B	0.03293	0.07627	0.02718	0.04939	0.03361
FAM174A	0.01078	0.0234	0.00927	0.03511	0.0648
FAM174B	0.00752	0.01614	0.05859	0	0
ABRAXAS1	0.03585	0.02801	0.03594	0.01936	0.01603
ABRAXAS2	0.05867	0.06069	0.0608	0.08439	0.05201
FAM177A1	0.33722	0.36805	0.37669	0.30175	0.32863
FAM178B	0.00205	0.00541	0.00049	0	0
TOGARAM2	0.01761	0.00031	0.00157	0.01704	0.00667
TOGARAM1	0.04581	0.07128	0.10712	0.08077	0.11415
FAM180A	0	0.0025	0	0	0
FAM180B	0	0.00169	0.008	0	0
FAM182A	0.00022	0.00457	0	0	0
FAM182B	0	0.01436	0.00014	0	0
FAM183A	0	0.00827	0	0	0.0018
FAM184A	0.06869	0.22064	0.01802	0.09618	0.02745
FAM184B	0.01329	0.01636	0.01807	0.00908	0.00981
FAM185A	0.02404	0.03453	0.02268	0.01497	0.02025
FAM186B	0.00031	7e-04	0.02066	0	0
MINDY3	0.0398	0.03352	0.00239	0.05314	0.06127
MINDY4	0.00156	0.00669	0.00398	0	0.00163
FAM189B	0.02509	0.1615	0.07837	0.04353	0.00876
FAM192A	0.31895	0.32409	0.3616	0.73847	0.3573
FAM193A	0.11518	0.14328	0.21229	0.20763	0.22147
FAM193B	0.12794	0.17057	0.08332	0.14281	0.12083
FAM198A	0	0.01101	0.00759	0	0
FAM198B	0	0.00598	0.11779	0	0
FAM199X	0.04006	0.09369	0.07484	0.0509	0.06259
FAM19A4	0.0144	0.00697	0	0	0
FAM200A	0.02068	0.03345	0.03566	0.01317	0.03858
FAM200B	0.13952	0.16073	0.06237	0.15054	0.05001
FAM201A	0	0.00442	0	0	0.00027
FAM204A	0.2398	0.15487	0.1924	0.34653	0.23407
FAM206A	0.00984	0.04443	0.0291	0.00809	0.03003
FAM207A	0.06516	0.06774	0.07539	0.19511	0.08943
FAM208A	0.40256	0.33158	0.35512	0.33875	0.24319
FAM208B	0.26655	0.25686	0.2493	0.25988	0.20365
FAM209A	0.01269	0.00226	0.00143	0	0.00234
FAM20A	0.02988	0.23241	0.24999	0	0.00962
FAM20B	0.17847	0.28245	0.17078	0.16287	0.09297
FAM20C	0.05093	0.32905	0.18406	0.00485	0.00177
FAM210A	0.05591	0.11048	0.08531	0.19632	0.03592
FAM210B	0.17829	0.47347	0.22565	0.10774	0.18802
INKA1	0	0.00195	0.00589	0.01067	0.0125
INKA2	0.01583	0.03183	0.04971	0.0237	0.01773
PRXL2A	0.29717	0.99205	0.59898	0.14905	0.20464
PRXL2B	0.0954	0.09997	0.06649	0.0265	0.01472
FAM214A	0.21194	0.15044	0.08764	0.19344	0.6092
FAM214B	0.00557	0.01387	0.07867	0.01167	0.01275
FAM216A	0.0137	0.02303	0.01353	0.09552	0.02547
FAM217B	0.31309	0.29999	0.25435	0.18331	0.30377
FAM219A	0.0398	0.02529	0.02071	0.01654	0.03049
FAM219B	0.14729	0.09945	0.08358	0.08705	0.09937
FAM220A	0.01528	0.02774	0.00714	0.01718	0.02008
FAM221A	0.00495	0.02123	0.01219	0.00316	0.01256
FAM222A	0.01599	0.07047	0.02065	0.01768	0.01
FAM222B	0.12499	0.14839	0.06083	0.13008	0.12285
FAM227A	0.27796	0.3569	0.30362	0.19476	0.36663
FAM227B	0.00806	0.00625	0.00694	0.01285	0.0075
FAM228B	0.02994	0.05806	0.02873	0.03801	0.02768
FAM229A	0.01276	0.02005	0.01071	0.00033	0
FAM229B	0.03159	0.09277	0.06261	0.02036	0.04342
AC007731.1	0.00274	0.00125	0.00235	0	0.00296
FAM230B	0.00098	0.0015	0	0	0
FAM24B	0.01346	0.01125	0.00441	0.02436	0.00759
CALHM6	0.00275	0.00315	0.29824	0.04317	0.00681
FAM32A	0.30112	0.3072	0.378	0.38459	0.29688
SHLD2	0.13862	0.22209	0.15111	0.17722	0.12807
SHLD2P1	0	0.0022	0	0	0
SHLD2P3	4e-04	0.01785	0.02051	0	0.01019
FAM3A	0.10323	0.2069	0.1277	0.11719	0.10633
FAM3B	0.00323	0.0438	0.003	0	0.00077
FAM3C	0.1812	0.21054	0.10403	0.24981	0.35313
FAM3D	0.05107	0.05021	0.03277	0.05176	0.06303
FAM41C	0.029	0.01965	0.02273	0.00404	0.00249
FAM43A	0.02599	0.01303	0.02161	0.04514	0.00851
FAM45A	0.01572	0.02132	0.01612	0	0.00041
TENT5A	0.05966	0.22282	0.43756	0.04522	0.03101
TENT5B	0	0.00393	0.00309	0	0
TENT5C	0.20502	0.03466	0.04223	0.33366	1.3115
FAM47E	0.001	0.0072	0.00404	0	0.01687
FAM49A	0.01768	0.01526	0.15854	0.10658	0.12889
FAM49B	0.41624	0.15068	0.38312	0.74599	0.20757
FAM50A	0.37871	0.51467	0.57367	0.37244	0.26196
FAM50B	0.01066	0.08586	0.04757	0.02251	0.01068
FAM53A	0	0.01848	0.00114	0	0
FAM53B	0.31379	0.05105	0.07375	0.29796	0.07746
FAM53B-AS1	0.34966	0.24909	0.29585	0.17664	0.36871
FAM53C	0.03818	0.05034	0.03526	0.07503	0.0382
FAM57A	0.00731	0.00611	0.01075	0	0
CCNQ	0.06355	0.06338	0.08783	0.08054	0.09226
SINHCAF	0.12616	0.05085	0.07256	0.19479	0.17841
MINDY1	0.04541	0.2011	0.11164	0.04916	0.215
MINDY2	0.56035	0.52444	0.52558	0.51767	0.5597
PIMREG	0	0.0067	0.00248	0.16388	0.00219
RIPOR1	0.0176	0.04849	0.043	0.00889	0.03591
RIPOR2	0.80493	0.67852	0.7777	0.86098	0.88082
FAM69A	0.04597	0.07222	0.03031	0.14692	0.21188
FAM69B	0.0094	0.02063	0.01252	0	0.01272
FAM71E1	0	0.01092	0	0	0.00912
FAM71F1	0	0.00522	0	0	0
FAM71F2	0.23744	0.27647	0.32097	0.11761	0.23746
FAM72B	0.00044	0.00105	0.02595	0.01028	0.00603
FAM76A	0.0742	0.10175	0.10516	0.12828	0.04577
FAM76B	0.13364	0.15255	0.10735	0.24009	0.14203
FAM78A	0.09309	0.005	0.06275	0.12458	0.09767
FAM78B	0.00622	0.00977	0.00575	0.00642	0.00168
FAM81A	0.00037	0.0018	0	0	0
FAM83A	0.0041	0.00935	0.00556	0.00515	0.0058
FAM83B	0.0021	0.01304	0.00116	0.00128	0.00042
FAM83D	0.01821	0.05405	0.00902	0.14208	0
FAM83E	0.01626	0.01159	0.00512	0.00117	0.02787
FAM83G	0	0.00399	0	0.00049	0.01344
FAM83H	0.04128	0.17252	0.07071	0.02303	0.01071
IQANK1	0.00451	0.00961	0.00778	0.01071	0.00547
FAM84B	0.10381	0.13186	0.07792	0.03521	0.0475
FAM86B3P	0.00128	0.01251	0.00905	0.02457	0.00595
FAM86C1	0.00996	0.00941	0.00134	0.00548	0.00268
FAM86C2P	0.00095	0.0158	0.00721	0	0
FAM86DP	0.00661	0.00706	7e-04	0.00146	0.00844
FAM86EP	0.00098	0.01509	0.00047	0.0037	0
FAM86FP	0.00319	0.0043	0.00903	0.00034	0.02504
FAM86HP	0.00352	0.00458	0	0.0016	0.00866
FAM86JP	0.00051	0.00429	0.01336	0	0
FAM89A	0.00293	0.02127	0.0149	0.00073	0.01967
FAM89B	0.19264	0.09884	0.08633	0.28994	0.22097
FAM8A1	0.10955	0.29852	0.02917	0.04357	0.05161
FAM91A1	0.13924	0.19697	0.25788	0.1306	0.08295
FAM92A1P2	0.03523	0.05053	0.06252	0.03126	0.04733
FAM92B	0.00994	0.00147	0	0.00194	0.13321
CIAO2A	0.15323	0.32533	0.27846	0.22412	0.21759
CIAO2B	0.23899	0.2475	0.12709	0.37187	0.13476
FAM98A	0.05305	0.09509	0.04539	0.18626	0.14471
FAM98B	0.0804	0.06626	0.05137	0.18673	0.09937
FAM98C	0.03722	0.02684	0.03161	0.00797	0.04246
FAM99A	0.02082	0.01917	0	0.0012	0.00284
FAM9B	0.04327	0.06528	0.04157	0.02495	0.04339
FAN1	0.08983	0.22564	0.15641	0.12258	0.16328
FANCA	0.04285	0.07985	0.02496	0.13776	0.10448
FANCB	0.00689	0.00838	0.00163	0.05905	0.01037
FANCC	0.01365	0.01421	0.02066	0.01772	0.03429
FANCD2	0.13468	0.11601	0.09058	0.51385	0.16582
FANCE	0.01373	0.01323	0.00467	0.02412	0.00693
FANCF	0.07497	0.05711	0.05512	0.05063	0.02413
FANCG	0.02413	0.02037	0.01547	0.18489	0.02335
FANCI	0.10835	0.08109	0.08075	0.63377	0.05956
FANCL	0.05771	0.08368	0.02924	0.16977	0.03595
FANCM	0.05226	0.04662	0.05842	0.14554	0.06684
FAR1	0.10659	0.02351	0.19238	0.20128	0.11218
FAR2	0.02738	0.00215	0.00898	0.0303	0.01465
FAR2P1	0.00445	0.01349	0.00411	0	0
FAR2P2	0.15955	0.18927	0.17169	0.08904	0.14482
FARP1	0.02202	0.24028	0.16009	0.02404	0.00283
FARP2	0.03803	0.05523	0.02768	0.0323	0.06911
FARS2	0.06836	0.06269	0.0265	0.10185	0.04226
FARSA	0.15224	0.14094	0.18501	0.33176	0.20001
FARSB	0.11637	0.24636	0.09528	0.25485	0.06647
FAS	0.21871	0.03477	0.04931	0.25295	0.13213
FASLG	0.0843	0.00127	0.00588	0.04854	0.0118
FASN	0.26169	0.98202	0.42026	0.15025	0.02485
FASTK	0.09319	0.17309	0.092	0.16796	0.16565
FASTKD1	0.03783	0.08877	0.07731	0.04507	0.06455
FASTKD2	0.35294	0.44421	0.32676	0.26449	0.26056
FASTKD3	0.03337	0.0596	0.00871	0.0063	0.01666
FASTKD5	0.07685	0.06485	0.04828	0.01905	0.02775
FAT1	0.0496	0.26821	0.05131	0.00705	0.04372
FAT3	0.00507	0.00606	0.0064	0.00069	0.01424
FAT4	0.01641	0.01175	0.00534	0	0.00215
FAU	2.37575	1.36967	1.33764	2.53019	2.16399
FAXC	0.09013	0.09976	0.09967	0.05187	0.09416
FAXDC2	0.02818	0.10253	0.0744	0	0.01236
FBF1	0.01437	0.03101	0.00233	0.00997	0.01028
FBL	0.46579	0.41679	0.34765	0.9722	0.32365
FBLIM1	0.36353	0.40607	0.371	0.2743	0.38089
