CD8T	Malignant	Mono/Macro	Tprolif	B
ACAA2	0.24948	0.52927	0.2662	0.52442	0.19701
ACACB	0.05039	0.30173	0.13525	0.03351	0.02876
ACAD10	0.06174	0.15854	0.05983	0.0447	0.05516
ACAD8	0.03461	0.0651	0.02051	0.02483	0.03574
ACAD9	0.05099	0.1443	0.16071	0.21322	0.06276
ACADL	0.00902	0.03629	0.01122	0	0
ACADM	0.16265	0.36781	0.2047	0.35826	0.27651
ACADS	0.07141	0.13528	0.04267	0.12298	0.04996
ACADSB	0.20926	0.75286	0.42213	0.16106	0.08676
ACADVL	0.2815	0.63638	0.31887	0.7465	0.81899
ACAP1	0.40614	0.02032	0.01271	0.48602	0.22967
ACAP2	0.47718	0.3221	0.43292	0.54322	0.2274
ACAP3	0.05551	0.0844	0.05507	0.1768	0.11478
ACAT1	0.11556	0.53586	0.21203	0.11616	0.12951
ACAT2	0.11165	0.29909	0.08659	0.18988	0.05792
ACBD3	0.29305	0.35097	0.40585	0.4337	0.60224
ACBD4	0.01841	0.0488	0.02353	0.01733	0.02298
ACBD5	0.12808	0.27103	0.1192	0.15402	0.10347
ACBD7	0.06234	0.10501	0.08348	0.06785	0.08464
ACCS	0.02868	0.05957	0.02235	0.04171	0.03223
ACD	0.04823	0.07459	0.09205	0.0983	0.04215
ACE	0.00492	0.00109	0.02511	0	0
ACE2	0.02746	0.00658	0.00197	0	0.00295
ACER3	1.70499	1.76287	2.06182	1.45086	1.93878
ACHE	0.00379	0.01184	0.01616	0	0.00959
ACIN1	0.56307	0.43924	0.76362	0.98257	0.65461
ACKR2	0.0141	0.02003	0.00803	0.00191	0.0154
ACKR3	0	0.00552	0.00156	0	0
ACLY	0.19779	0.17947	0.1662	0.22881	0.09761
ACMSD	0.00533	0.03377	0.01003	0.0053	0.0025
ACO1	0.03336	0.14105	0.05544	0.0223	0.03462
ACO2	0.1525	0.26697	0.18805	0.26198	0.33675
ACOT11	0.00207	0.00641	0.01183	0	0
ACOT12	0.02711	0.20186	0.058	0.00411	0.01419
ACOT13	0.12535	0.26874	0.10767	0.15003	0.0661
ACOT2	0.03731	0.10301	0.04514	0.00203	7e-04
ACOT4	0.01394	0.0487	0.02922	0.01829	0
ACOT7	0.08037	0.14502	0.07557	0.61673	0.04044
ACOT8	0.03201	0.07406	0.00615	0.15427	0.07748
ACOT9	0.35554	0.35624	0.43473	0.38404	0.31411
ACOX1	0.14369	0.41671	0.23508	0.13661	0.13162
ACOX2	0.0246	0.11222	0.02524	0.00098	0.01205
ACOX3	0.05796	0.07353	0.01989	0.08484	0.04634
ACOXL	0.01513	0.00103	0	0.01289	0.07455
ACP1	0.13872	0.22151	0.13016	0.37977	0.23975
ACP2	0.02827	0.11508	0.21451	0.07553	0.11356
ACP5	0.01809	0.00682	0.08888	0.00504	0.01789
ACP6	0.05047	0.06051	0.02263	0.01809	0.00754
ACPP	0.00437	0.00358	0.02937	0.0016	0.00067
ACR	0	0.00634	0	0	0
ACRBP	0.00027	0.00308	0.05469	0.00102	0.0122
ACSBG1	0.00616	0.00582	0.00203	0	0
ACSF2	0.03794	0.15467	0.06417	0.05166	0.04984
ACSF3	0.03623	0.02493	0.02801	0.03074	0.0428
ACSL1	0.18194	0.73298	0.39023	0.11496	0.02218
ACSL3	0.10764	0.38974	0.21426	0.19538	0.08754
ACSL4	0.35792	1.00431	0.5398	0.30176	0.16602
ACSL5	0.15139	0.19848	0.11246	0.16376	0.11907
ACSL6	0.08634	0.10193	0.04003	0.04512	0.06194
ACSM1	0.00365	0.07378	0.02958	0	0.00298
ACSM2A	0.24247	0.93153	0.20606	0.06445	0.20291
ACSM2B	0.17916	0.90619	0.23689	0.06333	0.10059
ACSM3	0.00912	0.01682	0.00675	0.01798	0.0135
ACSM5	0.04882	0.43663	0.16581	0.02815	0.00875
ACSS1	0.1045	0.05814	0.10798	0.19826	0.29949
ACSS2	0.02054	0.27851	0.12819	0.06348	0.06549
ACSS3	0.01565	0.15541	0.02437	0.00381	0.01769
ACTA2	0.08361	0.01025	0.00015	0.10491	0.01775
ACTB	3.07406	1.62391	2.91067	3.82523	1.73148
ACTG1	2.41113	1.09744	1.84656	3.26672	1.29198
ACTG1P4	0.00038	0.00397	0.00795	0.00437	0.00083
ACTG2	0.03808	0.00336	0.00113	0.04803	0.00423
ACTL6A	0.03998	0.06723	0.05226	0.16327	0.02992
ACTL8	0.00356	0.03198	0.0591	0	0.00109
ACTN1	0.08441	0.33129	0.29272	0.07175	0.00843
ACTN2	0.0012	0.0181	0.00154	0	0
ACTN4	0.47218	0.52524	0.35295	0.60068	0.30123
ACTR10	0.12324	0.13075	0.10778	0.14306	0.07747
ACTR1A	0.30949	0.20223	0.23441	0.59321	0.31944
ACTR1B	0.11394	0.1184	0.08353	0.20371	0.08463
ACTR2	1.22726	0.53691	0.85679	1.74204	0.75344
ACTR3	0.7057	0.27434	0.73655	1.34539	0.48709
ACTR3B	0.01962	0.03074	0.01265	0.01026	0.00057
ACTR3C	0.02567	0.05676	0.01634	0.01864	0.02238
ACTR5	0.03413	0.02576	0.00472	0.00583	0.00955
ACTR6	0.10012	0.1261	0.08603	0.12923	0.07705
ACTR8	0.05451	0.05609	0.03266	0.04183	0.10218
ACTRT3	0.00105	0.03705	0.01941	0	0
ACVR1	0.02174	0.04873	0.01573	0.00452	0.0221
ACVR1B	0.03836	0.12424	0.08402	0.00878	0.00202
ACVR1C	0.00719	0.0336	0.001	0.01367	0
ACVR2A	0.01551	0.06731	0.04468	0.01752	0.00871
ACVR2B	0.02497	0.06399	0.02127	0.01593	0.02568
ACVR2B-AS1	0.00632	0.00972	0.00057	0	0.00404
ACVRL1	9e-04	0.00479	0.03602	0.00809	0
ACY3	0.00099	0.02415	0	0.06349	0.01966
ACYP1	0.03649	0.04784	0.01956	0.17716	0.02616
ACYP2	0.07988	0.09344	0.07439	0.06955	0.08125
ADA	0.16743	0.04953	0.11064	0.41945	0.18082
ADAD2	3e-04	0.00214	0.00664	0	0
ADAL	0.04967	0.11309	0.08074	0.09573	0.06884
ADAM10	0.28428	0.21532	0.27039	0.20187	0.15608
ADAM11	0.00045	0.0023	0.003	0	0
ADAM12	0.02248	0.01781	0.01859	0	0
ADAM15	0.00351	0.02943	0.03531	0.00188	0.02182
ADAM17	0.3147	0.39993	0.4721	0.45574	0.36103
ADAM19	0.04469	0.02109	0.02994	0.09978	0.18699
ADAM1A	0.00177	0.01114	0.00599	0	0.00097
ADAM20	0.012	0.00542	0.00042	0	0.00057
ADAM20P1	0.00106	0.00417	0	0	0
ADAM22	0.01457	0.0093	0.00456	0	0
ADAM23	0.00686	0.00205	0.00114	0.02018	0.00083
ADAM28	0.04527	0.00891	0.25368	0.05476	0.38133
ADAM33	0.01307	0.01463	0.02776	0.00718	0.01976
ADAM8	0.07735	0.01348	0.06973	0.02236	0.0501
ADAM9	0.00668	0.06044	0.28087	0.04078	0.0041
ADAMDEC1	0.00648	4e-04	0.04393	0	0
ADAMTS1	0.00115	0.00803	0	0	0
ADAMTS10	0.03006	0.03671	0.01219	0	0.00089
ADAMTS13	0.00518	0.02476	9e-04	0	0
ADAMTS16	0.00112	0.01803	0	0	0
ADAMTS17	0.02065	0.0242	0.0157	0.01262	0.00704
ADAMTS18	0	0.00629	0.02136	0	0.00665
ADAMTS2	0.00955	0.01658	0.05493	0.02187	0.0196
ADAMTS20	0	0.00417	0.00276	0	0
ADAMTS3	0.00256	0.00712	0.00234	0.00057	0.00609
ADAMTS4	0.02317	0.01118	0.00614	0.00342	0.01318
ADAMTS5	0	0.00772	0.00462	0	0.00997
ADAMTS6	0.02667	0.01395	0.00949	0	0.01733
ADAMTS7	0	0.00221	0.00237	0.00307	0.007
ADAMTS9	0.00402	0.06134	0.00168	0.00175	0.00738
ADAMTSL2	0.00339	0.05732	0.01588	0.01353	0.0042
ADAMTSL3	0.01728	0.10547	0.04018	0.00244	0.00689
ADAMTSL4	0.00891	0.03715	0.03562	0.01062	0.01019
ADAMTSL4-AS1	0.01424	0.00299	0.05196	0.0133	0.07644
ADAMTSL5	3e-04	0.01452	0.00085	0.00164	0.00252
ADAP1	0.01302	0.00477	0.03559	0.09062	0.0243
ADAP2	0.04808	0.07434	1.11776	0.00756	0.01955
ADAR	0.80515	0.6988	0.67519	0.92649	0.62608
ADARB1	0.14645	0.01904	0.00969	0.09067	0.02784
ADARB2	0.00028	0.00257	0	0.00553	0.00033
ADAT1	0.60545	0.60502	0.54401	0.49051	0.49459
ADAT2	0.22544	0.14809	0.09878	0.25649	0.11504
ADAT3	0.01249	0.02301	0.00824	0.05393	0.01875
ADCK1	0.01863	0.04736	0.04047	0.03067	0.00477
ADCK2	0.0434	0.06256	0.0918	0.01849	0.02228
ADCK5	0.06005	0.07743	0.05195	0.0467	0.02455
ADCY1	0.19733	0.24054	0.22827	0.1428	0.17429
ADCY10	0	0.02039	0.00116	0	9e-04
ADCY10P1	0.00217	0.01619	0.00818	0.00048	0.00985
ADCY2	0.03314	0.0173	0.05633	0.02139	0.06504
ADCY3	0.06043	0.0059	0.04708	0.04499	0.03797
ADCY5	0.00137	0.00875	0.00598	0	0
ADCY6	0.01468	0.08588	0.02962	0.00113	0.00529
ADCY7	0.11433	0.01115	0.13518	0.14897	0.0342
ADCY9	0.01175	0.05814	0.02898	0	0.0031
ADD1	0.33278	0.37651	0.2451	0.4538	0.35241
ADD3	0.44073	0.27118	0.19122	0.52338	0.37786
ADH1A	0.16771	0.70098	0.21757	0.11196	0.05717
ADH1B	0.44536	1.41703	0.54866	0.19535	0.17015
ADH1C	0.04106	0.27279	0.08456	0.06384	0.01414
