Cell,UMAP_1,UMAP_2,Cluster,Celltype..malignancy.,Celltype..major.lineage.,Celltype..minor.lineage.,Patient,Sample,Tissue,Risk.Factor,RiskFactorScore
HCC2_COL6_ROW20,4.60940502205865,2.32133503493971,1,Malignant cells,Malignant,Malignant,Patient 2,Patient 2,Tumor,0.574303767844606,0.574303767844606
HCC2_COL6_ROW21,4.83369491616265,3.64165921745009,1,Malignant cells,Malignant,Malignant,Patient 2,Patient 2,Tumor,0.516420937670645,0.516420937670645
HCC2_COL6_ROW22,3.59887931862847,4.52238674697584,1,Malignant cells,Malignant,Malignant,Patient 2,Patient 2,Tumor,0.189250331539122,0.189250331539122
HCC2_COL6_ROW23,3.56790493050591,4.34577150878615,1,Malignant cells,Malignant,Malignant,Patient 2,Patient 2,Tumor,-0.349325220376004,-0.349325220376004
HCC2_COL6_ROW24,4.43997238198296,4.21674008903212,1,Malignant cells,Malignant,Malignant,Patient 2,Patient 2,Tumor,-0.265543334113425,-0.265543334113425
HCC2_COL6_ROW25,7.80832193413751,-5.52064828338915,4,Immune cells,CD8T,CD8T,Patient 2,Patient 2,Tumor,0.453935564396599,0.453935564396599
HCC2_COL6_ROW26,3.24924514809625,2.86440177497572,1,Malignant cells,Malignant,Malignant,Patient 2,Patient 2,Tumor,-0.225290584288946,-0.225290584288946
HCC2_COL6_ROW27,4.58037279168145,3.49186106261916,1,Malignant cells,Malignant,Malignant,Patient 2,Patient 2,Tumor,-0.324284265543334,-0.324284265543334
HCC2_COL6_ROW28,2.8245630077459,4.65928097305006,1,Malignant cells,Malignant,Malignant,Patient 2,Patient 2,Tumor,-0.337779858023247,-0.337779858023247
HCC2_COL6_ROW29,2.80511949578301,4.27154632148451,1,Malignant cells,Malignant,Malignant,Patient 2,Patient 2,Tumor,-0.243310710663858,-0.243310710663858
HCC2_COL6_ROW3,6.7612371257879,-5.45218877258592,4,Immune cells,CD8T,CD8T,Patient 2,Patient 2,Tumor,-0.240970434511272,-0.240970434511272
HCC2_COL6_ROW30,4.84987257042901,3.14328570899672,1,Malignant cells,Malignant,Malignant,Patient 2,Patient 2,Tumor,-0.313518995241438,-0.313518995241438
HCC2_COL6_ROW31,4.69472263375298,2.21742274102873,1,Malignant cells,Malignant,Malignant,Patient 2,Patient 2,Tumor,0.321943989390748,0.321943989390748
HCC2_COL6_ROW32,5.28684995690362,2.88167400893874,1,Malignant cells,Malignant,Malignant,Patient 2,Patient 2,Tumor,0.310476636243077,0.310476636243077
HCC2_COL6_ROW33,1.45375631371514,3.31127424773878,1,Malignant cells,Malignant,Malignant,Patient 2,Patient 2,Tumor,-0.394960605351431,-0.394960605351431
HCC2_COL6_ROW34,3.09266613045709,-3.03525952759081,6,Immune cells,Mono/Macro,Mono/Macro,Patient 2,Patient 2,Tumor,-0.266167407754115,-0.266167407754115
