Cell,UMAP_1,UMAP_2,Cluster,Celltype..malignancy.,Celltype..major.lineage.,Celltype..minor.lineage.,Patient,Sample,Tissue,Risk.Factor,RiskFactorScore
HCC1_COL1_ROW1,6.66785429039971,-5.39557866516405,4,Immune cells,CD8T,CD8T,Patient 1,Patient 1,Tumor,0.487635540993837,0.487635540993837
HCC1_COL1_ROW10,-7.04167034110053,-3.83590535583788,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,0.431000858101256,0.431000858101256
HCC1_COL1_ROW11,-8.98207332571967,-3.22577170791917,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,0.595990326858569,0.595990326858569
HCC1_COL1_ROW12,-10.1264314838312,-2.31262282791429,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,0.488337623839613,0.488337623839613
HCC1_COL1_ROW13,-8.92685367545112,-4.10874394836717,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,-0.229269053748342,-0.229269053748342
HCC1_COL1_ROW14,-8.58372547110542,-3.5189078277617,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,0.550276932678056,0.550276932678056
HCC1_COL1_ROW15,-8.79384710272773,-3.84210996094042,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,0.412590685700913,0.412590685700913
HCC1_COL1_ROW16,-12.1876945682429,-3.67182759704881,9,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,-0.323582182697558,-0.323582182697558
HCC1_COL1_ROW17,-9.16021730383857,-6.15561561050707,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,0.513534597082456,0.513534597082456
HCC1_COL1_ROW18,-7.49595787009223,-4.45229224624925,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,0.515640845619783,0.515640845619783
HCC1_COL1_ROW19,-8.51024867972358,-4.85172299804979,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,0.552383181215383,0.552383181215383
HCC1_COL1_ROW2,-9.54467203101142,-5.81929854812914,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,0.535299165301506,0.535299165301506
HCC1_COL1_ROW20,-8.3869037814997,-4.39449052276903,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,0.56806303143771,0.56806303143771
HCC1_COL1_ROW21,-8.65829183539375,-4.01978663864427,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,0.515640845619783,0.515640845619783
HCC1_COL1_ROW22,-12.6935749240778,-3.5543458885222,9,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,-0.303143770964974,-0.303143770964974
HCC1_COL1_ROW23,-10.4590683170222,-4.42560414734178,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,0.473593884078321,0.473593884078321
HCC1_COL1_ROW24,-6.80256273230537,-4.56413249435716,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,-0.188860285513691,-0.188860285513691
HCC1_COL1_ROW25,-9.19429542502387,-3.04124764862352,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,0.591075746938138,0.591075746938138
HCC1_COL1_ROW26,-9.63717462500556,-2.49588589134508,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,0.5228957016928,0.5228957016928
HCC1_COL1_ROW27,-12.7062606998347,-3.65106944504076,9,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,0.521569545206334,0.521569545206334
HCC1_COL1_ROW28,-10.1389942356013,-4.31560210647875,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,0.595522271628052,0.595522271628052
HCC1_COL1_ROW29,-8.65892745932563,-4.38433532181078,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,-0.225056556673688,-0.225056556673688
HCC1_COL1_ROW3,-6.96220018347724,-4.43222598495775,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,0.463296669006943,0.463296669006943
HCC1_COL1_ROW30,-8.86295892676337,-2.27708057823473,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,0.412824713316171,0.412824713316171
HCC1_COL1_ROW31,2.70426462212579,-1.17710046234422,6,Immune cells,Mono/Macro,Mono/Macro,Patient 1,Patient 1,Tumor,-0.190498478820501,-0.190498478820501
HCC1_COL1_ROW32,-11.3282423206232,-3.75859097900682,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,0.58920352601607,0.58920352601607
HCC1_COL1_ROW33,-9.61440469702705,-5.73738793793016,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,0.540291754427022,0.540291754427022
HCC1_COL1_ROW34,-7.94747306784614,-5.14940766754442,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,0.544114205476246,0.544114205476246
HCC1_COL1_ROW35,-8.35940124472602,-3.88912848892503,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,0.451673297449099,0.451673297449099
HCC1_COL1_ROW36,-9.68325616797431,-5.80751017990404,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,-0.246119042046961,-0.246119042046961
HCC1_COL1_ROW37,-10.3383627124689,-2.59055499496751,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,0.486153366097199,0.486153366097199
HCC1_COL1_ROW38,-8.37420370062812,-4.1499474472075,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,-0.228410952492394,-0.228410952492394
HCC1_COL1_ROW39,-7.36865570029243,-4.1933749145537,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,0.593260004680552,0.593260004680552
HCC1_COL1_ROW4,-6.96934511145576,-4.10141162338548,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,0.491614010453234,0.491614010453234
HCC1_COL1_ROW40,-8.79499294241889,-4.18955401840501,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,-0.215305406037912,-0.215305406037912
HCC1_COL1_ROW5,-8.5708866306208,-4.39481048050218,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,0.584444964505812,0.584444964505812
HCC1_COL1_ROW6,-8.75559236487373,-3.23495606842333,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,0.522037600436851,0.522037600436851
HCC1_COL1_ROW7,-9.75577260931953,-4.88308505478197,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,0.511662376160387,0.511662376160387
HCC1_COL1_ROW8,-8.94042207678779,-2.44870905342394,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,0.37015367813402,0.37015367813402
HCC1_COL1_ROW9,-10.7060270496271,-3.51748732986742,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,0.45596380372884,0.45596380372884
HCC1_COL10_ROW1,-9.34414674719794,-3.8414199775725,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,0.577346126842967,0.577346126842967
HCC1_COL10_ROW10,-9.69523145636543,-3.83146027984911,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,0.42928465558936,0.42928465558936
HCC1_COL10_ROW11,-10.3629713245295,-4.25246171417528,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,-0.312036820344801,-0.312036820344801
HCC1_COL10_ROW12,-9.28854658087714,-3.83667449417406,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,0.478040408768235,0.478040408768235
HCC1_COL10_ROW13,-9.4935989566706,-4.12955407562547,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,0.380372884000312,0.380372884000312
HCC1_COL10_ROW14,8.63664529839532,-5.36938838424974,4,Immune cells,CD8T,CD8T,Patient 1,Patient 1,Tumor,-0.201731804352914,-0.201731804352914
HCC1_COL10_ROW15,-6.88850976904853,-4.402426523593,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,-0.197831344098604,-0.197831344098604
HCC1_COL10_ROW16,-8.41826774558051,-4.58462171020799,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,-0.202511896403776,-0.202511896403776
HCC1_COL10_ROW17,-8.78755666693671,-3.84525184097582,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,0.514158670723145,0.514158670723145
HCC1_COL10_ROW18,-10.051660556402,-5.35031251373583,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,0.593260004680552,0.593260004680552
HCC1_COL10_ROW19,-8.28253509482368,-4.46280173721605,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,0.539355643965988,0.539355643965988
HCC1_COL10_ROW2,-8.97454835852607,-4.22550944748216,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,0.4816288322022,0.4816288322022
HCC1_COL10_ROW20,-10.2209749408625,-4.53465442123705,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,0.568843123488571,0.568843123488571
HCC1_COL10_ROW21,-7.21171953162177,-4.55422477188402,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,0.579842421405726,0.579842421405726
HCC1_COL10_ROW22,-10.0540228076838,-3.5167334503203,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,0.546064435603401,0.546064435603401
HCC1_COL10_ROW23,-9.65573408087714,-5.27048997345262,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,0.485217255636165,0.485217255636165
HCC1_COL10_ROW24,-8.80079032858833,-3.6462819999724,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,0.541071846477884,0.541071846477884
HCC1_COL10_ROW25,-8.17019655188544,-4.44429807129198,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,0.579530384585381,0.579530384585381
HCC1_COL10_ROW26,-7.42737628897651,-4.38134459915453,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,0.587331305094001,0.587331305094001
HCC1_COL10_ROW27,-10.453178424444,-3.74651364746385,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,0.50604571339418,0.50604571339418
HCC1_COL10_ROW28,-9.06434680899604,-4.05285052719408,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,-0.249941493096185,-0.249941493096185
HCC1_COL10_ROW29,-8.88127233466132,-4.8587220138579,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,0.429440673999532,0.429440673999532
HCC1_COL10_ROW3,-6.94865228613837,-4.10690049591356,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,0.567516967002106,0.567516967002106
HCC1_COL10_ROW30,-8.61342622717841,-4.43790320816332,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,0.574381777049692,0.574381777049692
HCC1_COL10_ROW31,-8.59418441733344,-4.48740844192796,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,0.456275840549185,0.456275840549185
HCC1_COL10_ROW32,-8.01372625311835,-4.74767140808397,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,-0.262188938294719,-0.262188938294719
HCC1_COL10_ROW33,-7.31394197424873,-3.58088283005052,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,0.54856073016616,0.54856073016616
HCC1_COL10_ROW34,-8.4220862575434,-4.77492360534959,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,0.482954988688665,0.482954988688665
HCC1_COL10_ROW35,-8.74873973807319,-2.71452741089159,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,-0.29378266635463,-0.29378266635463
HCC1_COL10_ROW36,-7.90079833945258,-4.32707337799364,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,0.580856541071846,0.580856541071846
HCC1_COL10_ROW37,-10.4968500324152,-4.28726510467821,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,0.537717450659178,0.537717450659178
HCC1_COL10_ROW38,-9.12118007620795,-2.25327066841417,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,0.585537093377018,0.585537093377018
HCC1_COL10_ROW39,-10.5720510669611,-3.95096234741502,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,0.590607691707621,0.590607691707621
HCC1_COL10_ROW4,-6.78768207510932,-4.27002458038622,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,-0.197441298073173,-0.197441298073173
HCC1_COL10_ROW40,-11.2910022922419,-3.89474610748583,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,-0.240502379280755,-0.240502379280755
HCC1_COL10_ROW5,-9.7452964969538,-3.95364121856981,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,0.549964895857711,0.549964895857711
HCC1_COL10_ROW6,-10.2859697528742,-5.38791779938036,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,0.530306576175989,0.530306576175989
HCC1_COL10_ROW7,-10.1708536334894,-5.42169169845873,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,0.442078165223496,0.442078165223496
HCC1_COL10_ROW8,-7.24296857794746,-4.2492545074492,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,0.582650752788829,0.582650752788829
HCC1_COL10_ROW9,-10.4940042682551,-4.2975271171599,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,0.525391996255558,0.525391996255558
HCC1_COL11_ROW1,-12.7763338275812,-3.65446214142137,9,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,0.498634838910992,0.498634838910992
HCC1_COL11_ROW10,-9.96617795905097,-2.48690823974901,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,0.557141742725642,0.557141742725642
HCC1_COL11_ROW11,-8.50202848395332,-4.48845366897875,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,0.469849442234184,0.469849442234184
HCC1_COL11_ROW12,-9.70696927985175,-2.86597375335985,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,0.575317887510726,0.575317887510726
HCC1_COL11_ROW13,-9.50260354956611,-1.8841855949431,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,0.54629846321866,0.54629846321866
HCC1_COL11_ROW14,2.94452379265801,-1.65195588531786,6,Immune cells,Mono/Macro,Mono/Macro,Patient 1,Patient 1,Tumor,-0.208206568375068,-0.208206568375068
HCC1_COL11_ROW15,-9.11809875449165,-3.19176940384203,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,0.571885482486933,0.571885482486933
HCC1_COL11_ROW16,-9.47912122687324,-5.49370078506761,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,0.52617208830642,0.52617208830642
HCC1_COL11_ROW17,-11.8234539218806,-3.69255523147875,9,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,0.318121538341524,0.318121538341524
HCC1_COL11_ROW18,-9.56488706549628,-2.93514613571458,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,0.486933458148061,0.486933458148061
HCC1_COL11_ROW19,-7.01944686850532,-4.40671328964525,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,0.598018566190811,0.598018566190811
HCC1_COL11_ROW2,-8.03458406409248,-5.48475484314256,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,0.472267727591856,0.472267727591856
HCC1_COL11_ROW20,-6.60632087668403,-4.41618232193285,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,-0.190654497230673,-0.190654497230673
HCC1_COL11_ROW21,-8.88796426733955,-5.62552813949876,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,0.540915828067712,0.540915828067712
HCC1_COL11_ROW22,-8.0766763873957,-3.29606561127,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,-0.236211873001014,-0.236211873001014
HCC1_COL11_ROW23,-9.8114814945124,-2.1478038257628,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,0.544504251501677,0.544504251501677
HCC1_COL11_ROW24,-12.3584346958063,-3.82625655594164,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,-0.256338247913254,-0.256338247913254
HCC1_COL11_ROW25,-10.058839816656,-3.3793666786223,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,0.573523675793744,0.573523675793744
HCC1_COL11_ROW26,-8.24052383383735,-5.19976596298509,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,0.50276932678056,0.50276932678056
HCC1_COL11_ROW27,-10.1708021350764,-2.58893565597826,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,0.558623917622279,0.558623917622279
HCC1_COL11_ROW28,-8.0244302936457,-5.05394486847215,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,0.37959279194945,0.37959279194945
HCC1_COL11_ROW29,-9.3805675693415,-1.8892817920714,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,0.572743583742882,0.572743583742882
HCC1_COL11_ROW3,-9.14072658499702,-6.32125691833788,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,0.57461580466495,0.57461580466495
HCC1_COL11_ROW30,-9.24927522620185,-2.33713917198473,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,0.563148451517279,0.563148451517279
HCC1_COL11_ROW31,-9.67497446021064,-3.42796401443773,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,0.278804898978079,0.278804898978079
HCC1_COL11_ROW32,-10.33830549201,-4.05997542801195,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,0.441688119198065,0.441688119198065
HCC1_COL11_ROW33,-9.16883518179877,-6.27227668228441,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,-0.233949606053514,-0.233949606053514
HCC1_COL11_ROW34,-9.17304756125434,-3.10601739349657,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,-0.264763242062563,-0.264763242062563
HCC1_COL11_ROW35,-1.1872552335821,7.71327372131056,10,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,-0.345580778531867,-0.345580778531867
HCC1_COL11_ROW36,-7.75178195914252,-4.21661166611009,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,0.512598486621421,0.512598486621421
HCC1_COL11_ROW37,-9.76004125555976,-3.63994864883714,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,0.538107496684609,0.538107496684609
HCC1_COL11_ROW38,-9.36406423529609,-4.60744885864549,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,0.509400109212887,0.509400109212887
HCC1_COL11_ROW39,-9.85193826636298,-3.59652022781664,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,0.395428660581949,0.395428660581949
HCC1_COL11_ROW4,-8.96454956015571,-6.16170339050584,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,0.527732272408144,0.527732272408144
HCC1_COL11_ROW40,-10.020974177923,-4.48499040069872,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,0.336609719946954,0.336609719946954
HCC1_COL11_ROW5,-9.05051042517646,-6.18970469894701,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,0.576644043997192,0.576644043997192
HCC1_COL11_ROW6,-8.55203582724555,-5.78320340576463,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,0.405725875653327,0.405725875653327
HCC1_COL11_ROW7,5.87457798043267,-7.71196011963182,8,Stromal cells,Tprolif,Tprolif,Patient 1,Patient 1,Tumor,-0.249317419455496,-0.249317419455496
HCC1_COL11_ROW8,-7.29264690360053,-5.15724305572801,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,-0.191980653717139,-0.191980653717139
HCC1_COL11_ROW9,-7.14010765036567,-4.25739268722826,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,-0.198455417739293,-0.198455417739293
HCC1_COL12_ROW1,-9.04131891211494,-4.60252742233568,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,0.581870660737967,0.581870660737967
HCC1_COL12_ROW10,-8.26952793082221,-4.56580428543382,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,-0.237460020282393,-0.237460020282393
HCC1_COL12_ROW11,-9.43180276831611,-4.7628329223662,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,0.489663780326079,0.489663780326079
HCC1_COL12_ROW12,-8.12890436133369,-4.45279387893968,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,-0.206490365863172,-0.206490365863172
HCC1_COL12_ROW13,-9.08886339148505,-3.39069537582689,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,-0.266401435369374,-0.266401435369374
HCC1_COL12_ROW14,-9.14107658347114,-5.02746371689134,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,-0.250409548326703,-0.250409548326703
HCC1_COL12_ROW15,-7.08739854773505,-3.99176673355394,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,-0.202667914813948,-0.202667914813948
HCC1_COL12_ROW16,-7.03596450766547,-4.32446746292406,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,-0.210702862937827,-0.210702862937827
HCC1_COL12_ROW17,-9.07792140921577,-4.48336200180345,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,0.547624619705125,0.547624619705125
HCC1_COL12_ROW18,-9.89062215765937,-4.17908315124803,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,0.481862859817458,0.481862859817458
HCC1_COL12_ROW19,-9.49254133185371,-4.13531999054247,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,0.488103596224355,0.488103596224355
HCC1_COL12_ROW2,-8.36559822043403,-5.57846049728685,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,-0.2340276152586,-0.2340276152586
HCC1_COL12_ROW20,-8.25650503119453,-4.95225505295091,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,0.581090568687105,0.581090568687105
HCC1_COL12_ROW21,-7.67117263754829,-4.70450047912889,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,-0.202277868788517,-0.202277868788517
HCC1_COL12_ROW22,-11.1709385105036,-3.78699044647508,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,0.50339340042125,0.50339340042125
HCC1_COL12_ROW23,-10.8262624927424,-4.51766137543016,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,0.431546922536859,0.431546922536859
HCC1_COL12_ROW24,-9.1204676814936,-3.67626742782884,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,-0.236133863795928,-0.236133863795928
HCC1_COL12_ROW25,-7.7198271938227,-3.61728362503343,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,-0.217021608549809,-0.217021608549809
HCC1_COL12_ROW26,-8.44407417258247,-4.61979512634569,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,-0.252125750838599,-0.252125750838599
HCC1_COL12_ROW27,-7.69304515799506,-4.88373736801439,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,0.551135033934004,0.551135033934004
HCC1_COL12_ROW28,-10.387995738592,-5.00944165649706,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,0.566502847335985,0.566502847335985
HCC1_COL12_ROW29,-10.3037185855769,-3.95670775833421,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,-0.24861533660972,-0.24861533660972
HCC1_COL12_ROW3,-9.17298366507514,-3.29992894592577,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,0.550979015523832,0.550979015523832
HCC1_COL12_ROW30,-9.98601819952949,-4.00556878509813,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,-0.322880099851782,-0.322880099851782
HCC1_COL12_ROW31,-10.4009208866022,-4.43604306640917,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,-0.280365083079803,-0.280365083079803
HCC1_COL12_ROW32,-10.2366428562067,-4.51619891586595,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,-0.244870894765582,-0.244870894765582
HCC1_COL12_ROW33,-9.6831684299372,-5.96300248565965,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,0.386223574381777,0.386223574381777
HCC1_COL12_ROW34,-12.3407716937922,-3.5356748527556,9,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,-0.29768312660894,-0.29768312660894
HCC1_COL12_ROW35,-8.441480655279,-5.0155971473723,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,-0.197363288868086,-0.197363288868086
HCC1_COL12_ROW36,-9.58736230811103,-5.77673844757372,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,-0.254622045401357,-0.254622045401357
HCC1_COL12_ROW37,-8.4927239604853,-4.68076161804491,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,-0.231297293080584,-0.231297293080584
HCC1_COL12_ROW38,-10.4553508945368,-4.99999026718431,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,0.274202355877994,0.274202355877994
HCC1_COL12_ROW39,-13.0967064090632,-3.50918082657152,9,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,-0.284499570949372,-0.284499570949372
HCC1_COL12_ROW4,-9.6206216998957,-4.16257123413377,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,0.403931663936345,0.403931663936345
HCC1_COL12_ROW40,-9.17566587409003,-4.33632974090868,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,-0.259848662142133,-0.259848662142133
HCC1_COL12_ROW5,-9.35898878058418,-5.38683061065965,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,0.517669084952024,0.517669084952024
HCC1_COL12_ROW6,-7.84902288397773,-4.8310096687346,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,-0.22848896169748,-0.22848896169748
HCC1_COL12_ROW7,-10.5163297840021,-4.63329581680589,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,0.550901006318746,0.550901006318746
HCC1_COL12_ROW8,-9.66997529944404,-3.57614259186083,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,0.527966300023403,0.527966300023403
HCC1_COL12_ROW9,-8.04043867072089,-4.96298436584764,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,-0.217177626959981,-0.217177626959981
HCC1_COL13_ROW1,-8.00103332480415,-3.3276522583037,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,0.425540213745222,0.425540213745222
HCC1_COL13_ROW10,-10.3265466876887,-2.64777402344042,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,0.58467899212107,0.58467899212107
HCC1_COL13_ROW11,-8.79620410880073,-5.79577855530077,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,0.586005148607536,0.586005148607536
HCC1_COL13_ROW12,-9.83998109778388,-2.21280054512315,0,Malignant cells,Malignant,Malignant,Patient 1,Patient 1,Tumor,0.585849130197363,0.585849130197363
