Cluster	Celltype (malignancy)	Celltype (major-lineage)	Celltype (minor-lineage)	Gene	log2FC	Percentage (%)	Adjusted p-value
0	Malignant cells	Malignant	Malignant	MTRNR2L1	2.7	99.6	0
0	Malignant cells	Malignant	Malignant	SLC2A2	2.31	99.9	0
0	Malignant cells	Malignant	Malignant	RGN	1.96	98.4	0
0	Malignant cells	Malignant	Malignant	SLC13A5	1.6	87.0	0
0	Malignant cells	Malignant	Malignant	KRBOX4	1.33	86.8	0
0	Malignant cells	Malignant	Malignant	SLC13A3	0.94	68.6	0
0	Malignant cells	Malignant	Malignant	NADK2	1.65	96.2	3.8e-288
0	Malignant cells	Malignant	Malignant	SEC62	1.71	99.7	2.24e-277
0	Malignant cells	Malignant	Malignant	ZNF565	1.25	74.7	3.16e-273
0	Malignant cells	Malignant	Malignant	TIMM17B	1.49	92.5	7.45e-270
0	Malignant cells	Malignant	Malignant	UBA1	1.42	97.8	1.07e-268
0	Malignant cells	Malignant	Malignant	SLC35A2	1.0	81.2	1.34e-267
0	Malignant cells	Malignant	Malignant	HPR	1.42	85.4	8.39e-265
0	Malignant cells	Malignant	Malignant	JADE3	0.96	73.8	1.43e-264
0	Malignant cells	Malignant	Malignant	HMGCS1	1.89	99.6	6.55e-264
0	Malignant cells	Malignant	Malignant	RBP4	1.69	100.0	1.22e-262
0	Malignant cells	Malignant	Malignant	OTUD5	1.27	91.0	2.82e-262
0	Malignant cells	Malignant	Malignant	CDK16	1.13	82.1	1.27e-256
0	Malignant cells	Malignant	Malignant	GGH	1.21	92.2	3.39e-254
0	Malignant cells	Malignant	Malignant	PQBP1	1.74	93.8	5.73e-252
0	Malignant cells	Malignant	Malignant	AKR1C1	1.51	100.0	8.55e-251
0	Malignant cells	Malignant	Malignant	PLG	1.73	99.3	2.81e-249
0	Malignant cells	Malignant	Malignant	ACSM5	1.15	84.4	2.23e-248
0	Malignant cells	Malignant	Malignant	PCSK1N	0.39	57.7	6.73e-248
0	Malignant cells	Malignant	Malignant	CFHR5	1.05	79.9	1.28e-239
0	Malignant cells	Malignant	Malignant	XPNPEP2	1.19	86.1	6.72e-238
0	Malignant cells	Malignant	Malignant	UXT	1.64	95.9	1.43e-236
0	Malignant cells	Malignant	Malignant	GLUL	1.51	100.0	4.81e-234
0	Malignant cells	Malignant	Malignant	SERPIND1	1.52	98.3	1.17e-232
0	Malignant cells	Malignant	Malignant	SORD	1.5	96.5	4.68e-228
0	Malignant cells	Malignant	Malignant	CD24	1.34	91.6	5.06e-228
0	Malignant cells	Malignant	Malignant	GLUD1	1.44	97.1	9.21e-224
0	Malignant cells	Malignant	Malignant	CDO1	1.24	87.0	8.02e-223
0	Malignant cells	Malignant	Malignant	SLCO1B1	1.39	91.9	1.31e-219
0	Malignant cells	Malignant	Malignant	CAT	1.22	93.8	1.5e-218
0	Malignant cells	Malignant	Malignant	HDAC6	1.1	88.7	8.55e-217
0	Malignant cells	Malignant	Malignant	PRLR	1.01	83.8	3.78e-216
0	Malignant cells	Malignant	Malignant	UPK3A	0.91	60.5	2.16e-214
0	Malignant cells	Malignant	Malignant	SERPINF2	1.66	98.0	2.51e-214
0	Malignant cells	Malignant	Malignant	ARAF	1.1	85.1	3.07e-213
0	Malignant cells	Malignant	Malignant	ZNF674-AS1	0.91	57.3	1.15e-211
0	Malignant cells	Malignant	Malignant	FGG	1.4	99.7	2.05e-211
0	Malignant cells	Malignant	Malignant	TNFSF10	1.66	97.8	5.19e-209
0	Malignant cells	Malignant	Malignant	AKR1C2	1.31	99.6	5.85e-209
0	Malignant cells	Malignant	Malignant	ANGPTL3	1.35	93.3	1.8e-208
0	Malignant cells	Malignant	Malignant	MASP2	0.9	71.1	5.6e-208
0	Malignant cells	Malignant	Malignant	AR	1.06	84.9	5.6e-208
0	Malignant cells	Malignant	Malignant	NDUFB11	1.32	94.8	1.25e-203
0	Malignant cells	Malignant	Malignant	MYNN	1.05	79.7	1.3e-201
0	Malignant cells	Malignant	Malignant	ALDH1A1	1.28	98.6	6.26e-201
0	Malignant cells	Malignant	Malignant	GOLPH3	1.11	92.0	6.87e-201
0	Malignant cells	Malignant	Malignant	HAO1	1.05	82.1	7.03e-200
0	Malignant cells	Malignant	Malignant	SLC16A1	0.99	83.5	2.29e-198
0	Malignant cells	Malignant	Malignant	RBP5	1.18	70.3	6.61e-197
0	Malignant cells	Malignant	Malignant	MIR4458HG	1.07	77.4	3.85e-196
0	Malignant cells	Malignant	Malignant	GPC3	1.07	93.9	4.42e-191
0	Malignant cells	Malignant	Malignant	LGALS3BP	0.9	85.8	1.17e-190
0	Malignant cells	Malignant	Malignant	FGA	1.32	99.9	3.31e-187
0	Malignant cells	Malignant	Malignant	CLVS2	0.44	41.1	8.56e-187
0	Malignant cells	Malignant	Malignant	CFHR1	1.01	92.6	1.11e-186
0	Malignant cells	Malignant	Malignant	PNMA3	0.6	42.7	4.54e-184
0	Malignant cells	Malignant	Malignant	NOTUM	0.31	50.9	4.14e-182
0	Malignant cells	Malignant	Malignant	PTP4A1	1.23	97.5	2.18e-181
0	Malignant cells	Malignant	Malignant	FBXO31	0.94	79.6	4.01e-177
0	Malignant cells	Malignant	Malignant	AOX1	1.01	91.8	9.89e-177
0	Malignant cells	Malignant	Malignant	COL7A1	0.35	47.9	1.11e-176
0	Malignant cells	Malignant	Malignant	SRGN	-1.7	69.5	4.79e-176
0	Malignant cells	Malignant	Malignant	BOK	0.68	76.0	2.76e-175
0	Malignant cells	Malignant	Malignant	WDR13	1.19	90.9	8.36e-175
0	Malignant cells	Malignant	Malignant	ACSM2A	1.06	95.8	1.84e-170
0	Malignant cells	Malignant	Malignant	TM7SF2	1.28	90.4	1.97e-170
0	Malignant cells	Malignant	Malignant	CD74	-1.75	35.0	2.69e-170
0	Malignant cells	Malignant	Malignant	RASL10B	0.55	42.0	3.42e-169
0	Malignant cells	Malignant	Malignant	AIG1	1.19	87.4	3.52e-166
0	Malignant cells	Malignant	Malignant	CLEC4GP1	-1.39	83.8	5.73e-164
0	Malignant cells	Malignant	Malignant	ACER3	-1.83	81.8	4.46e-163
0	Malignant cells	Malignant	Malignant	TMEM176A	1.07	95.8	7.73e-162
0	Malignant cells	Malignant	Malignant	PAIP1	1.01	82.2	1.47e-161
0	Malignant cells	Malignant	Malignant	BHMT	0.9	82.9	3.1e-161
0	Malignant cells	Malignant	Malignant	SLC45A2	0.49	34.9	4.78e-161
0	Malignant cells	Malignant	Malignant	FMO5	1.04	92.5	6.01e-161
0	Malignant cells	Malignant	Malignant	RP2	0.49	54.4	7.13e-161
0	Malignant cells	Malignant	Malignant	CYP2E1	1.11	96.5	3.86e-160
0	Malignant cells	Malignant	Malignant	CCT5	1.09	92.5	9.49e-158
0	Malignant cells	Malignant	Malignant	DCXR	1.14	98.6	1.28e-157
0	Malignant cells	Malignant	Malignant	GATM	1.09	98.7	2.17e-157
0	Malignant cells	Malignant	Malignant	APOH	1.07	99.6	2.43e-157
0	Malignant cells	Malignant	Malignant	CRLS1	0.76	83.8	2.51e-157
0	Malignant cells	Malignant	Malignant	TST	1.24	89.7	6.61e-156
0	Malignant cells	Malignant	Malignant	LIFR	0.38	35.5	4.13e-154
0	Malignant cells	Malignant	Malignant	ACSM2B	1.04	94.2	7.53e-154
0	Malignant cells	Malignant	Malignant	TSKU	0.7	76.4	9.73e-153
0	Malignant cells	Malignant	Malignant	LEAP2	0.82	70.3	4.5e-152
0	Malignant cells	Malignant	Malignant	SUB1	0.92	93.8	3.6e-151
0	Malignant cells	Malignant	Malignant	TIMP2	0.52	65.8	4.6e-148
0	Malignant cells	Malignant	Malignant	CFHR2	0.85	86.4	1.45e-147
