,coef,HR,HR.95L,HR.95H,pvalue
PRR11,0.106383432352039,1.11224826672437,0.979192758683303,1.26338373712531,0.101733488405159
KIF20A,0.104559618640869,1.11022158179495,1.03226783925556,1.19406215500445,0.0048783484765824
PON1,-0.00176539746147619,0.998236159936012,0.99653627680292,0.999938942715343,0.0423381335155504
GNG4,0.03269926963975,1.03323976594713,1.00903130709626,1.0580290288581,0.00686704325481466
HAVCR1,0.0310055558461278,1.03149123467718,1.01301082121484,1.05030878736311,0.000775452567132907
FAM180A,0.159333903030649,1.17272945923404,1.07377115538116,1.28080771928276,0.000396481023952874
FAM163B,0.284075737490834,1.32853354673986,1.1768433173187,1.49977601847164,4.38256112363658e-06
