,amino_acid,lipid,nucleotide,StromalScore,ImmuneScore,ESTIMATEScore,TumourPurity
amino_acid,1,0.653417435101733,0.394933967603084,0.221940163466406,0.128431026957644,0.174279707498203,-0.174279707498203
lipid,0.653417435101733,1,0.177038032415122,0.220549773502784,0.0250876074135925,0.106273596094042,-0.106273596094042
nucleotide,0.394933967603084,0.177038032415122,1,-0.112916233202363,0.0986484005609707,0.00279119824284487,-0.00279119824284487
StromalScore,0.221940163466406,0.220549773502784,-0.112916233202363,1,0.749315906087483,0.913397296396527,-0.913397296396527
ImmuneScore,0.128431026957644,0.0250876074135925,0.0986484005609707,0.749315906087483,1,0.949710082552508,-0.949710082552508
ESTIMATEScore,0.174279707498203,0.106273596094042,0.00279119824284487,0.913397296396527,0.949710082552508,1,-1
TumourPurity,-0.174279707498203,-0.106273596094042,-0.00279119824284487,-0.913397296396527,-0.949710082552508,-1,1
