,StromalScore,ImmuneScore,ESTIMATEScore,sample_name,TumourPurity
TCGA.DD.AAD2.01A.11R.A41C.07,82.6820889514305,445.728034039384,528.410122990814,TCGA-DD-AAD2,0.775965711568214
TCGA.5C.A9VG.01A.11R.A37K.07,-720.272902953587,-804.546566940063,-1524.81946989365,TCGA-5C-A9VG,0.928233225478138
TCGA.BC.A3KF.01A.11R.A213.07,-988.995430283997,-527.25357882247,-1516.24900910647,TCGA-BC-A3KF,0.927764500160781
TCGA.G3.A7M9.01A.23R.A352.07,-1219.13179344301,-676.989326416748,-1896.12111985976,TCGA-G3-A7M9,0.947119812368446
TCGA.2Y.A9H7.01A.11R.A39D.07,-1200.96680115203,-325.263657888954,-1526.23045904099,TCGA-2Y-A9H7,0.92831025277608
TCGA.DD.AAVW.01A.11R.A41C.07,-7.78420415652827,330.942839092155,323.158634935626,TCGA-DD-AAVW,0.794615010985793
TCGA.DD.A4NB.01A.12R.A266.07,787.152563202039,358.918018784208,1146.07058198625,TCGA-DD-A4NB,0.715667443489007
TCGA.PD.A5DF.01A.11R.A27V.07,-103.716660453059,443.800547867351,340.083887414293,TCGA-PD-A5DF,0.793104228389598
TCGA.DD.A1EF.01A.11R.A131.07,-918.528416989664,-81.4115246188995,-999.939941608563,TCGA-DD-A1EF,0.89684678249537
TCGA.MI.A75G.01A.11R.A32O.07,-1257.12513194306,-708.769034470961,-1965.89416641402,TCGA-MI-A75G,0.950356494685853
TCGA.DD.AADW.01A.11R.A39D.07,-636.277519591688,-648.610551745506,-1284.88807133719,TCGA-DD-AADW,0.914558829748072
TCGA.XR.A8TF.01A.11R.A36F.07,-1241.66029852085,-709.1193498624,-1950.77964838325,TCGA-XR-A8TF,0.949663798424059
TCGA.CC.A5UE.01A.11R.A28V.07,-1433.7868200042,-435.632549140498,-1869.4193691447,TCGA-CC-A5UE,0.9458548484962
TCGA.DD.A1EL.01A.11R.A155.07,-1440.65042699219,-256.279031421949,-1696.92945841414,TCGA-DD-A1EL,0.937334099500309
TCGA.5R.AA1C.01A.11R.A41C.07,-1000.07768416392,-208.393463033564,-1208.47114719749,TCGA-5R-AA1C,0.909964592988872
TCGA.DD.AAD8.01A.11R.A41C.07,-1163.18214050681,-312.50494017024,-1475.68708067705,TCGA-DD-AAD8,0.925526229155971
TCGA.MR.A520.01A.11R.A266.07,-950.397138305424,-373.99007236332,-1324.38721066874,TCGA-MR-A520,0.916888468456571
TCGA.G3.AAV5.01A.11R.A37K.07,-1277.76751356228,-530.220184410423,-1807.9876979727,TCGA-G3-AAV5,0.942889457146557
TCGA.EP.A3JL.01A.11R.A213.07,-155.44313561671,751.871219411279,596.428083794569,TCGA-EP-A3JL,0.769629325668572
TCGA.DD.AADF.01A.11R.A41C.07,-1270.96802766863,-239.799065424577,-1510.76709309321,TCGA-DD-AADF,0.927463919797732
TCGA.XR.A8TC.01A.11R.A36F.07,-970.577712860894,-594.109386572107,-1564.687099433,TCGA-XR-A8TC,0.930394294453201
TCGA.ZP.A9D2.01A.11R.A38B.07,-623.236491560123,-78.3703279338748,-701.606819493998,TCGA-ZP-A9D2,0.876622216443629
TCGA.ZP.A9CY.01A.11R.A38B.07,-279.697051969288,139.008096612931,-140.688955356357,TCGA-ZP-A9CY,0.834078730631396
TCGA.ZS.A9CD.01A.11R.A37K.07,-484.00790993983,164.981194038819,-319.02671590101,TCGA-ZS-A9CD,0.84823223427539
TCGA.CC.A3MC.01A.11R.A22L.07,-816.3687594833,-39.278059898322,-855.646819381622,TCGA-CC-A3MC,0.88727728515215
TCGA.LG.A9QC.01A.11R.A37K.07,-1070.30063635431,-820.325491072716,-1890.62612742703,TCGA-LG-A9QC,0.946860682010905
TCGA.CC.A8HU.01A.11R.A36F.07,-1343.37440397529,-534.773906723286,-1878.14831069857,TCGA-CC-A8HU,0.946269971388588
TCGA.DD.A11D.01A.11R.A131.07,-836.43704288048,-475.52944179599,-1311.96648467647,TCGA-DD-A11D,0.916159219116021
TCGA.G3.A25Y.01A.11R.A16W.07,-334.0732287411,76.6183735411555,-257.454855199945,TCGA-G3-A25Y,0.84341089086688
TCGA.K7.AAU7.01A.11R.A38B.07,-376.172051611668,289.506722950186,-86.6653286614816,TCGA-K7-AAU7,0.829677979653397
TCGA.DD.AAD1.01A.11R.A41C.07,61.8434035421174,733.64829807907,795.491701621187,TCGA-DD-AAD1,0.750646588142318
TCGA.DD.AACH.01A.11R.A41C.07,-842.461846089056,-31.4653951578212,-873.927241246877,TCGA-DD-AACH,0.888511749788013
TCGA.2V.A95S.01A.11R.A37K.07,-509.967945553924,1550.94270483777,1040.97475928385,TCGA-2V-A95S,0.726356603805929
TCGA.RC.A7SH.01A.11R.A38B.07,-1311.74059038192,-746.880016888462,-2058.62060727039,TCGA-RC-A7SH,0.954503625772712
TCGA.CC.A7IE.01A.21R.A38B.07,-764.133139101847,642.85107843606,-121.282060665787,TCGA-CC-A7IE,0.832503872244544
TCGA.BC.A10Q.01A.11R.A131.07,-977.280230958385,-312.800569133111,-1290.0808000915,TCGA-BC-A10Q,0.914866851121033
TCGA.FV.A3R2.01A.11R.A22L.07,-1242.80692196495,-370.235822242201,-1613.04274420715,TCGA-FV-A3R2,0.932972697546487
TCGA.RC.A7SB.01A.21R.A352.07,-1176.81599402209,-368.115313997105,-1544.9313080192,TCGA-RC-A7SB,0.929327387921563
TCGA.5R.AAAM.01A.12R.A41C.07,310.856059124463,541.493619678841,852.349678803304,TCGA-5R-AAAM,0.745106212768748
TCGA.DD.AACX.01A.11R.A41C.07,-1299.8003789632,-414.697913131716,-1714.49829209492,TCGA-DD-AACX,0.938229552887093
TCGA.DD.AADQ.01A.11R.A41C.07,-1213.25523034233,-28.6540596954156,-1241.90929003774,TCGA-DD-AADQ,0.911989039652407
TCGA.DD.A1EI.01A.11R.A131.07,-287.165512440728,48.4248781829299,-238.740634257798,TCGA-DD-A1EI,0.841931815872882
TCGA.DD.AAEE.01A.11R.A41C.07,-1088.13565891749,-589.405812446649,-1677.54147136414,TCGA-DD-AAEE,0.936338691612192
TCGA.GJ.A9DB.01A.11R.A37K.07,-376.493354454268,-55.5534017675395,-432.046756221808,TCGA-GJ-A9DB,0.856901591077621
TCGA.DD.A3A3.01A.11R.A22L.07,-1223.94788083345,-238.972978673972,-1462.92085950742,TCGA-DD-A3A3,0.924814976931019
TCGA.ED.A459.01A.11R.A266.07,-924.967231550081,175.694726847047,-749.272504703034,TCGA-ED-A459,0.879967432154331
TCGA.2Y.A9H5.01A.11R.A38B.07,-465.484317328568,-208.576059442976,-674.060376771544,TCGA-2Y-A9H5,0.874669407885463
TCGA.DD.AAE0.01A.11R.A41C.07,-814.813356609172,-334.367021642397,-1149.18037825157,TCGA-DD-AAE0,0.906321082257347
TCGA.CC.A7IG.01A.11R.A33J.07,-1117.65813105991,14.3006409708185,-1103.3574900891,TCGA-CC-A7IG,0.903458149477833
TCGA.DD.A73B.01A.12R.A32O.07,-1168.46361471061,-699.320378053396,-1867.78399276401,TCGA-DD-A73B,0.945776902047628
TCGA.CC.5264.01A.01R.A131.07,-1115.16927308633,-398.616377823233,-1513.78565090956,TCGA-CC-5264,0.927629505437168
TCGA.BC.A5W4.01A.11R.A28V.07,-1255.0349483359,-990.58106019862,-2245.61600853452,TCGA-BC-A5W4,0.962328242741263
TCGA.RC.A7SF.01A.11R.A352.07,-1034.77900642773,-211.999647969021,-1246.77865439675,TCGA-RC-A7SF,0.912282014173164
TCGA.DD.A1EE.01A.11R.A131.07,-1204.14657516201,-590.616688247447,-1794.76326340946,TCGA-DD-A1EE,0.942241058202914
TCGA.BC.A3KG.01A.11R.A213.07,-1257.48123820691,-497.763753705249,-1755.24499191216,TCGA-BC-A3KG,0.940282314319869
TCGA.DD.A119.01A.11R.A131.07,-555.840330180104,-60.4026262028295,-616.242956382934,TCGA-DD-A119,0.870524174522445
TCGA.DD.AAEK.01A.11R.A41C.07,-377.878994976742,928.641533697659,550.762538720918,TCGA-DD-AAEK,0.773891917878822
TCGA.O8.A75V.01A.11R.A32O.07,-406.777255617338,588.50580282523,181.728547207892,TCGA-O8-A75V,0.807046735536874
TCGA.ED.A7PZ.01A.11R.A33R.07,-1595.26854214534,-879.408966240469,-2474.67750838581,TCGA-ED-A7PZ,0.970924517997394
TCGA.ED.A97K.01A.21R.A38B.07,-474.838493547454,89.7667461918495,-385.071747355605,TCGA-ED-A97K,0.853326814055519
TCGA.DD.A1EA.01A.11R.A131.07,-965.26049794122,185.93003778843,-779.330460152791,TCGA-DD-A1EA,0.882054785846953
TCGA.DD.A118.01A.11R.A131.07,-503.141072621817,-443.245357071262,-946.386429693079,TCGA-DD-A118,0.893341847392979
TCGA.DD.A4NG.01A.11R.A27V.07,-1066.96791625392,-66.681405157629,-1133.64932141155,TCGA-DD-A4NG,0.905355316611553
TCGA.DD.A4NJ.01A.11R.A27V.07,-376.568697846697,377.98459399704,1.41589615034377,TCGA-DD-A4NJ,0.822391151241969
TCGA.DD.AADG.01A.11R.A41C.07,-1177.86777657238,-835.411925035851,-2013.27970160823,TCGA-DD-AADG,0.952497829017059
TCGA.K7.A6G5.01A.11R.A311.07,-602.531385979198,276.977250936698,-325.5541350425,TCGA-K7-A6G5,0.848739304210061
TCGA.BC.A10T.01A.11R.A131.07,-107.133741266566,-320.070117349459,-427.203858616025,TCGA-BC-A10T,0.856534929531082
TCGA.HP.A5N0.01A.11R.A28V.07,63.3562500296689,56.1900186771452,119.546268706814,TCGA-HP-A5N0,0.812402798145063
TCGA.FV.A496.01A.11R.A266.07,-1334.10919277564,-776.59648668001,-2110.70567945565,TCGA-FV-A496,0.956755584865635
TCGA.DD.AACV.01A.11R.A41C.07,-1413.43573389841,-1123.81685451862,-2537.25258841703,TCGA-DD-AACV,0.973082358849032
TCGA.3K.AAZ8.01A.12R.A39D.07,-1250.71097997222,-215.144292948978,-1465.8552729212,TCGA-3K-AAZ8,0.92497875122696
TCGA.UB.A7MF.01A.11R.A33J.07,-659.208716646902,1196.90689967762,537.698183030719,TCGA-UB-A7MF,0.775105004841113
TCGA.DD.A1EK.01A.11R.A213.07,-450.803362872363,303.806705424758,-146.996657447605,TCGA-DD-A1EK,0.834589140151757
TCGA.DD.AAE6.01A.11R.A41C.07,-1504.23537763319,-1198.06666927191,-2702.3020469051,TCGA-DD-AAE6,0.978379621245888
TCGA.MI.A75C.01A.11R.A32O.07,-1399.39039509481,23.4424850674517,-1375.94791002736,TCGA-MI-A75C,0.919883101583549
TCGA.DD.A3A4.01A.11R.A22L.07,-1037.54682736302,-725.833973132188,-1763.38080049521,TCGA-DD-A3A4,0.940688158542264
TCGA.DD.A113.01A.11R.A131.07,-812.201764959669,43.9368934375717,-768.264871522098,TCGA-DD-A113,0.881288338745866
TCGA.DD.AACE.01A.11R.A41C.07,-971.594763274311,-550.758773917713,-1522.35353719202,TCGA-DD-AACE,0.928098512161913
TCGA.UB.A7MB.01A.11R.A33R.07,-1287.52096954814,-765.131009208248,-2052.65197875639,TCGA-UB-A7MB,0.954241999471201
TCGA.ED.A66X.01A.11R.A311.07,91.9604520877243,451.31580461047,543.276256698195,TCGA-ED-A66X,0.774587402877514
TCGA.QA.A7B7.01A.11R.A32O.07,-1373.98254949009,-523.663560691547,-1897.64611018163,TCGA-QA-A7B7,0.94719161794172
TCGA.G3.A25S.01A.11R.A16W.07,-1117.49817018522,50.566644220742,-1066.93152596448,TCGA-G3-A25S,0.901153152575339
TCGA.DD.A4NE.01A.11R.A27V.07,-926.523982879816,-420.180208263752,-1346.70419114357,TCGA-DD-A4NE,0.918191090165342
TCGA.FV.A495.01A.11R.A266.07,-57.2198643971931,684.799657040269,627.579792643076,TCGA-FV-A495,0.766701655848653
TCGA.G3.A25U.01A.11R.A16W.07,-1246.531086371,-673.650439048053,-1920.18152541905,TCGA-G3-A25U,0.948247183804941
TCGA.ED.A4XI.01A.11R.A266.07,51.1355906810842,615.403690461025,666.53928114211,TCGA-ED-A4XI,0.763017647938818
TCGA.UB.A7ME.01A.11R.A33J.07,-579.252071648882,605.781647730699,26.5295760818174,TCGA-UB-A7ME,0.820288293963398
TCGA.DD.A39Y.01A.11R.A213.07,-1340.70171419395,-398.485284818203,-1739.18699901216,TCGA-DD-A39Y,0.93947734723192
TCGA.LG.A6GG.01A.11R.A311.07,-1187.73631740486,-442.612629999566,-1630.34894740443,TCGA-LG-A6GG,0.933884077832278
TCGA.DD.A4ND.01A.11R.A266.07,391.546415910113,617.856864397981,1009.40328030809,TCGA-DD-A4ND,0.729534048900569
