"name","selected","shared name"
"MED15","false","MED15"
"MED17","false","MED17"
"MED1","false","MED1"
"MED26","false","MED26"
"CCNC","false","CCNC"
"MED10","false","MED10"
"MED31","false","MED31"
"MED14","false","MED14"
"MED4","false","MED4"
"MED28","false","MED28"
