,sample_subtypes,scores_aa_df$amino_acid,scores_lp_df$lipid,scores_nt_df$nucleotide
TCGA-UB-A7MA-01A-11R-A33R-07,1,0.424057122832246,0.377581756339018,0.312191979837509
TCGA-KR-A7K2-01A-12R-A33R-07,2,0.768653531068328,0.595094075341978,0.474165270976489
TCGA-DD-AACP-01A-11R-A41C-07,1,0.712334694832583,0.549324532427987,0.734342207993101
TCGA-2Y-A9HA-01A-11R-A39D-07,2,0.785849094646782,0.734842196081687,0.342124503213979
TCGA-WJ-A86L-01A-12R-A39D-07,2,0.46223444427722,0.777435498427647,0.264765497905445
TCGA-RC-A6M3-01A-11R-A32O-07,1,0.674339062547008,0.294541273951118,0.735423809404838
TCGA-DD-A39X-01A-11R-A213-07,1,0.815425090637368,0.671563944044642,0.90300568538056
TCGA-DD-AADL-01A-11R-A41C-07,2,0.740078669412077,0.812924483488114,0.736870402894902
TCGA-2Y-A9GU-01A-11R-A38B-07,2,0.806753141474246,0.711325941820164,0.442788014190718
TCGA-WQ-AB4B-01A-11R-A41C-07,2,0.838666178277379,0.764642345507386,0.762556299439337
TCGA-DD-AAE9-01A-11R-A41C-07,2,0.678718327465683,0.714808236611551,0.522349763098337
TCGA-2Y-A9H1-01A-11R-A38B-07,2,0.860091271904524,0.639489692637744,0.735709744922207
TCGA-DD-AADK-01A-11R-A41C-07,2,0.729027877984811,0.712731989334074,0.826264167839574
TCGA-BC-A10U-01A-11R-A131-07,2,0.704240507642127,0.683968791131881,0.379229933631039
TCGA-DD-AAE1-01A-11R-A41C-07,1,0.649528190984812,0.657422499300276,0.458067149333009
TCGA-FV-A4ZP-01A-12R-A266-07,1,0.523700721033821,0.374158154214753,0.851229624044755
TCGA-DD-AAVP-01A-11R-A41C-07,2,0.775206692137986,0.701604943765423,0.421749506733666
TCGA-DD-A4NP-01A-11R-A28V-07,2,0.777422700827437,0.818945623444881,0.611221663755209
TCGA-DD-A11C-01A-11R-A131-07,2,0.701250914459752,0.668540510538466,0.519723770032252
TCGA-CC-A9FW-01A-11R-A37K-07,1,0.694180176342233,0.672766406311311,0.444999693657544
TCGA-MI-A75E-01A-11R-A32O-07,2,0.870903910201698,0.763156392878458,0.751372459771509
TCGA-WX-AA46-01A-11R-A39D-07,2,0.889700825240354,0.817259056984625,0.500355667906845
TCGA-G3-A25X-01A-11R-A16W-07,1,0.502156397831977,0.299619378625059,0.476814542089476
TCGA-DD-AAW2-01A-11R-A41C-07,2,0.782820036578581,0.677315282821154,0.453086034232341
TCGA-DD-AAD2-01A-11R-A41C-07,2,0.822905481229216,0.751452209606014,0.869358853430079
TCGA-5C-A9VG-01A-11R-A37K-07,1,0.800608505739008,0.501510686810996,0.40717832304435
TCGA-BC-A3KF-01A-11R-A213-07,2,0.790081908671768,0.841705602200012,0.558554229483208
TCGA-G3-A7M9-01A-23R-A352-07,1,0.49952528196067,0.348998879062765,0.667474411909029
TCGA-2Y-A9H7-01A-11R-A39D-07,1,0.691369245440967,0.645103460074147,0.676073408911976
TCGA-DD-AAVW-01A-11R-A41C-07,2,0.649603067626142,0.667782534972904,0.433779217429669
TCGA-DD-A4NB-01A-12R-A266-07,2,0.770759392642817,0.627054441072265,0.412925424267501
TCGA-PD-A5DF-01A-11R-A27V-07,2,0.599696321450614,0.720523480572475,0.582828970394686
TCGA-DD-A1EF-01A-11R-A131-07,1,0.517635220169694,0.612486934393126,0.292309657391444
TCGA-MI-A75G-01A-11R-A32O-07,2,0.89352776562228,0.803861727770524,0.718651810031366
