sampleName,riskScore,Angiogenesis,Antigen processing machinery,CD8 T effector,Cell cycle,Cell cycle regulators,DNA damage repair,DNA replication,EMT_1,EMT_2,EMT_3,Fanconi anemia,FGFR3-related genes,Homologous recombination,Immune checkpoint,Mismatch repair,Nucleotide excision repair,Pan-F-TBRS,WNT target
L001P,0.697306927804493,0.477611981918878,0.680449623330076,0.545797070919602,0.55017896781016,0.601414689786371,0.58451964213009,0.5950402149483,0.636466442483805,0.422237706199029,0.527274970793218,0.522845494466648,0.412789702092763,0.541464345678511,0.383385061670139,0.594459651077603,0.635186885588487,0.610561644875257,0.607853333914022
L001T,0.460850629174283,0.612015315310047,0.706917389491538,0.537438850429474,0.599753394110766,0.649390469231307,0.5912924216375,0.610259002063778,0.643028907764887,0.568185505583458,0.550097966224232,0.532296447840293,0.388723332740908,0.564864982756718,0.407118915504138,0.613702819275204,0.634008929253187,0.704509238934398,0.619812466135751
L003P,6.80125303097418,0.505979405855033,0.674294282720241,0.572158775894551,0.579263485113015,0.61266618067672,0.587720066821746,0.610962849536792,0.613191909119042,0.301027456100066,0.478568840267514,0.53369899735527,-0.238332887705067,0.550398131346348,0.466098475387241,0.618630423246808,0.649495349731265,0.587108291173676,0.623110396735825
L003T,6.63609380606081,0.504595069315079,0.697221512873219,0.441409755066987,0.622496582936323,0.600394039551218,0.617783899921582,0.651993494688515,0.628569008908565,0.355383491012492,0.476713821580722,0.566527740632637,0.0745187947150576,0.587416445417124,0.327029651956984,0.658409645647825,0.661076906688502,0.640474175430323,0.58613266601457
L004P,3.91043837884416,0.534519862456052,0.716900749813774,0.601819146599599,0.573517358995584,0.621163776662102,0.586400515026178,0.600392411102093,0.628565394557009,0.323134816595867,0.514521915605868,0.532510795517996,0.417973530135648,0.547555933678406,0.492326619843423,0.607929852267768,0.638923149623317,0.633167312056818,0.656820113246969
L004T,3.58072576293834,0.563309172857534,0.708576936602017,0.521559188503482,0.636564170645581,0.641658886759649,0.606908805231271,0.640139041661675,0.668833775127123,0.511108002739056,0.515369607970993,0.551297306169322,0.318398352370217,0.585070277100006,0.40987485042042,0.633338657231652,0.64264785936024,0.673981112969542,0.63777167777828
L005P,1.07948309185662,0.548317114599644,0.692483754391355,0.546546818844462,0.595781888496716,0.618271450569392,0.597430823439745,0.629130328167673,0.602108303766836,0.323219957947953,0.487197171149323,0.543210521101653,0.100866671117075,0.56153124497621,0.428924344354362,0.622557143735782,0.650339549430545,0.589104952858279,0.637216423133351
L005T,0.495047726011746,0.548819360970777,0.712686706182633,0.373054419456334,0.587957903048181,0.632163222918576,0.592044841898394,0.608878643816048,0.556338158486995,0.307738152123647,0.491200914881278,0.529081547370267,0.382201615415534,0.555584733906913,0.382997334476869,0.6279325968258,0.645096548376217,0.634267418415138,0.6267955207936
L008P,0.114803373389649,0.52976041466427,0.713218361208847,0.598598157835347,0.581511489641391,0.618671623171011,0.585258127229288,0.594978725398135,0.62497584077359,0.453024265081378,0.487470502582754,0.530257381211431,0.113741730552124,0.538560640097869,0.499693999981892,0.58689758112456,0.627314766130573,0.64025690591913,0.653993557879248
L008T,2.21001449201314,0.506988448832444,0.716919022491416,0.557598449270146,0.60821927932063,0.608247664524399,0.601649767712632,0.621242671556061,0.608395871975195,0.46634158702431,0.446679300173756,0.537196302912004,0.0211992510322407,0.551192208395848,0.436810978255379,0.614139533522538,0.634720756772024,0.634074016202884,0.612241476538203
L010P,0.204354773718701,0.547150432683929,0.700325693969876,0.573070024569262,0.588606838301677,0.638808985303259,0.582167427783804,0.597270184773478,0.634169999851949,0.477743818665308,0.54627089421851,0.522535539427887,0.426002525903068,0.548709484859966,0.446136983288456,0.6002805294846,0.632770355443635,0.653540980535748,0.675776410539935
L010T,1.02254985457425,0.50638394508294,0.710590016811284,0.463825953697811,0.656360851610884,0.657692756057687,0.631166186568497,0.683739539440828,0.543102494909929,0.452587414217122,0.43668667415184,0.597476278660416,0.389985553789099,0.622004271615211,0.428492770298441,0.659085747814281,0.670621754372414,0.621847823349973,0.537451437975119
