,x
421,HAL
422,HAO1
423,HAO2
424,HDAC3
425,HDC
426,HDLBP
427,HEXA
428,HEXB
429,HGD
430,HIBADH
431,HIBCH
432,HMGCLL1
433,HMGCL
434,HMGCR
435,HMGCS1
436,HMGCS2
437,HNMT
438,HPD
439,HPGDS
440,HPGD
441,HPRT1
442,HSD11B1
443,HSD11B2
444,HSD17B10
445,HSD17B11
446,HSD17B12
447,HSD17B13
448,HSD17B14
449,HSD17B1
450,HSD17B2
451,HSD17B4
452,HSD17B7
453,HSD17B8
454,HSD3B1
455,HSD3B2
456,HSD3B7
457,IDH1
458,IDI1
459,IDO1
460,IDO2
461,IL4I1
462,IMPDH1
463,IMPDH2
464,INMT
465,INPP4A
466,INPP4B
467,INPP5D
468,INPP5E
469,INPP5F
470,INPP5K
471,INPPL1
472,INSIG1
473,INSIG2
474,ITPA
475,IVD
476,IYD
477,KDSR
478,KMO
479,KPNB1
480,KYNU
481,LBR
482,LCAT
483,LCLAT1
484,LDLRAP1
485,LDLR
486,LHPP
487,LIAS
488,LIPA
489,LIPC
490,LIPE
491,LIPG
492,LIPH
493,LIPT1
494,LIPT2
495,LMF1
496,LMF2
497,LPA
498,LPCAT1
499,LPCAT2
500,LPCAT3
501,LPCAT4
502,LPGAT1
503,LPIN1
504,LPIN2
505,LPIN3
506,LPL
507,LSR
508,LSS
509,LTA4H
510,LTC4S
511,MAPKAPK2
512,MAT1A
513,MBOAT1
514,MBOAT2
515,MBOAT7
516,MBTPS1
517,MBTPS2
518,MCAT
519,MCCC1
520,MCCC2
521,MCEE
522,ME1
523,MED10
524,MED11
525,MED12
526,MED13L
527,MED13
528,MED14
529,MED15
530,MED16
531,MED18
532,MED19
533,MED1
534,MED20
535,MED21
536,MED22
537,MED23
538,MED24
539,MED25
540,MED27
541,MED28
542,MED29
543,MED30
544,MED31
545,MED4
546,MED6
547,MED7
548,MED8
549,MED9
550,MFSD2A
551,MGLL
552,MID1IP1
553,MLYCD
554,MMAA
555,MOGAT1
556,MOGAT2
557,MOGAT3
558,MRI1
559,MTAP
560,MTF1
561,MTM1
562,MTMR14
563,MTMR1
564,MTMR2
565,MTMR4
566,MTMR6
567,MTMR7
568,MTRR
569,MTR
570,MTTP
571,MVD
572,MVK
573,MYLIP
574,NAALAD2
575,NAGS
576,NCEH1
577,NCOA1
578,NCOA2
579,NCOA3
580,NCOA6
581,NCOR1
582,NCOR2
583,NDUFAB1
584,NEU1
585,NEU3
586,NEU4
587,NFYA
588,NFYB
589,NFYC
590,NME1
591,NME4
592,NMRAL1
593,NNMT
594,NPAS2
595,NPC1L1
596,NPC1
597,NPC2
598,NQO1
599,NR1D1
600,NR1H2
601,NR1H3
602,NR1H4
603,NRF1
604,NSDHL
605,NT5C2
606,NT5C
607,NT5E
608,NT5M
609,NUDT13
610,NUDT15
611,NUDT16
612,NUDT18
613,NUDT19
614,NUDT1
615,NUDT5
616,NUDT7
