Immune cells	Malignant cells	Stromal cells
ETNPPL	0.00038	0.0075	0.00219
COL25A1	0.00019	0.00088	0.00032
SEC24B-AS1	0.00255	0.00828	0.00567
SEC24B	0.08862	0.09976	0.06799
CCDC109B	0.27667	0.03756	0.05205
CASP6	0.06163	0.12603	0.05121
AC004067.5	0.00108	0.00053	0.00026
PLA2G12A	0.07221	0.27321	0.13112
CFI	0.02405	0.78291	0.468
RP11-602N24.3	0.00105	0.00286	0.00201
GAR1	0.09268	0.23682	0.0934
LRIT3	1e-04	0.00052	0.00014
EGF	0	0.00043	0
ELOVL6	0.01317	0.15343	0.05317
ENPEP	0.00152	0.0253	0.10949
RP11-380D23.1	0	0.00048	0
RP11-380D23.2	0.00056	0.00967	0.00246
PITX2	0.00346	0.09054	0.04233
LINC01438	5e-05	0.00134	0.00056
C4orf32	0.08293	0.15822	0.15357
RP11-73K9.2	0.00517	0.00402	0.00612
AP1AR	0.10041	0.14209	0.07693
RP11-73K9.3	0.00215	0.0022	0.00185
TIFA	0.14305	0.09159	0.05175
ALPK1	0.06504	0.06366	0.06835
ZGRF1	0.01596	0.01319	0.01924
LARP7	0.26757	0.3337	0.21182
ANK2	0.00545	0.02746	0.03332
CAMK2D	0.15597	0.22967	0.17427
ARSJ	0.0026	0.03922	0.02909
UGT8	0.00237	0.114	0.0443
TRAM1L1	0.00029	0.01406	0.00831
SNHG8	0.4866	1.07668	0.59979
PRSS12	0.00197	0.06374	0.02494
RP11-384K6.8	0.00073	0.00195	0.00015
METTL14	0.09946	0.1254	0.0959
SEC24D	0.12735	0.17145	0.14402
SYNPO2	0.00274	0.00119	0.09695
USP53	0.06172	0.16476	0.15932
C4orf3	0.97019	1.06884	0.59723
RP11-33B1.4	0.00056	0.00041	0.00068
RP11-33B1.3	0.00125	0.00043	0.00015
PDE5A	0.0017	0.02116	0.07965
MAD2L1	0.08813	0.15613	0.05016
RP11-679C8.2	0.00232	0.00146	0.00185
PRDM5	0.00123	0.00522	0.00777
NDNF	0.00046	0.00671	0.00799
TNIP3	0.05026	0.00394	0.00528
ANXA5	1.08615	1.17291	0.69867
TMEM155	0.00098	0	0.00055
EXOSC9	0.10744	0.1125	0.0685
CCNA2	0.05601	0.0536	0.01719
BBS7	0.04909	0.07686	0.03911
RP11-63B13.1	0.00051	0.00016	0.00016
KIAA1109	0.18089	0.19532	0.20399
IL2	0.02175	0.00148	0.00229
IL21	0.00157	0	0
IL21-AS1	0.00107	4e-05	0
BBS12	0.00741	0.02231	0.00912
FGF2	0.00103	0.07475	0.0277
RP11-170N16.3	0.00045	0.00104	0.00052
NUDT6	0.0213	0.06499	0.02953
SPATA5	0.03413	0.05172	0.04238
SPRY1	0.07489	0.18984	0.37056
LINC01091	0.00041	0.02079	0.01233
RP11-93I21.3	0	0.00053	0.00059
ANKRD50	0.03576	0.09921	0.09403
FAT4	0.00034	0.01663	0.02455
INTU	0.01431	0.12133	0.11971
SLC25A31	0	0.00044	0
HSPA4L	0.01804	0.31944	0.09659
RP11-50D9.3	0.00078	0.00248	0.00304
PLK4	0.01868	0.01977	0.01209
MFSD8	0.03984	0.10111	0.06086
ABHD18	0.05913	0.07707	0.0637
LARP1B	0.06717	0.23772	0.14507
PGRMC2	0.14222	0.68023	0.28746
RP11-420A23.1	0.00109	0.03603	0.03777
RP11-130C6.1	4e-04	0.00372	0.00072
RP11-184M15.1	0.00246	0.00025	0.00074
JADE1	0.13476	0.17008	0.11481
SCLT1	0.10769	0.04028	0.05438
C4orf33	0.08579	0.12307	0.05766
RP11-519M16.1	6e-05	0.00279	0.00185
RP11-422J15.1	5e-05	0.00111	0
RP11-314N14.1	0	0.00066	0.00037
RP11-614F17.2	2e-04	0.00613	0.00368
RP11-745L13.2	0.00014	0.00082	0.00044
RP11-789C2.1	0.00029	0.00035	0.00048
RP11-1E22.1	4e-05	0.00155	0.00036
PCDH10	0.00034	0.00033	0.00483
RP11-427M20.1	5e-05	0.00069	4e-04
PABPC4L	0.00018	0.00117	0.00481
RP11-400D2.2	6e-05	0.00774	0.00698
RP11-553P9.3	0	0.00066	8e-05
PCDH18	0.00108	5e-04	0.07406
RP13-884E18.2	0.02022	0.00048	0.00213
RP13-884E18.4	0.00297	1e-04	0
SLC7A11	0.00927	0.1517	0.0873
NOCT	0.018	0.01455	0.01004
ELF2	0.20461	0.19457	0.18713
MGARP	0.00317	0.00205	0.0016
NDUFC1	0.47554	1.17793	0.53721
NAA15	0.13519	0.17448	0.09445
RP11-83A24.2	0.04742	0.0949	0.092
RAB33B	0.056	0.05816	0.04094
SETD7	0.0927	0.09098	0.06697
RP11-342I1.2	0.00314	0.00112	0.00251
MGST2	0.29282	1.17218	0.49303
MAML3	0.03198	0.0832	0.07618
SCOC	0.17211	0.50613	0.21096
SCOC-AS1	0.00608	0.01916	0.00479
CLGN	0.00681	0.28164	0.10562
ELMOD2	0.08255	0.15522	0.08699
TBC1D9	0.1619	0.05404	0.06483
RP11-102N12.3	0.01682	0.01054	0.01243
RNF150	0.00256	0.00323	0.01191
ZNF330	0.21763	0.18409	0.10473
RP11-362F19.1	0.00204	0.00681	0.01618
RP11-362F19.3	0.00024	0.00058	0
IL15	0.03839	0.01627	0.03256
INPP4B	0.08474	0.12949	0.1536
RP11-223C24.1	0.00133	0.00025	0.00055
RP11-284M14.1	0.00135	0.00106	0.00165
USP38	0.09296	0.08583	0.05799
GAB1	0.02917	0.03532	0.04969
SMARCA5	0.4495	0.33001	0.24588
SMARCA5-AS1	0.00285	4e-04	0.00113
GYPE	0.00068	6e-05	0.00071
HHIP-AS1	0.00067	0.00079	0.0012
ANAPC10	0.08879	0.14039	0.06351
ABCE1	0.24626	0.28606	0.16697
OTUD4	0.12521	0.12704	0.11262
RP11-142A22.4	0	0.00042	0.00036
SMAD1	0.01353	0.04225	0.06933
MMAA	0.02032	0.03933	0.02632
ZNF827	0.01953	0.07605	0.06019
LSM6	0.32503	0.38656	0.17419
SLC10A7	0.03487	0.04248	0.04213
EDNRA	0.00075	0.0024	0.153
TMEM184C	0.04963	0.04831	0.0307
PRMT9	0.21585	0.04223	0.066
ARHGAP10	0.13407	0.01425	0.05072
NR3C2	0.0083	0.01276	0.01672
DCLK2	0.00213	1e-04	0.01142
LRBA	0.09007	0.12818	0.11375
RP11-1336O20.2	0.00161	0.00081	0.00033
RPS3A	2.95031	2.72487	1.95935
SH3D19	0.00468	0.14005	0.08493
RP11-372K14.2	0.00217	0.00109	0.00178
FAM160A1	0.00022	0.00522	0.00575
RP11-164P12.4	0	0.00323	0.00136
GATB	0.03645	0.03601	0.02031
RP11-18H21.1	0.02586	0.00108	0.00345
FBXW7	0.16044	0.08403	0.12576
DKFZP434I0714	0.01044	0.01541	0.01751
TMEM154	0.08199	0.06738	0.03898
ARFIP1	0.11803	0.18022	0.11169
TIGD4	0.00142	0.00466	0.00367
FHDC1	0.00066	0.01362	0.00776
TRIM2	0.00693	0.22229	0.12535
MND1	0.02467	0.0346	0.01269
KIAA0922	0.05719	0.02452	0.03367
TLR2	0.12957	0.01024	0.01602
RNF175	0.01132	0.00049	0.00181
SFRP2	0.00082	0.00099	0.0247
DCHS2	0	0.00358	0.00159
PLRG1	0.12568	0.18199	0.09013
FGB	0.07503	1.17128	0.55498
FGA	0.03893	0.84914	0.41315
FGG	0.04989	1.05554	0.48087
LRAT	0.00098	0.01938	0.01666
RBM46	8e-05	0.00073	0.00076
MAP9	0.02214	0.11293	0.07562
GUCY1A3	0.02882	0.06079	0.17316
GUCY1B3	0.03525	0.03062	0.15529
TDO2	0.01572	0.39903	0.20322
CTSO	0.08302	0.09464	0.08668
PDGFC	0.0813	0.05079	0.041
GLRB	0.00052	0.0164	0.00945
FAM198B	0.21003	0.01179	0.08904
RP11-597D13.9	0.01332	6e-04	0.00465
RP11-597D13.8	0.00028	0.00049	0.00074
TMEM144	0.05182	0.04202	0.0228
RXFP1	0.00026	0.00011	0.0174
C4orf46	0.04044	0.01923	0.01339
ETFDH	0.07323	0.08478	0.05996
PPID	0.18093	0.22072	0.10887
FNIP2	0.35141	0.25696	0.20336
RAPGEF2	0.10491	0.06434	0.09722
FSTL5	0.00043	0.00433	0.00154
NAF1	0.08708	0.05311	0.04246
NPY1R	0.00014	0.01118	0.01585
TKTL2	0.00025	0.00027	0.00015
TMA16	0.12896	0.28108	0.14239
MARCH1	0.39511	0.01997	0.03847
RP11-218F10.3	0.00248	0.00801	0.00699
LINC01207	0.00074	0.03582	0.02598
TRIM61	0.00787	0.00033	0.004
FAM218A	0.00115	0.00523	0.0035
TMEM192	0.08134	0.09291	0.04249
KLHL2	0.05731	0.03091	0.03714
MSMO1	0.07167	0.61408	0.2028
CPE	0.01344	0.09211	0.38017
TLL1	0	1e-04	0.01905
SPOCK3	0.00082	5e-05	0
ANXA10	0.01537	0.60162	0.28159
DDX60	0.09386	0.0967	0.08507
DDX60L	0.13613	0.08336	0.09232
PALLD	0.0699	0.14594	0.15536
CBR4	0.06539	0.19966	0.11417
SH3RF1	0.06281	0.14598	0.12593
NEK1	0.05097	0.03303	0.03192
CLCN3	0.10149	0.21394	0.13462
C4orf27	0.13863	0.18442	0.10585
MFAP3L	0.00074	0.00982	0.0094
AADAT	0.00061	0.01551	0.00958
LINC01612	0	0.00076	0.00023
RP11-10K16.1	0.00286	0.00294	0.00225
GALNT7	0.10172	0.20222	0.11737
HMGB2	0.63853	0.22828	0.19257
RP11-798M19.6	0.03895	0.01309	0.02932
SAP30	0.19184	0.04749	0.06757
SCRG1	0.01399	0.00134	0.01187
HAND2	1e-04	0.00021	0.01554
HAND2-AS1	6e-05	6e-05	0.00478
RP11-161D15.1	0.00025	0.00755	0.00136
FBXO8	0.08037	0.09343	0.06342
CEP44	0.06045	0.07591	0.07688
HPGD	0.08457	0.54137	0.15831
GPM6A	0.00027	4e-05	0.00661
WDR17	0.0046	0.00609	0.00745
SPATA4	0.00012	0.00117	3e-04
SPCS3	0.50939	0.55486	0.31785
VEGFC	0.00016	1e-04	0.03802
NEIL3	0.01633	0.01677	0.00838
AGA	0.08581	0.13768	0.07097
RP11-130F10.1	0.00039	0.00211	0.00024
RP11-188P17.2	0.00011	0.00125	7e-04
DCTD	0.11149	0.2334	0.10146
RP11-335L23.4	1e-04	0.00055	2e-04
RP11-335L23.5	5e-05	0.00121	0.0011
WWC2-AS2	0.00154	0.00953	0.00571
WWC2	0.03196	0.11812	0.09434
CDKN2AIP	0.17954	0.10342	0.10615
RP11-367N14.2	0.00125	7e-04	0.00102
ING2	0.13911	0.11872	0.07635
RP11-367N14.3	0.00062	0.00138	0.00035
RWDD4	0.09663	0.13684	0.06444
TRAPPC11	0.07942	0.07465	0.05508
STOX2	0.00085	0.03021	0.03606
ENPP6	0.00033	0.00065	0
RP11-290F5.2	0.00038	0.00251	0.00251
RP11-290F5.1	0.00245	0.00036	0.00106
IRF2	0.29576	0.18336	0.1343
RP11-326I11.3	0.0272	0.02168	0.02384
RP11-242J7.1	0.00203	0.04413	0.01681
CASP3	0.17245	0.1382	0.09065
PRIMPOL	0.03461	0.03473	0.03472
CENPU	0.0416	0.04153	0.01653
ACSL1	0.17469	0.10606	0.0597
RP11-701P16.2	0.00339	0.00032	0.00086
MIR3945HG	0.01495	0.00303	0.0024
SLC25A4	0.04575	0.26083	0.09681
CFAP97	0.18651	0.34162	0.22723
SNX25	0.03022	0.02453	0.02946
LRP2BP	0.02316	0.00588	0.0145
ANKRD37	0.32338	0.0976	0.13177
UFSP2	0.13739	0.11458	0.08819
C4orf47	0.00192	0.00601	0.00378
CCDC110	0.00066	0.0134	0.00473
RP11-279O9.4	0.00133	0.00464	0.00512
PDLIM3	0.00156	0.03696	0.15013
SORBS2	0.00372	0.21898	0.20458
TLR3	0.01492	0.03559	0.01916
FAM149A	0.0018	0.03294	0.01379
CYP4V2	0.05469	0.0953	0.07944
KLKB1	0.00188	0.036	0.02403
F11	0.00063	0.02005	0.01074
F11-AS1	5e-05	0.00095	1e-04
FAT1	0.00452	0.25126	0.20793
RP11-237D3.1	0.00014	0.00109	0.00073
RP11-565A3.2	5e-05	0.00518	0.00177
ZFP42	0	0.00063	0.00061
TRIML2	0.00016	0.00044	0.0012
RP11-462G22.2	5e-05	0.00056	0.00064
AF146191.4	7e-05	0.00043	0.003
FRG1	0.27587	0.24796	0.15432
CCDC127	0.05712	0.12977	0.06402
SDHA	0.15084	0.28013	0.124
CTD-2083E4.6	3e-04	0.00017	0.00054
PDCD6	0.32786	0.76507	0.36993
AHRR	0.00467	0.00041	0.00183
EXOC3-AS1	0.01486	0.0555	0.0211
EXOC3	0.10116	0.13964	0.10421
PP7080	0.01284	0.06338	0.0282
CEP72	0.00614	0.02618	0.01202
TPPP	0.01966	0.00548	0.00327
CTD-2589H19.6	0.00064	0.00263	0.00263
ZDHHC11B	0.00096	0.00387	0.00336
ZDHHC11	0.00096	0.01679	0.01665
BRD9	0.2623	0.42915	0.31054
TRIP13	0.02629	0.11787	0.05401
RP11-43F13.3	0.00161	0.02517	0.0228
RP11-43F13.4	0.00037	0.00803	0.0038
NKD2	0.00233	0.05175	0.03086
SLC12A7	0.11583	0.26212	0.24114
CTD-3080P12.3	0.00144	0.03174	0.02662
SLC6A19	0.00158	0.05671	0.03223
TERT	0.00333	0.0485	0.04818
CLPTM1L	0.16199	0.43318	0.21097
LPCAT1	0.18015	0.0715	0.0743
CTD-2012J19.3	0.00424	0.00028	0.00064
MRPL36	0.14734	0.41315	0.17812
NDUFS6	0.65369	1.2349	0.56887
C5orf38	0	0	0.00617
LINC01019	0.00026	0.02577	0.01488
LINC01017	4e-05	0.00154	0.00162
RP11-445O3.3	9e-05	0.00231	0.00213
ADAMTS16	0	0.00416	0.00264
ICE1	0.09475	0.12797	0.09063
FLJ33360	0.00035	0.00429	0.00277
MED10	0.27935	0.38166	0.23366
UBE2QL1	0.00025	2e-04	0.00025
LINC01018	0	0.00058	0
NSUN2	0.06503	0.09774	0.0725
SRD5A1	0.03814	0.05253	0.02278
PAPD7	0.06137	0.05478	0.06763
C5orf49	0	0.00243	0.00259
MTRR	0.04739	0.0944	0.051
FASTKD3	0.0245	0.04644	0.02287
RP11-480D4.6	0.00038	0.00118	0.00036
MIR4458HG	0.05298	0.16165	0.09508
SEMA5A	0.00446	0.02534	0.09474
SNHG18	0.00168	0.05228	0.07355
CTD-2199O4.1	0.00087	0.00037	0
CTD-2199O4.6	0.00015	0.00314	0.002
FAM173B	0.02472	0.07373	0.05749
CTD-2256P15.1	0.00173	0.00187	0.00891
CCT5	0.36745	0.68179	0.30708
CTD-2256P15.4	8e-04	0.00119	0
CMBL	0.00936	0.21349	0.06879
CTD-2256P15.2	0.00795	0.02615	0.01141
MARCH6	0.2314	0.38611	0.24326
ROPN1L	0.00072	0.00046	0.00104
RP11-1C1.6	5e-05	0.00718	0.00229
RP11-1C1.4	0	0.00156	0.00046
ANKRD33B	0.01013	0.00455	0.00587
DAP	0.14287	0.38271	0.21755
CTD-2154B17.1	0.00014	7e-04	0.00045
CTNND2	0.00226	0.05846	0.02345
RP11-308B16.2	0	0.00125	0.00037
LINC01194	0.00043	0.0164	0.00417
DNAH5	0.00112	0.05604	0.04315
TRIO	0.07014	0.10847	0.10412
AC016549.1	0.02346	0.02468	0.02976
FAM105A	0.25103	0.01441	0.02785
CTD-2165H16.4	0.02378	0.01462	0.01748
OTULIN	0.2664	0.12368	0.11512
ANKH	0.23699	0.1229	0.10375
CTB-40H15.4	0.00745	0.00687	0.00622
FBXL7	0.00014	0.00025	0.01647
ZNF622	0.16514	0.18522	0.09881
FAM134B	0.04367	0.2357	0.13195
RP11-260E18.1	0.00168	7e-05	0.00044
MYO10	0.00625	0.11766	0.07834
BASP1	0.42734	0.0257	0.06838
CTD-2139B15.2	0.00078	4e-04	0
RP11-124N3.3	0	0.00072	0.00021
RP11-124N3.2	0	0.00085	0.00086
RP11-774D14.1	0.00015	0.00531	0.00165
RP11-374A4.1	0.00014	0.00114	0.0028
RP11-360I2.1	0.00011	0.00056	7e-05
CDH12	0.00015	0.00383	0.002
PRDM9	0.00068	0.019	0.00905
C5orf17	0.00128	0.0011	0.00205
CDH10	4e-05	0.00428	0.0035
RP11-184E9.1	0	0.00072	0.00163
RP11-184E9.2	0	0.0019	0.00182
CDH9	0.00067	0.01718	0.01118
LINC01021	0.00017	0.01008	0.00773
CTD-2118P12.1	0	0.00451	0.0016
CDH6	0.00043	0.02332	0.08338
DROSHA	0.03407	0.0771	0.04331
C5orf22	0.04559	0.05649	0.03196
PDZD2	0.00116	0.00135	0.02374
CTD-2152M20.2	7e-05	0.00039	0.00023
GOLPH3	0.20233	0.42959	0.20787
CTD-2186M15.3	0.01267	0.03463	0.02412
MTMR12	0.06529	0.09407	0.06211
ZFR	0.20408	0.3753	0.18006
SUB1	1.49442	1.88881	0.9536
NPR3	0.00107	0.01711	0.00911
CTD-2203K17.1	0.00079	0.00246	0.00481
TARS	0.18522	0.42971	0.17726
ADAMTS12	0.00093	0.01745	0.04636
SLC45A2	0.00022	0.0075	0.00223
AMACR	0.00451	0.01889	0.0135
C1QTNF3	0.00379	0.01752	0.02239
RP11-1250I15.3	0.00012	0.00045	0
CTD-2024P10.2	0	0.00394	0.00044
RAI14	0.02377	0.13866	0.13792
CTD-2517O10.6	0.00253	0.01256	0.00351
TTC23L	0.00029	0.00097	0.0015
RAD1	0.07237	0.12954	0.06405
BRIX1	0.14053	0.30726	0.12317
DNAJC21	0.24996	0.30928	0.15888
AGXT2	0.00062	0.02194	0.00755
PRLR	0.01374	0.08645	0.0356
SPEF2	0.01712	0.03023	0.0267
IL7R	0.7847	0.05361	0.11144
UGT3A2	0	0.00084	0.00076
LMBRD2	0.0611	0.10109	0.05759
SKP2	0.03268	0.05484	0.03151
NADK2	0.04268	0.19081	0.07358
SLC1A3	0.13024	0.00824	0.02046
CTD-2353F22.1	0.00276	0.00033	0.00024
CTD-2653M23.3	0.00062	3e-04	0.00076
NIPBL	0.30247	0.29426	0.25072
C5orf42	0.04338	0.07514	0.0952
NUP155	0.05625	0.08942	0.04637
WDR70	0.09041	0.09975	0.06723
EGFLAM	0.00013	0.00017	0.03627
LIFR	0.00055	0.02357	0.03787
LIFR-AS1	2e-04	0.00677	0.00547
LINC01265	0	0.00104	0.00046
OSMR-AS1	0.00028	0.01507	0.01981
OSMR	0.00912	0.2372	0.16971
RICTOR	0.26256	0.2714	0.27067
FYB	0.85423	0.04472	0.09243
C9	0.00558	0.21619	0.07617
DAB2	0.86743	0.35986	0.28616
CTD-2078B5.2	0.00155	0.00012	0.0027
PTGER4	0.44539	0.04574	0.09762
TTC33	0.04462	0.087	0.05207
PRKAA1	0.14117	0.3398	0.21193
RPL37	3.2165	3.46725	2.63674
CARD6	0.05152	0.05783	0.05943
C7	0.00034	0.00849	0.06382
C6	0.00091	0.02401	0.03115
PLCXD3	0	0.00149	0.00719
OXCT1	0.05401	0.0089	0.01777
C5orf51	0.04855	0.08158	0.04089
FBXO4	0.04855	0.08411	0.04037
GHR	0.00059	0.01497	0.00764
CCDC152	0.03406	0.01834	0.01527
SEPP1	1.26686	1.70196	0.94775
CTD-2325A15.5	0.00023	0.00024	0.00019
CTD-2201E18.5	0.00113	0.00123	0.00162
CTD-2035E11.3	0.01583	0.00063	0.0026
CTD-2035E11.4	0.00152	0.00051	0.00049
ANXA2R	0.09426	0.03223	0.03212
AC025171.1	0.01892	0.01735	0.0203
CTD-2035E11.5	0.00399	0.00704	0.00935
ZNF131	0.18941	0.14161	0.1334
NIM1K	0.00058	0.00038	0.00106
CTD-2636A23.2	0.00027	0.00148	0
HMGCS1	0.12761	0.73157	0.35032
CCL28	0.0265	0.0727	0.06825
C5orf28	0.03514	0.13235	0.06197
C5orf34	0.01312	0.0134	0.0091
RP11-159F24.5	0.0013	0.00086	0.00287
PAIP1	0.14603	0.33201	0.1447
NNT-AS1	0.04957	0.0922	0.0746
NNT	0.1173	0.13045	0.07651
RP11-53O19.1	0.00196	0.01754	0.01003
MRPS30	0.11541	0.2148	0.08861
RP11-53O19.3	0.0073	0.02773	0.01392
HCN1	2e-04	0.01821	0.00588
EMB	0.3627	0.13284	0.07379
RP11-269M20.3	1e-04	0.001	0.00016
PARP8	0.27511	0.16451	0.13762
ISL1	4e-05	0.00116	0.00091
CTD-2288O8.1	0.00114	0	0.00027
ITGA1	0.08741	0.2706	0.4023
PELO	0.07043	0.25778	0.15539
ITGA2	0.0104	0.27831	0.17262
CTD-2366F13.2	0.00026	0.00144	0.00082
MOCS2	0.12882	0.43725	0.18006
CTD-2366F13.1	0.00328	0.03171	0.01085
FST	0.02037	0.60841	0.25271
NDUFS4	0.22252	0.6632	0.24988
CTD-2081C10.7	0.00064	0.00212	0.00226
ARL15	0.03262	0.04249	0.03861
LINC01033	4e-05	0.00087	0.00043
SNX18	0.199	0.12227	0.0892
ESM1	0.00068	2e-05	0.0169
GZMK	0.3319	0.02522	0.04423
GZMA	0.39909	0.01552	0.04625
CDC20B	0.00165	5e-04	0.00172
GPX8	0.00144	0.07773	0.08557
CCNO	0.00043	0.01005	0.01251
DHX29	0.13759	0.3007	0.12863
SKIV2L2	0.13695	0.23345	0.13974
PLPP1	0.03295	0.2086	0.14117
SLC38A9	0.05182	0.1126	0.06692
IL31RA	0.00078	0.00149	0.00082
IL6ST	0.31699	0.45101	0.3946
CTD-2031P19.5	0.00033	1e-04	0.00111
FLJ31104	0.0039	0.00552	0.00598
CTD-2227I18.1	4e-05	0.00044	0
ANKRD55	0.00213	0.00021	0.00204
MAP3K1	0.30378	0.10766	0.10897
SETD9	0.03826	0.14869	0.03986
MIER3	0.04389	0.06348	0.04672
CTD-2310F14.1	0.00167	0.00047	3e-04
GPBP1	0.78113	0.51379	0.40447
ACTBL2	4e-05	0.00207	0.00081
PLK2	0.05325	0.08248	0.15162
GAPT	0.0391	0.00119	0.00201
RAB3C	0.01002	0.25291	0.0819
RP11-479O16.1	0	0.00115	0.00037
PDE4D	0.16867	0.073	0.08136
RP11-266N13.2	0.00024	0.00203	0.00025
PART1	0.00414	0.00069	0.00277
DEPDC1B	0.02175	0.07158	0.02388
ELOVL7	0.00398	0.0394	0.02334
RP11-231G3.1	0.00099	0.00292	0.00252
ERCC8	0.01989	0.04959	0.01797
NDUFAF2	0.14406	0.50839	0.17629
SMIM15	0.23817	0.43975	0.16464
ZSWIM6	0.21824	0.05783	0.0984
CTD-2170G1.2	0	0.00107	0
KIF2A	0.23291	0.17876	0.09867
DIMT1	0.08114	0.26181	0.09976
IPO11	0.02586	0.0511	0.04456
LRRC70	0.00086	2e-04	0.00485
RNF180	0.00016	0.00165	0.0251
RGS7BP	0	0.0011	0.00931
FAM159B	0	0.00038	0
SREK1IP1	0.22	0.35982	0.18565
CWC27	0.10063	0.21547	0.08232
RP11-307L14.1	0.00051	0.00176	0.00057
RP11-307L14.2	0.00079	0.00081	0.00012
ADAMTS6	0.02253	0.05081	0.08259
CTD-2116N20.1	0.00034	0.00016	0.00087
CENPK	0.09595	0.11004	0.04069
PPWD1	0.1026	0.13735	0.09658
TRIM23	0.06607	0.11438	0.0791
TRAPPC13	0.05435	0.08931	0.0518
CTC-534A2.2	0.01885	0.02554	0.0159
SGTB	0.16975	0.07183	0.0433
NLN	0.11423	0.20925	0.08338
CTD-2033C11.1	0.00107	0.00689	0.00168
ERBB2IP	0.3196	0.33575	0.23944
SREK1	0.28781	0.40497	0.41958
MAST4	0.07076	0.18136	0.18891
MAST4-AS1	0.00084	0.01465	0.00295
CD180	0.14895	0.00478	0.01595
RP11-434D9.1	9e-05	0.00072	0.00062
RP11-83M16.5	0.00076	0.0013	0.00082
RP11-83M16.6	3e-04	0.00764	0.00408
RP11-434D9.2	1e-04	0.00374	0.0021
PIK3R1	0.56435	0.21846	0.2018
CTC-537E7.3	0.00141	0.00046	0
RP11-141O11.2	0	0.00094	0.0019
CTC-498J12.1	0	0.00894	0.00957
SLC30A5	0.09087	0.27191	0.11933
CTC-498J12.3	0.00095	0.00068	0.00034
CCNB1	0.08062	0.19538	0.05722
CENPH	0.04994	0.06783	0.02864
MRPS36	0.30924	0.6819	0.24509
CDK7	0.04597	0.11718	0.04629
CCDC125	0.02972	0.0517	0.02979
AK6	0.16571	0.53839	0.17583
TAF9	0.27209	0.6832	0.23161
RAD17	0.05913	0.11524	0.06179
MARVELD2	0.00344	0.16525	0.04451
OCLN	0.01281	0.30268	0.14423
GTF2H2C	0.023	0.09647	0.06327
SERF1B	0.00042	0.00039	0.00025
SMN2	0.01115	0.0355	0.01653
RP11-497H16.9	0.00363	0.02377	0.01097
SERF1A	0.0058	0.00686	0.00862
SMN1	0.02039	0.05977	0.02983
NAIP	0.25382	0.09476	0.14449
GTF2H2	0.03608	0.14992	0.09755
RP11-136K7.2	0.00152	0.04748	0.03892
BDP1	0.23956	0.2833	0.24524
MCCC2	0.08256	0.2393	0.10415
MAP1B	0.00196	0.0067	0.22028
MRPS27	0.0741	0.21774	0.09449
PTCD2	0.01962	0.05771	0.04006
ZNF366	0.00967	0.00042	0.00786
TNPO1	0.24165	0.33011	0.23109
CTD-2376I4.1	0.00268	0.00062	0.00035
CTD-2376I4.2	0.00563	0.00164	0.00652
FCHO2	0.28294	0.10227	0.13078
TMEM171	0.00145	0.03598	0.01358
FOXD1	0.00944	0.00129	0.00263
RP11-79P5.9	0.00163	0.0076	0.00667
BTF3	1.57625	2.16943	1.20191
ANKRA2	0.05338	0.1458	0.08257
UTP15	0.02956	0.08667	0.03571
ARHGEF28	0.00113	0.05333	0.04646
ENC1	0.03812	0.10795	0.0793
HEXB	0.36235	0.28185	0.18266
GFM2	0.04224	0.04532	0.02471
NSA2	0.6872	0.57632	0.39036
FAM169A	0.01106	0.02245	0.01433
CTD-2377O17.1	0.00027	0.00062	0.00034
GCNT4	0.00689	0.00379	0.00555
LINC01336	0.00153	7e-04	0.00075
ANKRD31	0.00067	0.00468	0.00415
HMGCR	0.06365	0.15162	0.06752
CTD-2235C13.3	0.00036	0.00242	0.00059
COL4A3BP	0.20232	0.09642	0.09306
POLK	0.17443	0.08313	0.11791
CTC-366B18.2	0.00095	0.00039	0.0013
CTC-366B18.4	0.00216	0.00196	0.00401
ANKDD1B	0.00153	0.00436	0.00428
POC5	0.03529	0.02459	0.02377
SV2C	0.00106	0.00453	0.00251
AC113404.1	0.001	0.00118	0.00032
IQGAP2	0.53659	0.26179	0.10677
CTD-2236F14.1	0.00138	0	0.00016
F2RL2	0.00145	0.00427	0.00303
F2R	0.07021	0.02629	0.13263
F2RL1	0.00659	0.05469	0.01554
S100Z	0.01519	0.00071	0.00165
CRHBP	0.02986	0.00072	0.00491
AGGF1	0.14462	0.12954	0.08365
ZBED3	0.04327	0.08483	0.04556
ZBED3-AS1	0.01453	0.0081	0.00977
PDE8B	0.00442	0.00162	0.04462
WDR41	0.12882	0.07607	0.06023
TBCA	0.75497	1.03581	0.55404
AP3B1	0.19221	0.10992	0.09172
SCAMP1-AS1	0.0367	0.0505	0.02886
SCAMP1	0.16489	0.12844	0.10635
LHFPL2	0.14276	0.04702	0.05587
ARSB	0.04123	0.01855	0.01952
DMGDH	0.00583	0.02911	0.01191
BHMT2	0.00475	0.20149	0.10101
BHMT	3e-05	0.00298	0.00111
JMY	0.13111	0.04194	0.05016
HOMER1	0.03571	0.04917	0.05295
PAPD4	0.24738	0.07477	0.10435
CMYA5	0.00267	0.01391	0.00999
MTX3	0.03725	0.05309	0.04607
THBS4	0.00126	0.00271	0.1179
SERINC5	0.15284	0.12016	0.08856
ZFYVE16	0.31386	0.1263	0.16905
CTD-2015H6.3	0.0055	0.06692	0.01636
FAM151B	0.00671	0.00447	0.00272
DHFR	0.07921	0.08175	0.03785
MSH3	0.08244	0.06091	0.045
