Immune cells	Malignant cells	Stromal cells
PIK3CD	0.09397	0.00516	0.01562
PIK3CD-AS1	0.0025	3e-05	0.00026
PIK3CD-AS2	0.00802	0.08543	0.02911
CLSTN1	0.09579	0.13247	0.13422
CTNNBIP1	0.09944	0.11511	0.07012
LZIC	0.16434	0.12916	0.08189
NMNAT1	0.02755	0.02097	0.01925
RBP7	0.06376	0.003	0.0556
UBE4B	0.06976	0.0631	0.04872
KIF1B	0.13356	0.10481	0.10006
PGD	0.16809	0.24494	0.08863
RP4-736L20.3	7e-05	0.00079	0
APITD1-CORT	0.002	0.00199	0.0012
APITD1	0.01726	0.04504	0.015
CORT	0.00025	0.00053	0.00044
DFFA	0.08041	0.12478	0.08434
PEX14	0.02406	0.02381	0.02313
CASZ1	0.01431	0.04532	0.03949
C1orf127	0.00219	0.00021	0.00055
TARDBP	0.15767	0.18446	0.14387
MASP2	0.00156	0.0551	0.01489
RP4-635E18.8	0.00144	0.00136	0.00262
SRM	0.22885	0.51492	0.21421
EXOSC10	0.07397	0.06221	0.05539
RP4-635E18.7	0.00112	0.00135	0.00231
RP4-635E18.6	0.00246	0.00209	0.00107
MTOR	0.0338	0.05215	0.03948
UBIAD1	0.03456	0.05674	0.02472
FBXO2	0.01401	0.0501	0.00923
FBXO44	0.02569	0.02214	0.02441
FBXO6	0.06123	0.04725	0.0221
MAD2L2	0.14212	0.0871	0.0532
DRAXIN	0.00487	0.00047	0.00057
AGTRAP	0.23682	0.1951	0.1018
C1orf167	0.00034	0.00475	0.00271
MTHFR	0.08765	0.04097	0.0498
CLCN6	0.03515	0.02985	0.02944
NPPA-AS1	0.00277	0.00255	0.00457
NPPB	0.00227	0.01859	0.0112
KIAA2013	0.14686	0.12971	0.10006
PLOD1	0.0944	0.1259	0.12864
MFN2	0.05741	0.04884	0.03454
MIIP	0.09724	0.05731	0.04983
TNFRSF8	0.01142	0.00043	0.00242
TNFRSF1B	0.70404	0.03715	0.11589
VPS13D	0.06416	0.06734	0.09062
DHRS3	0.30561	0.29833	0.15756
RP11-474O21.5	0.00196	0.00114	0.0026
PDPN	0.00534	0.00074	0.00527
PRDM2	0.27874	0.08349	0.11775
KAZN	0.003	0.02491	0.03139
TMEM51-AS1	0.00876	0.00941	0.01093
TMEM51	0.19427	0.04382	0.05498
FHAD1	0.01711	0.0032	0.00456
RP3-467K16.2	0.00404	0.00025	0.00022
RP3-467K16.4	0.00201	0.00024	0.00023
EFHD2	0.96712	0.31713	0.27052
CTRC	0.00244	0.00013	0.00075
CELA2A	0.00057	0.00011	0.00029
CASP9	0.03266	0.02292	0.02279
DNAJC16	0.0582	0.07266	0.0505
RP4-680D5.8	0.00013	0.00191	0.00086
AGMAT	0.01031	0.14153	0.03034
RP4-680D5.2	0.002	0.00084	0.00286
DDI2	0.1145	0.09019	0.08008
RP4-680D5.9	0.00075	0.00012	0.00097
PLEKHM2	0.13992	0.04356	0.06465
SLC25A34	0.00853	0.00254	0.005
RP11-169K16.4	0	0.00029	0.00157
TMEM82	0.00129	0.07445	0.01775
FBLIM1	0.00942	0.06999	0.13599
UQCRHL	0.00503	0.01204	0.00755
FLJ37453	0.04851	0.02787	0.04205
SPEN	0.25367	0.17831	0.23426
ZBTB17	0.05117	0.03096	0.03353
C1orf64	0.00026	0.0107	0.00189
HSPB7	0.00016	0.00574	0.01176
CLCNKA	0.00016	0.00047	0.00016
CLCNKB	0	0.00169	0.00091
FAM131C	0.00019	0.00258	0.00308
EPHA2	0.00374	0.11548	0.06891
RP11-276H7.2	0.00018	0.00209	0.00138
