M1	cDC1	M2	CD8Tcm	Malignant	Epithelial	Treg	Fibroblasts	Tprolif	DC	B	Monocyte	Endothelial	Mast
ATAD3C	0.00408	0.00538	0.00102	0.00619	0.00685	0.006	0.00611	0.00516	0.00342	0.00438	0.01863	0.0045	0.01446	0.03729
ATAD3B	0.02442	0.04217	0.0359	0.03607	0.04011	0.0423	0.04537	0.04316	0.06406	0.03297	0.05736	0.04083	0.08803	0.02732
ATAD3A	0.02444	0.06506	0.04613	0.01939	0.04133	0.02739	0.03995	0.05412	0.12085	0.04331	0.02102	0.05397	0.07393	0.03123
TMEM240	0	0.00022	0.00151	0	0.00137	0.00078	0	0.00125	0	0.00092	0	0	0.00233	0
SSU72	0.41686	0.46445	0.47037	0.35783	0.37896	0.18317	0.40155	0.44862	0.453	0.46409	0.24637	0.50233	0.40247	0.29076
RP5-832C2.5	0.0198	0.02503	0.02129	0.02808	0.00354	0.01042	0.0151	0.02074	0.02724	0.02556	0.01631	0.03079	0.00394	0.0121
C1orf233	0.05774	0.06059	0.03707	0.00369	0.00115	0.0021	0.00546	0.01949	0.0579	0.0459	0.00077	0.05319	0	0.02114
RP11-345P4.9	0.02056	0.01529	0.01444	0.01371	0.01396	0.01218	0.01139	0.02712	0.0108	0.03564	0.01269	0.01647	0.02915	0.02549
MIB2	0.0632	0.05701	0.05618	0.11075	0.05952	0.07364	0.13625	0.09519	0.06835	0.06314	0.05095	0.06324	0.12431	0.09409
MMP23B	0.00173	0.00479	0.00297	0.00737	0.0147	0.00821	0	0.04835	0.0049	0	0.00233	0.00306	0	0
CDK11B	0.07675	0.1124	0.10064	0.15436	0.0844	0.06262	0.17921	0.16083	0.20396	0.08545	0.16309	0.11022	0.14939	0.08133
RP11-345P4.10	0.00089	0.00027	0.00292	0.00104	0.00175	0.00117	0.00147	0.00094	0.00261	0.00242	0	0	0.0044	0
SLC35E2B	0.07374	0.11047	0.06432	0.10298	0.09079	0.08304	0.08113	0.20148	0.10254	0.09848	0.11214	0.06504	0.1853	0.01943
RP11-345P4.7	0.00072	0.00116	0	0.00248	0.00095	0.00034	0.00099	0.0015	0	0	0.00473	0	0	0
CDK11A	0.08282	0.10638	0.11408	0.13458	0.0538	0.05414	0.16066	0.1241	0.1556	0.07888	0.0931	0.10515	0.13206	0.07044
SLC35E2	0	0.00369	0.00431	0.00171	0.00507	0.01029	0.00327	0.00432	0.00243	0	0.00209	0	0	0
NADK	0.13514	0.25472	0.17689	0.03988	0.09518	0.06578	0.03473	0.10763	0.14725	0.23991	0.07636	0.16518	0.14176	0.03731
GNB1	0.84115	0.76262	0.57426	0.35148	0.28598	0.17074	0.33844	0.59589	0.80246	0.84502	0.34728	0.74381	0.82529	0.35147
RP1-140A9.1	0.00335	0.00133	0.00189	0.00095	0.00139	3e-04	0	0	0	0.00085	0	0.00089	0.00289	0
CALML6	0	0	0	0	4e-04	0.00083	0	0	0.00047	0	0	0	0	0
TMEM52	0.00116	0.00216	0.00249	0.00127	0.03304	0.00742	0.00178	0.0028	0.00292	0.00354	0.00685	0.00126	0	0
CFAP74	0.00073	0.00032	0	0	0.00063	0.00103	0	0.00786	0	0	0	0	0	0
RP11-547D24.1	0	0.00017	0	0	0.00034	0	0	0	0	0	0	0	0.05836	0
GABRD	0	0.00014	0	4e-04	0.00322	0.00162	0	0.13973	0.00102	0	0	0	0.15032	0
