M1	cDC1	M2	CD8Tcm	Malignant	Epithelial	Treg	Fibroblasts	Tprolif	DC	B	Monocyte	Endothelial	Mast
S100P	0.06058	0.04448	0.05531	0.06915	1.17322	0.63575	0.06353	0.04347	0.04769	0.05559	0.0594	0.0521	0.06954	0.06341
MRFAP1L1	0.08126	0.12347	0.06127	0.14119	0.18691	0.10019	0.14784	0.13407	0.15492	0.13958	0.08695	0.06436	0.14085	0.05921
BLOC1S4	0.0745	0.09432	0.07939	0.14167	0.32096	0.1197	0.16048	0.15849	0.13677	0.09456	0.0822	0.05671	0.11675	0.09184
KIAA0232	0.13725	0.13202	0.10298	0.10798	0.14086	0.13588	0.08273	0.13894	0.12242	0.14536	0.07607	0.12553	0.13562	0.04241
TBC1D14	0.0479	0.14668	0.06059	0.03368	0.05571	0.03709	0.03677	0.05039	0.10079	0.12039	0.02036	0.07285	0.026	0.08385
CCDC96	0.00804	0.009	0.00715	0.00714	0.00681	0.0081	0.00454	0.01601	0.01006	0.00518	0.00695	0.00646	0.01467	0.01087
TADA2B	0.03727	0.05545	0.03515	0.05815	0.04797	0.02768	0.04481	0.05623	0.0484	0.03573	0.0382	0.03032	0.02228	0.04335
GRPEL1	0.17658	0.1942	0.2024	0.22593	0.28351	0.09968	0.16609	0.11053	0.23913	0.16016	0.13741	0.23247	0.24371	0.25782
RP11-367J11.3	0.00312	0.00492	0.00078	0.00242	0.00892	0.00355	0.00298	0.01159	0.00351	0.00113	0	0.00413	0.00665	0
SORCS2	0.0029	0.00131	0.00208	0	0.026	0.01306	0	0.0028	0.0012	0.00512	0	0.00424	0	0
PSAPL1	0.00105	0.00038	0.00063	0.0011	0.01444	0.00803	0.00059	0.00271	0.00106	0	0	0	0	0
AFAP1-AS1	0.00043	0	0	0.0016	0.07395	0.0367	0	0	0	0	0	0	0.01379	0
AFAP1	0.00848	0.01098	0.0019	0.03639	0.04841	0.03268	0.01977	0.14957	0.01113	0.01089	0.00164	0.00324	0.26663	0
ABLIM2	0.00053	0.00124	0	0.00154	0.00456	0.00348	0.00529	0.00583	0	0.00212	0	0	0.07408	0
SH3TC1	0.08878	0.13532	0.11144	0.05875	0.08537	0.06713	0.07139	0.01855	0.10169	0.1401	0.0579	0.1363	0.13988	0.03573
HTRA3	0	0.00026	0	0.00037	0.01238	0.00702	0.00147	0.07454	0.00225	0	0	0	0.0322	0
RP11-774O3.3	0.00141	0.00183	0.00173	0.00225	0.01122	0.00934	0.00486	0.00884	0.00094	0.00494	0.00321	0.0017	0.002	0
ACOX3	0.01998	0.03191	0.03077	0.01484	0.02601	0.01518	0.0152	0.01726	0.03144	0.03213	0.01355	0.02722	0.04527	0
TRMT44	0.007	0.0245	0.02182	0.0173	0.03141	0.03129	0.02235	0.02049	0.02254	0.01842	0.01585	0.01215	0.0286	0.0188
RP11-689P11.2	0.00057	0.00188	0.0032	0.00058	0.00425	0.00168	0	0.00059	0.00101	0.0023	0.00722	0	0	0
SLC2A9	0.01936	0.03028	0.01792	0.00062	0.00783	0.00315	0	0.00643	0.02458	0.03377	0	0.02037	0.00583	0
WDR1	0.51887	0.6333	0.48335	0.24999	0.28948	0.16241	0.4221	0.49741	0.76533	0.66648	0.14341	0.58763	0.4657	0.20762
ZNF518B	0.05052	0.06286	0.0545	0.03308	0.00701	0.0081	0.0662	0.07099	0.04552	0.07937	0.08292	0.0574	0.1211	0.02341
CLNK	0.00432	0.00389	0.0048	0.01244	0.00113	0.00255	0.1126	0	0.01411	0.00053	0.02498	0.00138	0.00568	0.07098
RP11-61G19.2	0	0	0	0.00046	3e-05	5e-04	0.01056	0	0	0	0	0	0	0
HS3ST1	0.17946	0.1616	0.05708	0.00514	0.09914	0.09233	0.00713	0.03293	0.14279	0.18758	0.00593	0.18409	0.09154	0.22274
RP11-281P23.1	0	0.00081	0.00058	0	0.00233	0.00859	0	0	0	0.00107	0.00301	0	0	0
RP11-22A3.2	0	0	0	0.00018	0.00167	0.00218	0	0	0	0	0	0	0	0
RAB28	0.05897	0.07003	0.04535	0.03958	0.05342	0.03108	0.06888	0.12404	0.09233	0.08598	0.03157	0.06616	0.11809	0.03168
NKX3-2	0.00064	0	0	0	0.00132	0.00156	0	0.00316	0	0	0	0	0	0
BOD1L1	0.28784	0.39619	0.36068	0.37412	0.28174	0.29791	0.40708	0.43315	0.38331	0.36891	0.48752	0.3538	0.61127	0.2316
LINC00504	0.0251	0.0015	0	0.00343	0.0139	0.00436	0	0.00208	0.00509	0.01039	0.00297	0.00411	0.00502	0
CPEB2-AS1	0.00135	0.00039	0.00235	0.00035	0.0017	0.00173	0	0	0	0	0	0	0.002	0
CPEB2	0.18024	0.0998	0.07797	0.05526	0.05081	0.03661	0.04109	0.07685	0.09398	0.14771	0.01955	0.14542	0.0547	0.03752
RP11-665G4.1	0.00165	0.00098	0.00269	0	0.00033	0.00108	0.00221	0.00125	0.00107	0	0.00441	0	0	0.01132
C1QTNF7	0	0.00032	0	0.00033	5e-05	0	0.00078	0.05914	0	0	0	0	0	0
CC2D2A	0.0031	0.02007	0.01093	0.00361	0.06228	0.02498	0.00232	0.08308	0.01821	0.01159	0.00377	0.01141	0.03163	0
RP11-799M12.2	0.00071	0.00093	0.00131	0	0.00049	0.00067	0	0.00147	0.00075	0	0	0.00209	0	0
FBXL5	0.17043	0.32713	0.31079	0.10047	0.17373	0.09545	0.11373	0.2411	0.25371	0.31126	0.08562	0.23134	0.1864	0.11958
FAM200B	0.16259	0.1363	0.18914	0.12174	0.24242	0.13199	0.14553	0.32378	0.22332	0.12822	0.05672	0.15621	0.17304	0.06938
BST1	0.02965	0.061	0.18256	0.00227	0.00718	0.00546	0.00132	0.11278	0.06314	0.03702	0.00208	0.12939	0.02057	0.07974
CD38	0.01855	0.19462	0.1019	0.05245	0.00387	0.00511	0.04233	0.06405	0.13991	0.08118	0.16423	0.08823	0.01006	0.29857
FGFBP1	0	0.00026	0	0.00256	0.08162	0.01504	0.00095	0	0	0	0	0.00138	0	0.01198
FGFBP2	0.00175	0.00146	0.00151	0.06465	0.01319	0.00376	0.00248	0.00401	0.00501	0.00151	0.0103	0	0	0
PROM1	0.00053	0.00089	0	0.00391	0.22337	0.1641	0.00281	0.00846	6e-04	0	0.00202	0	0.00429	0
TAPT1	0.03823	0.06178	0.05053	0.0708	0.07005	0.04652	0.05852	0.04339	0.0878	0.05608	0.06242	0.04356	0.08226	0.07133
TAPT1-AS1	0.00121	0.00367	0.00257	0.00163	0.00601	0.00729	0.00366	0.001	0.00329	0.00422	0.00349	0.00219	0.00541	0
RP11-446J8.1	0	0	0	0	0.00119	0.00173	0	0	0.00161	0	0	0	0	0
LDB2	0.00051	0.00042	0	0.00661	0.00095	0.00113	0	0.11885	0.00332	0	0	0	0.79652	0.03323
QDPR	0.09342	0.20719	0.11971	0.051	0.24643	0.07739	0.07265	0.13519	0.21649	0.16465	0.03675	0.13387	0.05172	0.0598
LAP3	0.3645	0.84438	0.66764	0.14199	0.27862	0.1304	0.19968	0.4626	0.74112	0.69744	0.14056	0.72448	0.37244	0.04916
AC006160.5	0	0.00112	0.0012	0.0011	0.00039	0	0.00252	0	0	0.00075	0	0.00113	0	0
MED28	0.29328	0.31277	0.33166	0.26494	0.31068	0.14301	0.26383	0.28943	0.34163	0.30234	0.27517	0.32447	0.39051	0.16431
FAM184B	0.00236	0.00098	0.00191	0.00653	0.00201	0.00199	0.00211	0.00724	0	0.00156	0.00631	0.00106	0	0
DCAF16	0.04547	0.0487	0.03754	0.08	0.10929	0.07827	0.0684	0.11126	0.06718	0.04393	0.0449	0.03633	0.12119	0
NCAPG	0.007	0.04022	0.00661	0.0057	0.0441	0.01896	0.01645	0.03257	0.65062	0.00882	0	0.00468	0.00236	0
LCORL	0.10271	0.14028	0.07815	0.03387	0.09126	0.07348	0.05253	0.06694	0.17925	0.10488	0.04827	0.10792	0.13037	0.05036
RP11-3J1.1	0	0	0	0	0.00081	0.00029	0	0	0.00029	0	0	0	0	0
RP11-608O21.1	0.00064	0	0	0	0.00306	0.00109	0	0	0	0	0	0	0	0
SLIT2	0.00468	0.00544	0	0.00017	0.00267	0.00285	0	0.11059	0.00147	0.00502	0	0.00124	0.08667	0
PACRGL	0.02164	0.0327	0.0203	0.00989	0.05801	0.02858	0.01628	0.04682	0.02608	0.03767	0.00349	0.02367	0.05811	0
KCNIP4	0	0.00034	0	0	0.00018	0	0	0.02243	0	0	0	0	0.00665	0
RP11-362J17.1	0	0.00016	0	0	0.00047	9e-05	0	0	0	0	0	0	0	0
KCNIP4-IT1	0	0	0	0	0.00038	0.00013	0	0.08741	0	0	0	0	0	0
ADGRA3	0.00221	0.00602	0.00478	0.00387	0.10048	0.07106	0.0011	0.04003	0.00897	0.00977	0.00107	0	0.02497	0
PPARGC1A	0.00057	0.00036	0	0.00068	0.00889	0.00447	0	0.00665	0.00106	0	0	0	0	0.0156
DHX15	0.18398	0.26277	0.23538	0.11181	0.31288	0.20077	0.12261	0.22102	0.38947	0.26139	0.14553	0.22204	0.35636	0.0696
RP11-496D24.2	0	0	0	0	0.0062	0.00351	0	0	0	0	0	0	0	0
SOD3	0	0.00097	0	0.01201	0.3383	0.08905	0.00515	0.68459	0.00236	0.00084	0.01574	0.00075	0.00596	0
CCDC149	0.02161	0.05778	0.03328	0.0011	0.0623	0.04713	0.00192	0.06081	0.03579	0.05826	0.01069	0.04286	0.11116	0
LGI2	0.01168	0.01601	0	0	0.00128	0.00157	0	0.02392	0.00706	0.01188	0	0	0.05905	0
SEPSECS	0.04034	0.06463	0.0409	0.02256	0.08563	0.06004	0.01816	0.03664	0.0561	0.0648	0.01604	0.04794	0.05509	0.00893
SEPSECS-AS1	0.03192	0.03259	0.02545	0.02239	0.03219	0.02699	0.02938	0.03193	0.04944	0.02002	0.02496	0.02817	0.03766	0
PI4K2B	0.0599	0.05526	0.03583	0.01461	0.07468	0.03216	0.01967	0.01988	0.0966	0.07294	0.01849	0.06779	0.02903	0.03064
ZCCHC4	0.03958	0.03156	0.01517	0.01463	0.03258	0.01748	0.01694	0.0391	0.0365	0.03095	0.01696	0.02109	0.035	0.02613
ANAPC4	0.07049	0.08645	0.05055	0.05422	0.07	0.0477	0.04906	0.06066	0.08534	0.08001	0.05763	0.06254	0.06862	0.10659
SLC34A2	0	0	0	0.00027	0.00805	0.00994	0	0	0	0	0	0	0	0
SEL1L3	0.06405	0.20821	0.03051	0.10429	0.21772	0.14688	0.09465	0.03515	0.09997	0.22954	0.3387	0.05086	0.09606	0.02414
RP11-302F12.10	0	0.00043	0	0.00079	7e-05	9e-04	0.00099	0.00097	0	0	0.00365	0	0	0
SMIM20	0.18914	0.26727	0.16653	0.05816	0.37838	0.11439	0.09832	0.2241	0.25461	0.23659	0.09972	0.19294	0.05659	0.0651
RBPJ	0.82814	0.85828	0.91389	0.47649	0.30083	0.21782	0.64322	0.56597	0.93469	0.86476	0.25973	1.03171	0.3908	0.31213
TBC1D19	0.01963	0.01292	0.0121	0.04195	0.02441	0.0234	0.05188	0.06012	0.02687	0.01364	0.0237	0.01004	0.05034	0.02738
STIM2	0.06177	0.10583	0.10317	0.16559	0.11396	0.09752	0.18023	0.13212	0.15782	0.08038	0.16231	0.07476	0.41139	0.1505
RP11-293A21.1	0.01011	0.00328	0.00589	0.00463	0.0099	0.00342	0.00243	0.00612	0.00724	9e-04	0.00084	0.00151	0.00962	0.00927
PCDH7	0	0.00055	0	0.00086	0.04805	0.02584	0	0.03635	0	0	0.00055	0	0.06155	0
RP11-734I18.1	0.00108	0.00075	0.00196	0	0.00755	0.01045	0.00247	0	0.00076	0	0.00282	0	0	0
RP11-548L20.1	0	0	0	0	0.00054	0.00019	0	0	0	0	0	0	0	0
ARAP2	0.07695	0.17862	0.17269	0.33443	0.09634	0.12324	0.20914	0.04325	0.1513	0.14156	0.08906	0.11735	0.12655	0.03348
RP11-431M7.3	0	0.00033	0.00293	0.00146	6e-05	0.00043	0.00333	0	0.00078	0.00194	0.002	0.00062	0	0
DTHD1	0.00049	0.00158	0.00259	0.09043	0.00224	0.00479	0.03859	0.00151	0.013	0.00095	0.00786	0.00288	0.02758	0
RP11-722M1.1	0	0	0	0	0.00073	0.00024	0	0	0	0	0	0	0	0
C4orf19	0	0.00023	0.00084	0.00261	0.06536	0.03363	0.00412	0	0.00127	0	0	0	0	0
RP11-36B15.1	0	0.00129	0.00248	0.00407	0.00023	2e-04	0	0.00419	0.00232	0	0	0	0.01197	0
RELL1	0.0151	0.03007	0.01284	0.02771	0.01109	0.00888	0.01828	0.06687	0.0324	0.02168	0.01512	0.00748	0.10815	0.03346
PGM2	0.13774	0.19823	0.16894	0.05591	0.08871	0.03123	0.07002	0.12297	0.24032	0.18152	0.02638	0.17607	0.17397	0.04626
TBC1D1	0.18956	0.24157	0.17108	0.08536	0.07049	0.05192	0.06902	0.23152	0.2368	0.25972	0.09291	0.22852	0.21108	0.04499
PTTG2	0	0.00141	0.0011	0.00147	0.00023	0	0.00085	0.00227	0	0.00101	0	0	0	0
RP11-83C7.1	0	0.00089	0.00242	0	8e-05	0.00125	0	0	0	0	0	0	0	0
KLF3	0.27864	0.39531	0.34288	0.29084	0.35004	0.2217	0.13913	0.19855	0.33137	0.36683	0.22151	0.35391	0.30169	0.283
TLR10	0.00442	0.02362	0.0502	0.00141	6e-04	8e-04	0	0.00411	0.03093	0.00629	0.11968	0.00829	0	0
TLR1	0.21816	0.34332	0.22014	0.01727	0.02057	0.02485	0.00603	0.04344	0.1897	0.2899	0.04713	0.20317	0	0
TLR6	0.09393	0.15576	0.09474	0.00736	0.00361	0.00872	0.00702	0.01681	0.10175	0.14067	0.05327	0.11198	0.00834	0
FAM114A1	0.09882	0.07278	0.04381	0.00643	0.30308	0.10995	0.01143	0.35352	0.05891	0.07133	0.02047	0.08332	0.16148	0
TMEM156	0.04795	0.06255	0.06702	0.15661	0.02113	0.01731	0.19141	0.01489	0.06653	0.05712	0.21806	0.05245	0.00543	0
KLHL5	0.10751	0.16202	0.11422	0.05894	0.10083	0.0561	0.05585	0.15674	0.16383	0.17577	0.06783	0.13057	0.32048	0.02016
WDR19	0.02207	0.02109	0.0061	0.00956	0.02977	0.02928	0.00908	0.03911	0.02152	0.02131	0.01354	0.0109	0.03775	0.0127
RFC1	0.17004	0.23487	0.15474	0.20962	0.33569	0.1805	0.29164	0.28093	0.38013	0.21589	0.19061	0.20908	0.28466	0.1517
KLB	0.00396	0.00299	0.004	0.00487	0.11781	0.06713	0.00267	0.00213	0.00472	0.00317	0.00783	0.00185	0	0
RPL9	2.81606	2.75192	2.99562	2.9826	2.74054	1.66556	3.03952	2.86507	2.6807	2.72928	2.94631	2.90054	2.62649	3.01505
LIAS	0.03645	0.07033	0.03619	0.03515	0.08235	0.04076	0.04955	0.03475	0.07148	0.04402	0.03276	0.04512	0.05361	0.04168
UGDH	0.15264	0.12522	0.09388	0.03971	0.8348	0.30768	0.06206	0.15803	0.12227	0.12713	0.03194	0.12866	0.11101	0.05704
UGDH-AS1	0.00147	0.00185	0.00059	0.00212	0.0053	0.00969	0.00229	0.00192	0.00102	0.00257	0.00452	0.00108	0.00333	0
SMIM14	0.20446	0.21636	0.21193	0.05621	0.62279	0.25362	0.04203	0.26047	0.16902	0.23305	0.42505	0.19002	0.25053	0.06855
RP11-539G18.3	0.00798	0.00653	0.00229	0.00249	0.00696	0.01075	0	0.01357	0.00267	0.00365	0.00786	0.01031	0.02299	0
UBE2K	0.31355	0.39702	0.3212	0.27685	0.47965	0.22256	0.30848	0.37642	0.46333	0.413	0.22456	0.4019	0.41539	0.12521
PDS5A	0.23838	0.32041	0.21666	0.17836	0.22067	0.13525	0.17479	0.20782	0.43083	0.326	0.15745	0.28467	0.26378	0.06673
N4BP2	0.09472	0.13954	0.10802	0.09863	0.21852	0.15976	0.10137	0.05245	0.18156	0.11671	0.07479	0.13791	0.09807	0.01173
RHOH	0.02426	0.02704	0.05225	0.52896	0.0213	0.03172	0.6188	0.01928	0.14179	0.02086	0.42522	0.05069	0.03472	0.42476
AC195454.1	0.00316	0.00057	0.00487	0.00267	0.00015	0	0.00137	0	0.00447	0.00099	0	0.00556	0	0
RBM47	0.37489	0.62986	0.39464	0.01839	0.47599	0.24257	0.0359	0.07918	0.36163	0.64054	0.07575	0.50521	0.01573	0.00996
NSUN7	0.00141	0.0093	0.00319	0.00122	0.02978	0.02421	0	0.00332	0.0011	0.00306	0.00478	0.00418	0	0
APBB2	0.0156	0.00614	0.00451	0.00184	0.04243	0.02572	0.00122	0.23032	0.00542	0.00625	0	0.00849	0.28901	0
UCHL1	0.01418	0.02113	0.01348	0.00573	0.25331	0.09304	0.00967	0.03433	0.01874	0.01706	0.01244	0.01301	0.01327	0
LIMCH1	0.00548	0.00773	0.00674	0.00362	0.16252	0.10742	0.0034	0.04539	0.01181	0.00759	0.00619	0.00739	0.4734	0
TMEM33	0.28323	0.3362	0.23851	0.11645	0.37735	0.17442	0.12926	0.2028	0.30177	0.33018	0.10503	0.28524	0.24163	0.02316
DCAF4L1	0.00528	0.0028	0.00382	0.00198	0.00544	0.00741	0.00136	0.00185	0.00649	0.00511	0.00467	0.00149	0.01758	0
RP11-814H16.2	0	0	0	0.0016	0.00114	0.00127	0	0	0	0	0	0	0	0
SLC30A9	0.09093	0.12284	0.0768	0.03179	0.15199	0.06458	0.04291	0.12948	0.09555	0.13696	0.05867	0.11934	0.10489	0.00625
BEND4	0.00071	0.00019	0.00191	0.0018	6e-05	0.00058	0.00447	0	0	0	0.05974	0	0	0.01106
ATP8A1	0.01749	0.04082	0.03759	0.36612	0.0339	0.03461	0.17358	0.03191	0.08263	0.02416	0.08273	0.01604	0.11883	0.03348
RP11-109E24.2	0.00047	0.00122	0	0.00315	0.00025	0.00071	0.00138	0	0.00244	0.00089	0.00051	0	0	0
RP11-109E24.1	0	0	0	0.00841	3e-05	0	0.00551	0	0.00643	0	0	0	0	0
RP11-663P9.1	0	0	0	0	0.00034	0	0	0	0	0	0	0	0.00935	0
LVCAT1	0.00155	0.00064	0	0	0.04731	0.01915	0	0	0.00106	0.00266	0	0.00195	0	0
GUF1	0.06351	0.09295	0.05511	0.02906	0.12078	0.05377	0.03936	0.06987	0.07846	0.07205	0.02298	0.07104	0.04314	0.0286
GNPDA2	0.02922	0.04772	0.02426	0.05005	0.06682	0.03463	0.07833	0.10501	0.05161	0.04239	0.05055	0.02892	0.07286	0.07138
RP11-700J17.1	0	0	0	0	0.00049	0.00066	0	0	0	0	0	0.00087	0	0
RP11-700J17.2	0	0.00123	0.00148	0.00113	0.00263	0.00133	0.00097	0	0.00179	0.00212	0	0	0	0
GABRG1	0	0	0	0	0.00168	0.00083	0	0.00419	0	0	0	0	0	0
GABRA2	0.00337	8e-04	0.00402	0.00105	0.09534	0.04155	0.00274	0.00839	0.00439	0.00346	0.00595	0.00151	0.05208	0
COX7B2	0.00393	0.00353	0.00538	0.00231	0.12757	0.02283	0.00393	0.00059	0.00684	0.00562	0	0.00287	0	0
GABRB1	0	0.00083	0	0	0.00036	0.00035	0	0.002	0	0	0	0	0.0019	0
COMMD8	0.28786	0.32936	0.34258	0.1669	0.18378	0.05788	0.24378	0.20811	0.42628	0.30849	0.15395	0.38991	0.10402	0.09199
ATP10D	0.09496	0.14861	0.08378	0.07414	0.0382	0.04052	0.05229	0.14259	0.10617	0.1547	0.05545	0.08952	0.0871	0.00625
CORIN	0	0.00031	0.00128	0.00075	0.00086	0.00033	0	0	0	0.00184	0.00329	0	0	0
RP11-121C2.2	0.00253	0.00293	0.01392	0.00291	0.01628	0.01203	0.00068	0.00744	0.00311	0.00203	0.00373	0.00362	0.00991	0.01186
NFXL1	0.02927	0.05126	0.13565	0.02107	0.09166	0.06009	0.02269	0.05955	0.04407	0.02816	0.02811	0.02398	0.03283	0
NIPAL1	0	0.0018	0.00076	3e-04	0.05069	0.02546	0.00133	0.00238	0.00343	9e-04	0	0.00095	0	0
CNGA1	0.00124	0.00135	0.00131	0.00064	0.02771	0.00683	0	0.0228	0.00035	0.00161	0	0.00345	0	0
TXK	0.00401	0.00752	0.00211	0.05135	0.00252	0.00266	0.02223	0.00491	0.01353	0.00333	0.00459	0.00388	0.00351	0.01297
TEC	0.04229	0.05865	0.01592	0.0053	0.01001	0.00771	0.00159	0.00674	0.04742	0.05353	0.01923	0.03747	0	0.02153
SLAIN2	0.20567	0.18287	0.12047	0.11118	0.14012	0.0822	0.14583	0.2391	0.20587	0.17711	0.05934	0.17874	0.1692	0.06446
SLC10A4	0	2e-04	0	0	0.00234	0.00029	0	0.00342	0	0.00071	0	0	0	0
FRYL	0.13086	0.19234	0.14679	0.17847	0.16711	0.15691	0.16358	0.17902	0.251	0.18103	0.14227	0.15503	0.47739	0.13951
OCIAD1	0.3881	0.55386	0.46473	0.29306	1.0481	0.4763	0.46659	0.66956	0.59378	0.54467	0.31079	0.51439	0.58687	0.47194
OCIAD2	0.02139	0.01971	0.03846	0.43336	0.58653	0.2651	0.59202	0.0499	0.17704	0.01085	0.23483	0.02675	0.44749	0.1752
DCUN1D4	0.05419	0.08338	0.03972	0.03346	0.16775	0.14699	0.03591	0.09631	0.05162	0.08245	0.04129	0.04305	0.1071	0.02977
RP11-365H22.2	0.00107	0.00132	0	0.00084	0.00754	0.00635	0	0.00442	0	0.00139	0.00141	0	0	0
LRRC66	0	0	0	0	0.01727	0.01794	0	0	0	0	0	0	0	0
SGCB	0.00189	0.00236	0.0037	0.03025	0.10147	0.04849	0.04446	0.28105	0.02161	0	0.02431	0.0026	0.12993	0
SPATA18	0	0	0	0.00089	0.02647	0.01908	0.0012	0.00974	0	0	0	0	0.00426	0
USP46	0.04379	0.08721	0.02499	0.02821	0.09287	0.04568	0.01748	0.05761	0.04641	0.09563	0.03378	0.0283	0.05652	0.05748
USP46-AS1	0.00335	0.01236	0.00503	0.00227	0.01597	0.00645	0.00358	0.00455	0.0052	0.01392	0.00053	0.00357	0	0
ERVMER34-1	0	0	0	0	0.00312	0.00084	0	0.00153	0.00063	0	0	0	0	0
RASL11B	0.00415	0.00456	0.00065	0.00377	0.00323	0.01075	0	0.01864	0.00685	0.00449	0	0.00758	0.0081	0
SCFD2	0.00872	0.03417	0.0207	0.00846	0.02852	0.01562	0.01234	0.01024	0.03238	0.01696	0.02204	0.01574	0.03498	0.04644
FIP1L1	0.12608	0.16096	0.14696	0.15712	0.2376	0.12743	0.22337	0.1216	0.2347	0.14957	0.16405	0.13389	0.15148	0.13812
LNX1	0.00226	0.00199	0.00077	0.016	0.06403	0.03316	0.01571	0.00533	0.00234	0	0.01222	0.00327	0.00924	0
RP11-571I18.4	0.00074	0.00021	0	0.0011	0.0014	0.00073	0.00094	0	0.00284	0.00154	0	0	0.00628	0
CHIC2	0.16945	0.14583	0.20865	0.24491	0.18311	0.07198	0.26717	0.10811	0.18378	0.15143	0.07214	0.21869	0.28227	0.33567
RP11-571I18.5	0.00148	0.00065	0	0.00101	4e-04	0.00018	0.00097	0	0.00057	0	0	0.00278	0.00551	0
PDGFRA	0.00309	0.00249	0.00137	0.00064	0.05359	0.02983	0.00258	0.04319	0.00231	0.00319	0	0.00086	0.02654	0
KIT	0.00091	0.00093	0.00506	0.03569	0.01008	0.01028	0.00271	0.00445	0.00399	0	0.00497	0.00206	0.04335	1.39444
KDR	0.00046	0	0	0	0.00123	0.00419	0.00096	0	0.00165	0	0	0	0.47029	0
SRD5A3	0.19945	0.19375	0.1179	0.0183	0.43055	0.16687	0.0222	0.16621	0.19292	0.27607	0.00893	0.18636	0.0941	0.06691
RP11-177J6.1	0.00051	5e-04	0	0	0.00097	0.0029	0	0	0.00051	0.00057	0	0	0	0
TMEM165	0.32311	0.42795	0.3912	0.27212	0.40676	0.2703	0.25236	0.78023	0.47901	0.401	0.29391	0.43881	0.61229	0.2044
CLOCK	0.07874	0.15766	0.09019	0.07793	0.13374	0.0834	0.05785	0.20599	0.12234	0.12379	0.08377	0.08867	0.17927	0.04331
RP11-528I4.2	0.00247	0.00101	0.00189	0.00105	6e-04	0	0.00111	0	0.00027	0.00073	0.00092	0	0	0
PDCL2	0.00048	0.00024	0	0	0.00423	0.00118	0	0	0	0	0	0	0	0
NMU	0	0	0	0.00102	0.02842	0.00384	0.00173	0.00865	0.00801	0	0	0	0	0
EXOC1	0.24049	0.20269	0.16694	0.0879	0.177	0.13485	0.13003	0.13855	0.21345	0.21416	0.09582	0.1904	0.27466	0.08016
CEP135	0.09221	0.08801	0.08819	0.07379	0.04015	0.03879	0.09937	0.11965	0.21947	0.10221	0.08268	0.1135	0.08424	0.04044
KIAA1211	0	0.00018	0	0	0.01062	0.01309	0	0.00467	0.00047	0	0	0	0	0
AASDH	0.05333	0.08634	0.05726	0.05712	0.10717	0.07768	0.05104	0.08029	0.10785	0.05763	0.06877	0.06361	0.03962	0.04632
RP11-646I6.5	0.00047	0.00135	0.00167	0.00182	0.00396	0.00295	0	0.01077	0.00042	0.00101	0	0.00156	0	0
PPAT	0.04204	0.06005	0.02903	0.03632	0.16477	0.06252	0.03198	0.03406	0.06503	0.05315	0.02473	0.03527	0.03614	0.02218
RP11-646I6.6	0.00112	0.00017	0.0015	0	0.00155	0.00214	0	0	0	0	0	0	0	0
PAICS	0.15655	0.18152	0.13009	0.03419	0.51581	0.17909	0.08008	0.1843	0.31775	0.13489	0.06046	0.18043	0.17576	0.03334
SRP72	0.37938	0.50597	0.40938	0.20925	0.54516	0.18011	0.25667	0.4381	0.49577	0.43948	0.22737	0.45908	0.34233	0.18699
ARL9	0	0	0	0.00088	0.01251	0.00535	0	0.00182	0	0	0	0	0	0
HOPX	0.00481	0.00759	0.01508	0.26585	0.00839	0.01437	0.05173	0.13162	0.07761	0.00172	0.11529	0.01032	0.03139	0.02948
SPINK2	0.00062	5e-04	0	0.01716	0.00073	4e-04	0.00176	0	0.01103	0	0.00376	0	0.00311	0
REST	0.18141	0.26589	0.16756	0.21089	0.26517	0.1531	0.22428	0.26534	0.26001	0.25868	0.20874	0.21354	0.28511	0.1644
RP11-738E22.3	0.00075	0.00057	0.00065	0.00032	0.00132	0.00084	0	0	0	0	0	0	0	0
NOA1	0.02659	0.05397	0.05046	0.05007	0.16666	0.04658	0.08138	0.0839	0.05917	0.03724	0.02213	0.03258	0.07379	0.04914
POLR2B	0.15424	0.24328	0.2184	0.2534	0.35809	0.22413	0.24085	0.24037	0.29849	0.1978	0.20611	0.17991	0.32273	0.26252
IGFBP7	0.01681	0.03517	0.06866	0.01995	0.0888	0.04663	0.01669	3.59615	0.0938	0.02235	0.02315	0.04899	3.24522	0.01917
RP11-340A13.3	0.00079	0	0	0	0.00102	0	0	0	0	0	0	0	0	0
RP11-622J8.1	0.00145	0.00105	0.00226	0.00045	0.03996	0.02856	0.00247	0.00378	0.00142	0.00477	0	0.00306	0	0
ADGRL3	0.00079	0	0	0	0.00539	0.00395	0	0.09733	0	0	0	0	0	0
RP11-798L4.1	0	0.00061	0	0.00116	0.00108	0.00288	0.0019	0.00513	0	0	0	0.00184	0	0
RP11-12K22.1	0	0	7e-04	0	0.00654	0.00158	0	0	0	0.00104	0	0	0	0
EPHA5-AS1	0	0	0	0	0.00064	0	0.00136	0	0	0	0	0	0	0
RP11-25H12.1	0.00138	0.00026	0	0	0.0081	0.00552	0	0	0	0.00126	0	0	0	0
RP11-19C24.1	0	0	0	0	0.00051	0.00021	0	0	0	0	0	0	0	0
RP11-584P21.2	0	0	0	0.00221	0.00057	0.00128	0	0.00116	0.00113	0	0.00187	6e-04	0	0
CENPC	0.07957	0.12117	0.09129	0.2153	0.10139	0.09856	0.21221	0.12668	0.25805	0.12673	0.14544	0.07252	0.21639	0.08279
