Cluster	Celltype (malignancy)	Celltype (major-lineage)	Celltype (minor-lineage)	Gene	log2FC	Percentage (%)	Adjusted p-value
0	Immune cells	CD8T	CD8Tcm	CCL5	1.86	81.6	0
0	Immune cells	CD8T	CD8Tcm	KLRB1	1.79	80.9	0
0	Immune cells	CD8T	CD8Tcm	LTB	1.66	93.2	0
0	Immune cells	CD8T	CD8Tcm	IL7R	1.58	86.4	0
0	Immune cells	CD8T	CD8Tcm	CD69	1.58	88.3	0
0	Immune cells	CD8T	CD8Tcm	NKG7	1.56	71.8	0
0	Immune cells	CD8T	CD8Tcm	IFNG	1.54	71.8	0
0	Immune cells	CD8T	CD8Tcm	GZMA	1.53	78.7	0
0	Immune cells	CD8T	CD8Tcm	CD2	1.47	90.4	0
0	Immune cells	CD8T	CD8Tcm	TRBC1	1.37	81.4	0
0	Immune cells	CD8T	CD8Tcm	CD3D	1.24	92.2	0
0	Immune cells	CD8T	CD8Tcm	TRAC	1.16	88.3	0
0	Immune cells	CD8T	CD8Tcm	TRBC2	1.08	83.1	0
0	Immune cells	CD8T	CD8Tcm	GZMK	0.98	68.9	0
0	Immune cells	CD8T	CD8Tcm	CRIP1	0.98	79.1	0
0	Immune cells	CD8T	CD8Tcm	XCL2	0.89	65.7	0
0	Immune cells	CD8T	CD8Tcm	ITM2A	0.87	76.7	0
0	Immune cells	CD8T	CD8Tcm	CD40LG	0.87	72.8	0
0	Immune cells	CD8T	CD8Tcm	GZMB	0.85	46.9	0
0	Immune cells	CD8T	CD8Tcm	AC092580.4	0.84	70.1	0
0	Immune cells	CD8T	CD8Tcm	CD7	0.83	76.7	0
0	Immune cells	CD8T	CD8Tcm	GZMH	0.79	58.0	0
0	Immune cells	CD8T	CD8Tcm	ALOX5AP	0.77	77.3	0
0	Immune cells	CD8T	CD8Tcm	XCL1	0.77	64.3	0
0	Immune cells	CD8T	CD8Tcm	SPOCK2	0.67	73.4	0
0	Immune cells	CD8T	CD8Tcm	HOPX	0.65	69.2	0
0	Immune cells	CD8T	CD8Tcm	TNFSF14	0.61	68.2	0
0	Immune cells	CD8T	CD8Tcm	PRF1	0.58	67.5	0
0	Immune cells	CD8T	CD8Tcm	OCIAD2	0.58	71.1	0
0	Immune cells	CD8T	CD8Tcm	KLRC1	0.54	59.9	0
0	Immune cells	CD8T	CD8Tcm	AC006129.2	0.54	68.1	0
0	Immune cells	CD8T	CD8Tcm	CD8A	0.53	63.2	0
0	Immune cells	CD8T	CD8Tcm	TRGC2	0.52	66.9	0
0	Immune cells	CD8T	CD8Tcm	S100A6	0.5	93.5	0
0	Immune cells	CD8T	CD8Tcm	ICOS	0.49	70.1	0
0	Immune cells	CD8T	CD8Tcm	LBH	0.47	69.8	0
0	Immune cells	CD8T	CD8Tcm	TRDC	0.42	45.7	0
0	Immune cells	CD8T	CD8Tcm	TRGC1	0.41	64.8	0
0	Immune cells	CD8T	CD8Tcm	CLIC3	0.39	65.0	0
0	Immune cells	CD8T	CD8Tcm	CCR7	0.37	64.2	0
0	Immune cells	CD8T	CD8Tcm	CD27	0.32	69.5	0
0	Immune cells	CD8T	CD8Tcm	RPL39	0.29	100.0	0
0	Immune cells	CD8T	CD8Tcm	CXCL13	0.28	56.0	0
0	Immune cells	CD8T	CD8Tcm	THY1	-0.32	41.2	0
0	Immune cells	CD8T	CD8Tcm	TKT	-0.67	67.2	0
0	Immune cells	CD8T	CD8Tcm	TGFBI	-0.74	61.7	0
0	Immune cells	CD8T	CD8Tcm	NRP1	-0.79	62.3	0
0	Immune cells	CD8T	CD8Tcm	CHCHD10	-0.83	73.2	0
0	Immune cells	CD8T	CD8Tcm	SCD	-0.85	64.6	0
0	Immune cells	CD8T	CD8Tcm	HMOX1	-0.88	62.3	0
0	Immune cells	CD8T	CD8Tcm	TUBB	-0.88	71.5	0
0	Immune cells	CD8T	CD8Tcm	GATM	-1.03	63.9	0
0	Immune cells	CD8T	CD8Tcm	A2M	-1.11	64.0	0
0	Immune cells	CD8T	CD8Tcm	SOD2	-1.14	69.8	0
0	Immune cells	CD8T	CD8Tcm	BLVRB	-1.21	65.4	0
0	Immune cells	CD8T	CD8Tcm	NEAT1	-1.21	85.9	0
0	Immune cells	CD8T	CD8Tcm	IER3	-1.28	69.1	0
0	Immune cells	CD8T	CD8Tcm	IFITM3	-1.31	71.5	0
0	Immune cells	CD8T	CD8Tcm	HLA-DQB1	-1.38	67.5	0
0	Immune cells	CD8T	CD8Tcm	CD14	-1.59	62.9	0
0	Immune cells	CD8T	CD8Tcm	GPNMB	-1.63	63.4	0
0	Immune cells	CD8T	CD8Tcm	LGMN	-1.63	64.0	0
0	Immune cells	CD8T	CD8Tcm	S100A9	-1.65	67.8	0
0	Immune cells	CD8T	CD8Tcm	FCER1G	-1.69	63.8	0
0	Immune cells	CD8T	CD8Tcm	HLA-DRB1	-1.81	73.8	0
0	Immune cells	CD8T	CD8Tcm	AIF1	-1.84	64.9	0
0	Immune cells	CD8T	CD8Tcm	TYROBP	-1.86	66.3	0
0	Immune cells	CD8T	CD8Tcm	FABP5	-1.95	70.5	0
0	Immune cells	CD8T	CD8Tcm	SEPP1	-2.15	70.4	0
0	Immune cells	CD8T	CD8Tcm	APOC1	-2.22	76.3	0
0	Immune cells	CD8T	CD8Tcm	C1QA	-2.29	65.1	0
0	Immune cells	CD8T	CD8Tcm	HLA-DRA	-2.36	70.5	0
0	Immune cells	CD8T	CD8Tcm	APOE	-2.4	79.6	0
0	Immune cells	CD8T	CD8Tcm	SPP1	-2.72	74.9	0
0	Immune cells	CD8T	CD8Tcm	TUBA1B	-0.81	75.0	3.15e-306
0	Immune cells	CD8T	CD8Tcm	TUBA4A	0.63	71.6	6.42e-300
0	Immune cells	CD8T	CD8Tcm	HLA-DPA1	-1.37	69.3	1.72e-296
0	Immune cells	CD8T	CD8Tcm	GNLY	1.14	58.1	9.16e-296
0	Immune cells	CD8T	CD8Tcm	CXCL2	-1.22	63.9	1.11e-294
0	Immune cells	CD8T	CD8Tcm	TIMP1	-0.73	72.5	6.69e-286
0	Immune cells	CD8T	CD8Tcm	BATF	0.36	70.5	2.66e-281
0	Immune cells	CD8T	CD8Tcm	LYZ	-1.78	64.3	3.27e-281
0	Immune cells	CD8T	CD8Tcm	PLIN2	-0.84	72.3	1.4e-280
0	Immune cells	CD8T	CD8Tcm	PRDX3	-0.47	66.1	3.73e-276
0	Immune cells	CD8T	CD8Tcm	LGALS1	-0.9	85.5	7.79e-274
0	Immune cells	CD8T	CD8Tcm	C1QB	-2.24	65.2	6.73e-272
0	Immune cells	CD8T	CD8Tcm	ICAM1	-0.6	64.1	5.65e-268
0	Immune cells	CD8T	CD8Tcm	COL1A1	-0.38	53.5	7.35e-266
0	Immune cells	CD8T	CD8Tcm	SQSTM1	-0.84	79.8	3.49e-259
0	Immune cells	CD8T	CD8Tcm	SLC40A1	-1.59	64.0	4.43e-256
0	Immune cells	CD8T	CD8Tcm	HLA-DQA1	-1.34	63.3	9.39e-254
0	Immune cells	CD8T	CD8Tcm	BCAT1	-0.58	62.1	3.06e-246
0	Immune cells	CD8T	CD8Tcm	CSF1	0.41	68.4	6.14e-246
0	Immune cells	CD8T	CD8Tcm	STMN1	-0.82	65.1	6.79e-244
0	Immune cells	CD8T	CD8Tcm	TMEM176B	-0.86	64.0	6.43e-241
0	Immune cells	CD8T	CD8Tcm	VEGFA	-0.69	63.4	1.05e-239
0	Immune cells	CD8T	CD8Tcm	IDH1	-0.52	64.0	3.61e-239
0	Immune cells	CD8T	CD8Tcm	CD36	-0.87	59.4	1.06e-238
0	Immune cells	CD8T	CD8Tcm	DUSP4	0.32	66.4	9.42e-238
0	Immune cells	CD8T	CD8Tcm	DDT	-0.75	74.7	5.91e-236
0	Immune cells	CD8T	CD8Tcm	C1QC	-1.61	63.6	1.39e-235
0	Immune cells	CD8T	CD8Tcm	ATP1B1	-0.48	65.1	2.34e-233
0	Immune cells	CD8T	CD8Tcm	MGST2	-0.6	63.6	6.79e-233
0	Immune cells	CD8T	CD8Tcm	RHOB	-0.6	70.3	1.08e-230
0	Immune cells	CD8T	CD8Tcm	ANXA2	-0.48	73.6	5.01e-228
0	Immune cells	CD8T	CD8Tcm	HLA-DPB1	-1.27	68.2	1.14e-227
0	Immune cells	CD8T	CD8Tcm	MS4A7	-1.19	62.7	9.4e-221
0	Immune cells	CD8T	CD8Tcm	PLAC8	0.26	66.1	6.17e-219
0	Immune cells	CD8T	CD8Tcm	SERPINA1	-1.88	90.0	4.49e-218
0	Immune cells	CD8T	CD8Tcm	VTN	-1.59	73.7	4.75e-214
0	Immune cells	CD8T	CD8Tcm	TMEM176A	-0.86	64.3	9.14e-202
0	Immune cells	CD8T	CD8Tcm	PDIA4	-0.45	65.2	3.04e-201
0	Immune cells	CD8T	CD8Tcm	PRDX5	-0.41	73.1	4.46e-201
0	Immune cells	CD8T	CD8Tcm	APOA1	-1.87	78.0	2.38e-200
0	Immune cells	CD8T	CD8Tcm	KDELR2	-0.5	68.8	2.77e-199
0	Immune cells	CD8T	CD8Tcm	SGK1	-1.04	65.7	1.77e-197
0	Immune cells	CD8T	CD8Tcm	CD163	-0.91	61.5	7.4e-197
0	Immune cells	CD8T	CD8Tcm	CXCL8	-1.56	65.8	1.13e-194
0	Immune cells	CD8T	CD8Tcm	IGHA1	-0.56	63.7	5.98e-194
0	Immune cells	CD8T	CD8Tcm	RNASE6	-0.76	53.6	2.59e-193
0	Immune cells	CD8T	CD8Tcm	CYBB	-1.07	59.1	4.47e-193
0	Immune cells	CD8T	CD8Tcm	NTS	-1.52	74.5	6.8e-187
0	Immune cells	CD8T	CD8Tcm	ADAP2	-0.63	44.2	3.72e-186
0	Immune cells	CD8T	CD8Tcm	ASPH	-0.8	64.2	4.5e-182
0	Immune cells	CD8T	CD8Tcm	BNIP3	-0.56	65.0	1.16e-178
0	Immune cells	CD8T	CD8Tcm	CSTA	-0.62	62.8	1.79e-178
0	Immune cells	CD8T	CD8Tcm	IFI27	-0.3	63.4	1.55e-176
0	Immune cells	CD8T	CD8Tcm	RBM47	-0.47	59.5	3.24e-176
0	Immune cells	CD8T	CD8Tcm	TRAM1	-0.39	70.4	2.69e-175
0	Immune cells	CD8T	CD8Tcm	MS4A6A	-1.34	63.6	2.51e-174
0	Immune cells	CD8T	CD8Tcm	BIRC3	0.53	73.9	1.64e-173
0	Immune cells	CD8T	CD8Tcm	TF	-1.46	72.2	7.27e-172
0	Immune cells	CD8T	CD8Tcm	IGHG4	-3.02	62.9	1.08e-170
0	Immune cells	CD8T	CD8Tcm	IGFBP7	-1.03	57.6	2.35e-168
0	Immune cells	CD8T	CD8Tcm	IGHG1	-3.46	62.9	4.46e-167
0	Immune cells	CD8T	CD8Tcm	PRDX4	-0.65	66.1	1.83e-165
0	Immune cells	CD8T	CD8Tcm	LY96	-0.75	64.2	8.04e-165
0	Immune cells	CD8T	CD8Tcm	SLC25A5	-0.36	74.2	1.32e-164
0	Immune cells	CD8T	CD8Tcm	MAFB	-1.01	63.1	5.96e-164
0	Immune cells	CD8T	CD8Tcm	FCGR2A	-0.84	61.8	1.95e-163
0	Immune cells	CD8T	CD8Tcm	CFHR1	-0.39	25.7	2.15e-160
0	Immune cells	CD8T	CD8Tcm	SLIRP	-0.41	69.2	3.97e-159
0	Immune cells	CD8T	CD8Tcm	NDUFB5	-0.3	69.2	5.48e-159
0	Immune cells	CD8T	CD8Tcm	ATP5G1	-0.52	69.4	8.23e-158
0	Immune cells	CD8T	CD8Tcm	SEC61G	-0.33	81.3	8.3e-157
0	Immune cells	CD8T	CD8Tcm	KLRD1	0.65	31.9	2.81e-155
0	Immune cells	CD8T	CD8Tcm	AHSG	-1.64	74.5	3.93e-155
0	Immune cells	CD8T	CD8Tcm	IGHM	-0.67	55.0	1.01e-154
0	Immune cells	CD8T	CD8Tcm	MSR1	-0.88	57.5	7.86e-150
0	Immune cells	CD8T	CD8Tcm	CCL3	-0.92	66.8	2.72e-149
0	Immune cells	CD8T	CD8Tcm	JCHAIN	-0.37	47.6	1.16e-147
0	Immune cells	CD8T	CD8Tcm	TUBA1C	-0.38	66.9	6.95e-146
0	Immune cells	CD8T	CD8Tcm	EGR1	-0.82	66.8	1.75e-145
0	Immune cells	CD8T	CD8Tcm	MS4A4A	-0.87	55.7	9.82e-145
0	Immune cells	CD8T	CD8Tcm	ACSL4	-0.46	65.7	1.09e-140
0	Immune cells	CD8T	CD8Tcm	RPL22L1	-0.89	77.5	5.29e-140
0	Immune cells	CD8T	CD8Tcm	MPEG1	-0.74	53.9	2.33e-139
0	Immune cells	CD8T	CD8Tcm	FGL2	-0.97	64.0	2.34e-139
0	Immune cells	CD8T	CD8Tcm	AFP	-1.37	74.8	3.77e-139
0	Immune cells	CD8T	CD8Tcm	CYC1	-0.42	66.8	9.91e-139
0	Immune cells	CD8T	CD8Tcm	KCTD12	-0.83	62.7	1.31e-138
0	Immune cells	CD8T	CD8Tcm	RDX	-0.41	65.1	1.74e-137
0	Immune cells	CD8T	CD8Tcm	ECHS1	-0.3	66.6	1.66e-136
0	Immune cells	CD8T	CD8Tcm	DNPH1	-0.36	69.5	9.69e-136
0	Immune cells	CD8T	CD8Tcm	LYPLA1	-0.41	66.8	2.8e-135
0	Immune cells	CD8T	CD8Tcm	SERPING1	-0.65	62.4	1.26e-132
0	Immune cells	CD8T	CD8Tcm	CPB2	-0.25	22.9	2.07e-130
0	Immune cells	CD8T	CD8Tcm	FCGR3A	-0.81	61.4	1.08e-129
0	Immune cells	CD8T	CD8Tcm	ETFB	-0.44	69.6	2.26e-129
0	Immune cells	CD8T	CD8Tcm	RAB11FIP1	0.47	72.8	3.28e-129
0	Immune cells	CD8T	CD8Tcm	PRCP	-0.3	64.2	5.54e-129
0	Immune cells	CD8T	CD8Tcm	PCBD1	-0.37	65.1	6.05e-129
0	Immune cells	CD8T	CD8Tcm	RNASE1	-1.79	64.1	2.98e-127
0	Immune cells	CD8T	CD8Tcm	MTCH2	-0.35	65.1	1.05e-126
0	Immune cells	CD8T	CD8Tcm	COX7B	-0.27	80.1	5.71e-126
0	Immune cells	CD8T	CD8Tcm	SPINK1	-1.47	77.6	9.16e-125
0	Immune cells	CD8T	CD8Tcm	APOM	-1.47	68.9	1.2e-124
0	Immune cells	CD8T	CD8Tcm	STAB1	-0.84	62.3	1.34e-124
0	Immune cells	CD8T	CD8Tcm	PLEK	-0.71	65.3	5e-123
0	Immune cells	CD8T	CD8Tcm	INSR	-0.29	22.2	2.19e-119
0	Immune cells	CD8T	CD8Tcm	SPI1	-0.65	60.6	2.41e-118
0	Immune cells	CD8T	CD8Tcm	ATF5	-0.5	63.8	5.66e-118
0	Immune cells	CD8T	CD8Tcm	TMEM37	-0.32	43.5	6.55e-118
0	Immune cells	CD8T	CD8Tcm	ANXA4	-0.38	64.9	1.02e-117
0	Immune cells	CD8T	CD8Tcm	PEBP1	-0.29	74.3	2.05e-116
0	Immune cells	CD8T	CD8Tcm	FABP1	-1.57	76.8	4.67e-114
0	Immune cells	CD8T	CD8Tcm	C11orf96	-0.29	60.4	5.67e-113
0	Immune cells	CD8T	CD8Tcm	CD83	-0.54	66.6	8.83e-113
0	Immune cells	CD8T	CD8Tcm	TCEB1	-0.36	70.3	3.17e-110
0	Immune cells	CD8T	CD8Tcm	ADI1	-0.31	67.1	1.56e-109
0	Immune cells	CD8T	CD8Tcm	NME1	-0.5	67.2	1.86e-108
0	Immune cells	CD8T	CD8Tcm	COL4A1	-0.39	43.7	2.27e-108
0	Immune cells	CD8T	CD8Tcm	CD9	-0.88	63.5	6.22e-108
0	Immune cells	CD8T	CD8Tcm	PPIC	-0.27	32.2	6.46e-108
0	Immune cells	CD8T	CD8Tcm	TMEM45B	-0.25	24.8	9.34e-108
0	Immune cells	CD8T	CD8Tcm	MSRB2	-0.38	64.6	2.17e-106
0	Immune cells	CD8T	CD8Tcm	COL5A2	-0.27	31.7	3.67e-104
0	Immune cells	CD8T	CD8Tcm	FOLR2	-0.89	53.9	1.82e-103
0	Immune cells	CD8T	CD8Tcm	AK4	-0.39	52.9	1.24e-99
0	Immune cells	CD8T	CD8Tcm	MEF2C	-0.65	59.2	2.42e-98
0	Immune cells	CD8T	CD8Tcm	PRDX6	-0.32	69.6	6.42e-97
0	Immune cells	CD8T	CD8Tcm	IGLC2	-1.52	65.8	1.17e-96
0	Immune cells	CD8T	CD8Tcm	UQCC2	-0.27	68.4	1.25e-96
0	Immune cells	CD8T	CD8Tcm	CD151	-0.42	65.1	8.94e-95
0	Immune cells	CD8T	CD8Tcm	METTL7A	-0.36	60.8	9.6e-95
0	Immune cells	CD8T	CD8Tcm	IL1B	-1.56	63.9	1.9e-94
0	Immune cells	CD8T	CD8Tcm	DUSP6	-0.5	65.1	2.02e-94
0	Immune cells	CD8T	CD8Tcm	RP11-160E2.6	-0.3	65.2	1.27e-92
0	Immune cells	CD8T	CD8Tcm	CPVL	-0.67	54.6	1.35e-92
0	Immune cells	CD8T	CD8Tcm	TFPI	-1.2	66.1	2.13e-91
0	Immune cells	CD8T	CD8Tcm	TNF	0.31	68.0	9.6e-91
0	Immune cells	CD8T	CD8Tcm	NDUFB9	-0.32	69.4	3.54e-90
0	Immune cells	CD8T	CD8Tcm	LGALS3	-0.81	71.1	1.43e-89
0	Immune cells	CD8T	CD8Tcm	MRC1	-0.85	60.7	3.58e-89
0	Immune cells	CD8T	CD8Tcm	C15orf48	-1.04	60.2	3.71e-87
0	Immune cells	CD8T	CD8Tcm	SLC38A1	0.33	69.9	1.36e-86
0	Immune cells	CD8T	CD8Tcm	FAM213A	-0.34	60.3	7e-85
0	Immune cells	CD8T	CD8Tcm	IFI6	-0.33	66.9	8.12e-85
0	Immune cells	CD8T	CD8Tcm	A1BG	-0.42	68.1	6.73e-84
0	Immune cells	CD8T	CD8Tcm	KYNU	-0.37	62.5	7.81e-83
0	Immune cells	CD8T	CD8Tcm	MRPL15	-0.32	64.6	1.44e-82
0	Immune cells	CD8T	CD8Tcm	NUPR1	-0.77	62.9	1.23e-81
0	Immune cells	CD8T	CD8Tcm	TTR	-1.38	68.9	1.89e-80
0	Immune cells	CD8T	CD8Tcm	MRPL12	-0.31	64.3	1.74e-79
0	Immune cells	CD8T	CD8Tcm	AMBP	-1.48	70.0	1.87e-79
0	Immune cells	CD8T	CD8Tcm	AKR1C1	-1.26	72.3	3.27e-79
0	Immune cells	CD8T	CD8Tcm	CSF1R	-0.66	59.1	3.94e-79
0	Immune cells	CD8T	CD8Tcm	NR2F2	-0.31	25.4	1.14e-78
0	Immune cells	CD8T	CD8Tcm	ENPP2	-0.36	61.5	2.35e-78
0	Immune cells	CD8T	CD8Tcm	COX7A2L	-0.25	72.7	4.39e-78
0	Immune cells	CD8T	CD8Tcm	TNFAIP2	-0.45	56.3	5.28e-78
0	Immune cells	CD8T	CD8Tcm	SCCPDH	-0.41	63.2	8.48e-77
0	Immune cells	CD8T	CD8Tcm	NPM1	-0.28	86.8	1.57e-76
0	Immune cells	CD8T	CD8Tcm	ITGAV	-0.35	63.3	3.02e-76
0	Immune cells	CD8T	CD8Tcm	SLC22A18	-0.51	63.5	4.4e-75
0	Immune cells	CD8T	CD8Tcm	RASSF4	-0.37	53.5	2.23e-73
0	Immune cells	CD8T	CD8Tcm	SMARCA1	-0.27	33.2	2.01e-72
0	Immune cells	CD8T	CD8Tcm	RBP4	-1.38	66.6	2.19e-72
0	Immune cells	CD8T	CD8Tcm	POLR2F	-0.32	67.7	2.82e-72
0	Immune cells	CD8T	CD8Tcm	AGT	-1.28	68.4	2.73e-71
0	Immune cells	CD8T	CD8Tcm	PLAUR	-0.65	64.2	1.38e-70
0	Immune cells	CD8T	CD8Tcm	TXNRD1	-0.29	64.9	1.42e-70
0	Immune cells	CD8T	CD8Tcm	MT1G	-0.48	51.5	2.56e-70
0	Immune cells	CD8T	CD8Tcm	KLF4	-0.62	63.2	1.89e-69
0	Immune cells	CD8T	CD8Tcm	TMEM205	-0.39	65.1	2.69e-69
0	Immune cells	CD8T	CD8Tcm	RCN1	-0.48	63.1	4.1e-69
0	Immune cells	CD8T	CD8Tcm	FOS	0.33	94.8	4.37e-68
0	Immune cells	CD8T	CD8Tcm	CYB5A	-0.47	65.7	5.15e-67
0	Immune cells	CD8T	CD8Tcm	CYSTM1	-0.29	64.9	2.38e-64
0	Immune cells	CD8T	CD8Tcm	MPST	-0.53	65.7	6.76e-63
0	Immune cells	CD8T	CD8Tcm	F13A1	-0.63	43.7	1.49e-62
0	Immune cells	CD8T	CD8Tcm	ACP5	-0.53	64.8	3.33e-62
0	Immune cells	CD8T	CD8Tcm	YIF1A	-0.33	65.8	6.57e-62
0	Immune cells	CD8T	CD8Tcm	CHPT1	-0.27	64.2	1.54e-61
0	Immune cells	CD8T	CD8Tcm	SLC17A3	-0.25	31.4	2.11e-61
0	Immune cells	CD8T	CD8Tcm	PSMB5	-0.4	65.8	2.35e-61
0	Immune cells	CD8T	CD8Tcm	COL4A2	-0.37	33.1	1.24e-60
0	Immune cells	CD8T	CD8Tcm	C12orf75	0.31	68.6	1.55e-60
0	Immune cells	CD8T	CD8Tcm	CPE	-0.26	16.8	2.53e-60
0	Immune cells	CD8T	CD8Tcm	H2AFZ	-0.29	77.0	6.34e-60
0	Immune cells	CD8T	CD8Tcm	FDPS	-0.38	68.5	5.62e-59
0	Immune cells	CD8T	CD8Tcm	TMEM141	-0.34	66.2	7.97e-59
0	Immune cells	CD8T	CD8Tcm	CLU	-1.17	67.6	3.92e-58
0	Immune cells	CD8T	CD8Tcm	SDC2	-0.4	56.9	9.9e-57
0	Immune cells	CD8T	CD8Tcm	HPGDS	-0.26	48.0	2.12e-56
0	Immune cells	CD8T	CD8Tcm	MPC2	-0.27	70.7	3.63e-56
0	Immune cells	CD8T	CD8Tcm	ASGR1	-0.71	63.4	5.01e-56
0	Immune cells	CD8T	CD8Tcm	HTATIP2	-0.3	64.6	1.14e-55
0	Immune cells	CD8T	CD8Tcm	COA3	-0.27	66.1	7.41e-54
0	Immune cells	CD8T	CD8Tcm	GOLIM4	-0.29	62.5	1.14e-53
0	Immune cells	CD8T	CD8Tcm	APOB	-1.31	67.1	1.42e-53
0	Immune cells	CD8T	CD8Tcm	PLA2G7	-0.64	59.4	3.14e-53
0	Immune cells	CD8T	CD8Tcm	FPR3	-0.57	59.1	2.84e-52
0	Immune cells	CD8T	CD8Tcm	STEAP1	-0.32	39.0	9.2e-52
0	Immune cells	CD8T	CD8Tcm	CFH	-0.95	66.9	3.96e-51
0	Immune cells	CD8T	CD8Tcm	G0S2	-0.61	61.9	4.3e-51
0	Immune cells	CD8T	CD8Tcm	PLOD2	-0.33	45.6	2.84e-50
0	Immune cells	CD8T	CD8Tcm	C1orf54	-0.55	60.5	3.06e-49
0	Immune cells	CD8T	CD8Tcm	RGS5	-0.68	39.5	7.83e-49
0	Immune cells	CD8T	CD8Tcm	CD86	-0.5	59.8	2.95e-48
0	Immune cells	CD8T	CD8Tcm	MGST1	-0.94	64.8	4.03e-48
0	Immune cells	CD8T	CD8Tcm	ANGPTL8	-1.02	64.4	6.82e-48
0	Immune cells	CD8T	CD8Tcm	AKR1C3	-1.06	68.9	1.69e-47
0	Immune cells	CD8T	CD8Tcm	SHMT2	-0.33	64.9	4.37e-47
0	Immune cells	CD8T	CD8Tcm	SPARC	-0.78	44.0	2.24e-46
0	Immune cells	CD8T	CD8Tcm	SOX4	-0.52	62.4	3.7e-46
0	Immune cells	CD8T	CD8Tcm	PRAP1	-0.92	65.5	5.4e-46
0	Immune cells	CD8T	CD8Tcm	HGF	-0.25	47.1	7.94e-46
0	Immune cells	CD8T	CD8Tcm	AQP3	0.26	67.4	1.22e-45
0	Immune cells	CD8T	CD8Tcm	CLEC10A	-0.35	30.5	1.28e-45
0	Immune cells	CD8T	CD8Tcm	PMP22	-0.28	35.4	3.81e-45
0	Immune cells	CD8T	CD8Tcm	H1F0	-0.33	61.6	4.72e-45
0	Immune cells	CD8T	CD8Tcm	CNPY2	-0.28	67.3	1.47e-44
0	Immune cells	CD8T	CD8Tcm	PON2	-0.52	63.2	1.01e-43
0	Immune cells	CD8T	CD8Tcm	MMP12	-1.83	64.2	1.49e-43
0	Immune cells	CD8T	CD8Tcm	ALDH1A1	-0.59	58.2	2.13e-43
0	Immune cells	CD8T	CD8Tcm	ALB	-1.87	95.7	4.13e-43
0	Immune cells	CD8T	CD8Tcm	PROS1	-0.4	55.9	6.26e-43
0	Immune cells	CD8T	CD8Tcm	RARRES2	-0.95	64.8	8.25e-43
0	Immune cells	CD8T	CD8Tcm	SLC9A3R1	0.3	68.9	4.75e-42
0	Immune cells	CD8T	CD8Tcm	PTGR1	-0.31	38.6	1.37e-41
0	Immune cells	CD8T	CD8Tcm	PKIB	-0.33	47.8	3.29e-41
0	Immune cells	CD8T	CD8Tcm	ACOT13	-0.27	65.1	4.03e-41
0	Immune cells	CD8T	CD8Tcm	FGFBP2	0.29	22.3	6.62e-41
0	Immune cells	CD8T	CD8Tcm	GPC3	-1.0	66.4	1.17e-40
0	Immune cells	CD8T	CD8Tcm	MTTP	-0.28	37.7	1.24e-40
0	Immune cells	CD8T	CD8Tcm	CCL3L3	-0.82	63.6	1.35e-40
0	Immune cells	CD8T	CD8Tcm	COL1A2	-0.39	30.9	2.21e-40
0	Immune cells	CD8T	CD8Tcm	GPX3	-0.51	62.7	2.55e-40
0	Immune cells	CD8T	CD8Tcm	VSIG4	-0.36	40.4	3.15e-40
0	Immune cells	CD8T	CD8Tcm	RB1CC1	-0.28	65.8	2.74e-39
0	Immune cells	CD8T	CD8Tcm	APOH	-1.15	66.6	7.05e-38
0	Immune cells	CD8T	CD8Tcm	BASP1	-0.59	60.3	8.57e-38
0	Immune cells	CD8T	CD8Tcm	NGFRAP1	-0.5	64.3	2.1e-37
0	Immune cells	CD8T	CD8Tcm	TM4SF5	-1.0	65.0	2.23e-37
0	Immune cells	CD8T	CD8Tcm	FAM46A	-0.49	63.8	2.33e-37
0	Immune cells	CD8T	CD8Tcm	HSPA6	0.86	74.1	6.17e-37
0	Immune cells	CD8T	CD8Tcm	QPRT	-0.35	58.8	2.53e-36
0	Immune cells	CD8T	CD8Tcm	DNAJB4	0.38	75.3	4.85e-36
0	Immune cells	CD8T	CD8Tcm	PROC	-0.51	54.9	3.57e-35
0	Immune cells	CD8T	CD8Tcm	AZGP1	-0.32	34.4	3.65e-35
0	Immune cells	CD8T	CD8Tcm	FGB	-0.87	64.9	5.77e-35
0	Immune cells	CD8T	CD8Tcm	PAICS	-0.26	62.4	1.18e-34
0	Immune cells	CD8T	CD8Tcm	CP	-1.2	65.4	1.25e-34
0	Immune cells	CD8T	CD8Tcm	GDF15	-0.65	63.5	8.39e-34
0	Immune cells	CD8T	CD8Tcm	MMP9	-1.07	63.3	9.54e-34
0	Immune cells	CD8T	CD8Tcm	LRG1	-0.5	54.8	2.66e-33
0	Immune cells	CD8T	CD8Tcm	C5AR1	-0.64	57.1	7.81e-32
0	Immune cells	CD8T	CD8Tcm	LGALS2	-0.32	33.7	1.15e-31
0	Immune cells	CD8T	CD8Tcm	C1orf162	-0.49	66.1	1.19e-31
0	Immune cells	CD8T	CD8Tcm	BCHE	-0.79	63.1	1.41e-31
0	Immune cells	CD8T	CD8Tcm	ETS2	-0.35	62.8	4e-31
0	Immune cells	CD8T	CD8Tcm	TFR2	-0.27	42.6	1.92e-30
0	Immune cells	CD8T	CD8Tcm	MTHFD2L	-0.34	64.2	1.4e-29
0	Immune cells	CD8T	CD8Tcm	RND3	-0.38	52.9	1.46e-29
0	Immune cells	CD8T	CD8Tcm	LAPTM4B	-0.72	65.3	2.02e-29
