DC	Mono/Macro	CD8T	Malignant	Epithelial	Treg	Fibroblasts	Tprolif	B	Endothelial	Mast
SZT2-AS1	0	0	0	0.00097	0.00247	0	0	0	0	0	0
HYI	0.09459	0.093	0.03639	0.23738	0.10089	0.07529	0.20376	0.22264	0.05345	0.11984	0.1397
HYI-AS1	0.00076	0.00024	0.00022	0.00047	0.00062	0	0	5e-04	0	0	0
PTPRF	0.01459	0.0121	0.01692	0.54458	0.40849	0.01414	0.03927	0.01495	0.00387	0.03716	0.01241
KDM4A	0.0241	0.04515	0.02308	0.05861	0.0355	0.03835	0.04107	0.05728	0.03586	0.05532	0.02102
KDM4A-AS1	0.00178	0.00198	0.00303	0.00585	0.00618	0.00281	0.00262	0.00418	0.00786	0	0
ST3GAL3	0.01115	0.01079	0.00806	0.02019	0.01325	0.00572	0.03386	0.02169	0.0045	0.03147	0.08179
ARTN	0.00114	0.00051	0.00028	0.01079	0.00826	0.00107	0.08307	0.00104	0.00085	0	0
RP11-7O11.3	0.00236	0.00077	0.00051	0.00558	0.00059	0.00303	0.00282	0.00119	0	0	0
IPO13	0.03143	0.04343	0.01013	0.04038	0.02772	0.00778	0.04162	0.04191	0.00944	0.02816	0
DPH2	0.02216	0.02133	0.0136	0.07623	0.03766	0.02341	0.03963	0.02612	0.0301	0.04843	0
ATP6V0B	1.1203	1.24621	0.30858	1.16025	0.56147	0.44742	0.74332	1.20326	0.53168	0.53513	0.77515
B4GALT2	0.02987	0.02073	0.00517	0.17951	0.07328	0.00734	0.11744	0.03095	0.00394	0.05759	0
CCDC24	0.01303	0.01478	0.0039	0.07457	0.03231	0.00249	0.01983	0.01058	0.01352	0.01356	0
SLC6A9	0.00134	0.00049	0	0.0165	0.01361	0.0028	0.04362	0.00213	0.00222	0	0
RP5-1198O20.4	0.00208	0.00053	0.00027	0.00291	8e-04	0.00147	0.0045	0.00177	0	0	0
DMAP1	0.07593	0.08927	0.08468	0.17296	0.09857	0.1301	0.10784	0.1539	0.0763	0.07961	0.03577
ERI3	0.10827	0.11792	0.04002	0.25646	0.08009	0.0685	0.17898	0.15811	0.04872	0.12895	0.03958
RNF220	0.09425	0.1183	0.0784	0.20046	0.13763	0.08526	0.1133	0.15041	0.06719	0.11476	0.02905
TMEM53	0.07472	0.08433	0.01192	0.20488	0.04931	0.02525	0.05963	0.07107	0.0068	0.0282	0
C1orf228	0.02353	0.02955	0.03374	0.00792	0.01604	0.04475	0.00692	0.04718	0.0131	0.00451	0.30563
KIF2C	0.01284	0.00366	0.00321	0.0318	0.01514	0.00211	0.01994	0.4154	0.00093	0	0.00826
RP11-269F19.2	0.00072	0.00026	0	0.00045	0.00023	0	0	0	0.00618	0	0
RPS8	3.0756	3.25161	3.24289	3.57142	2.25469	3.57877	3.54742	3.32014	3.58885	3.00998	3.59777
BEST4	0.00034	0	0.00093	0.00157	0.00118	0.00759	0	0.00145	0.00268	0	0
PLK3	0.27824	0.21511	0.57442	0.14819	0.14728	0.34142	0.19711	0.26906	0.26658	0.43942	0.5005
TCTEX1D4	0.00497	0.00188	0.00218	0.00631	0.00229	0	0	0.00195	0	0	0
BTBD19	0.03333	0.02095	0.03943	0.01521	0.01552	0.01317	0.02913	0.01999	0.01247	0.11002	0.02115
PTCH2	0.0705	0.05493	0.0186	0.00661	0.02475	0.00846	0.03646	0.04614	0.02146	0.01314	0.00921
EIF2B3	0.06607	0.08106	0.02885	0.17638	0.0534	0.02977	0.09015	0.1024	0.03978	0.07942	0.0597
HECTD3	0.06342	0.0788	0.02419	0.05452	0.03785	0.03377	0.07312	0.06515	0.01965	0.047	0.05071
UROD	0.14439	0.18332	0.0441	0.34315	0.11333	0.07528	0.21257	0.20447	0.04433	0.14269	0.04671
ZSWIM5	0.00112	0	0.00175	0.03186	0.01508	0.00133	0.0029	0.00301	0.00315	0	0
LINC01144	0.00019	0.00079	0.00051	0.00232	0.0037	0.00366	0.00553	0.00048	0	0	0
HPDL	0.00087	0.00024	0.00106	0.01041	0.00211	0.0012	0.00126	0.00326	0.00153	0	0
MUTYH	0.0219	0.02318	0.03271	0.05001	0.02524	0.02902	0.02297	0.05942	0.02714	0.04853	0.02218
TOE1	0.0244	0.03012	0.05358	0.06055	0.03188	0.03191	0.04766	0.06109	0.04708	0.03202	0.02294
TESK2	0.16891	0.04872	0.01232	0.02225	0.01701	0.0207	0.02511	0.07405	0.04452	0.01195	0.02415
CCDC163P	0.00391	0.00202	0.00515	0.01074	0.00665	0.00138	0.00397	0.01405	0.01256	0.02184	0
MMACHC	0.00598	0.00934	0.00547	0.0304	0.01472	0.00535	0.02042	0.01261	0.01294	0.00831	0.0215
PRDX1	2.07906	1.95318	0.81397	2.29892	1.05625	1.24316	1.3641	1.83094	0.90237	1.31104	1.83079
AKR1A1	0.67147	0.81849	0.12119	0.78477	0.29546	0.22303	0.44115	0.78031	0.27147	0.25237	0.31046
NASP	0.36553	0.30209	0.56038	0.53155	0.26393	0.48705	0.44706	0.88295	0.41928	0.54918	0.30369
CCDC17	0.00501	0.00351	0.00179	0.01545	0.01617	0.00302	0.0088	0.00439	0.00251	0.00608	0.00893
GPBP1L1	0.21199	0.22583	0.15255	0.29598	0.19466	0.19827	0.16275	0.25294	0.13776	0.26314	0.12251
TMEM69	0.10556	0.12091	0.03883	0.19511	0.0813	0.05883	0.09307	0.12875	0.04719	0.05787	0.01998
IPP	0.01221	0.00846	0.02273	0.07494	0.05132	0.03075	0.04172	0.02572	0.01488	0.02172	0
MAST2	0.0308	0.0241	0.01593	0.05137	0.04997	0.00202	0.04473	0.05083	0.01033	0.04155	0.02759
PIK3R3	0.02574	0.08022	0.02945	0.0094	0.03433	0.02273	0.11057	0.05555	0.01452	0.51181	0.03373
RP4-533D7.5	0.00035	0.00037	0.00035	9e-04	0	0.00297	0	0.00071	5e-04	0	0
TSPAN1	0.00074	0.00172	0.02221	0.47922	0.28632	0.01297	0.00822	0.00587	0.02109	0.02325	0.03532
POMGNT1	0.03418	0.03684	0.01867	0.13883	0.08701	0.04277	0.103	0.04355	0.0204	0.12442	0.02274
LURAP1	0.00285	0.00419	0.00053	0.00417	0.00305	0.0027	0.02785	0.00126	0	0.01362	0
RAD54L	0.00977	0.00165	0.00052	0.00854	0.01045	0	0.00578	0.04564	0	0	0
LRRC41	0.10651	0.11279	0.06359	0.17294	0.09356	0.07309	0.15052	0.10848	0.06373	0.12742	0.06589
UQCRH	1.20976	1.25334	0.72008	1.85363	0.80252	1.05955	1.54021	1.54686	1.01631	0.94314	1.0614
NSUN4	0.05177	0.05759	0.03734	0.09624	0.0663	0.03276	0.06387	0.06242	0.04651	0.065	0.02373
FAAH	0.00458	0.00662	0.0039	0.05377	0.03844	0.00175	0.00457	0.006	0.00056	0	0
DMBX1	0.00073	0	0	0.00106	0.00046	0	0	0	0	0	0
MKNK1	0.37099	0.43882	0.1079	0.10914	0.08902	0.13932	0.14986	0.32041	0.06873	0.10506	0.08019
MOB3C	0.05686	0.09177	0.02893	0.02604	0.01924	0.02863	0.06746	0.05526	0.03408	0.04266	0.00943
ATPAF1	0.09916	0.10022	0.03732	0.21381	0.06067	0.08178	0.11341	0.16295	0.02712	0.0444	0.01219
TEX38	0	0	0.00063	0.00039	0.00057	0	0	0	0	0	0.01122
EFCAB14	0.33341	0.35425	0.12603	0.31244	0.18021	0.15758	0.24949	0.33257	0.10114	0.34507	0.07606
CYP4B1	0	0	0	0.00164	0.00117	0	0	0	0	0	0
CYP4A11	0.00406	0.00359	0.00112	0.06903	0.0376	0.00125	0.00306	0.00085	0.00234	0	0
CYP4X1	0	0.00053	0.00014	0.00797	0.00501	0	0.04228	0	0	0	0
CYP4A22-AS1	0	0.00053	0.00038	0.00315	0.00774	0	0.00175	0.00146	0	0	0
CYP4A22	5e-04	0.00035	0.00032	0.01371	0.00506	0	0	0	0	0	0
LINC00853	0.00197	0.00283	0.00028	0.02334	0.00686	0.00129	0.00413	0.0033	0	0	0
PDZK1IP1	0.00209	0.00151	0.02226	0.46229	0.25308	0.01257	0	0.00493	0.01166	0.03201	0.01986
TAL1	0.00025	0	0	0.00015	0.00079	0	0.00095	0	0.00479	0.14596	0.09423
STIL	0.01756	0.00844	0.00726	0.02997	0.01787	0.00276	0.01837	0.18056	0.00058	0.00723	0
CMPK1	0.53122	0.47022	0.31089	0.9272	0.4137	0.34037	0.48155	0.53992	0.30354	0.41754	0.43619
LINC01389	0	0	0	9e-04	0.00035	0	0	0.00091	0	0	0
FOXD2-AS1	0.01187	0.00634	0.00306	0.01457	0.00662	0.00521	0.00474	0.01071	0.00445	0.00214	0
FOXD2	0.00317	0.00404	0.00613	0.01823	0.01546	0.00504	0.00829	0.00456	0.00252	0.00901	0
TRABD2B	0.00175	0.00153	0	0.05315	0.03333	0.00334	0.02466	0.00295	0	0.02911	0.02013
SLC5A9	0.00277	0.00276	4e-04	0.03697	0.05408	0.00506	0	0.00552	0	0.00657	0
RP5-1024N4.4	0.00046	0.00043	0	0.00067	0.00139	0	0.00545	0	0	0	0
SPATA6	0.02242	0.0382	0.00648	0.04065	0.03545	0	0.07823	0.04268	0.01057	0.08052	0.02259
AGBL4	0	0.00043	0	0.00166	0.00146	0	0	0	0	0	0
BEND5	0.00569	0.00305	0.00095	0.0012	0.00442	0.0025	0.01443	0.00571	0.02021	0.02753	0.03033
ELAVL4	0.04507	0.04446	0.00055	0.01959	0.01836	0	0.00864	0.03818	0.00408	0	0
RP11-567C20.2	0.00017	0.00017	0	0.00195	0.00064	0	0	0	0	0	0
DMRTA2	0	0	0	0.001	0	0	0	0	0	0	0
FAF1	0.09494	0.08546	0.0797	0.1308	0.0604	0.15757	0.08902	0.2302	0.05646	0.06027	0.05931
CDKN2C	0.06321	0.06758	0.09966	0.04573	0.02553	0.14053	0.16845	0.50074	0.05157	0.02421	0.0228
LINC01562	0.00021	0.00046	0.00102	0.00106	4e-04	0	0	0	0	0	0
RNF11	0.19695	0.1482	0.12923	0.2155	0.10062	0.119	0.28107	0.15617	0.11183	0.35196	0.33701
TTC39A	0.00465	0.0029	0.00362	0.11016	0.04868	0.00347	0.00533	0.00313	0.00648	0.05759	0.00963
TTC39A-AS1	0.00016	0	0.00095	0.00418	0.00721	0	0	0	0	0.00391	0
EPS15	0.29402	0.36288	0.28543	0.19799	0.14487	0.24702	0.25543	0.35214	0.25655	0.32216	0.13076
RP11-191G24.1	0	0	0.00136	0.00125	0.00148	0	0	0	0	0	0
OSBPL9	0.16766	0.17102	0.08618	0.31716	0.14252	0.10416	0.25696	0.18635	0.12099	0.28654	0.14069
NRDC	0.26299	0.27569	0.1638	0.32438	0.18855	0.26775	0.27805	0.36345	0.15603	0.27806	0.16331
RP4-657D16.3	0.00138	0.00127	0.00143	0.00159	0.00078	0	0.002	0.0029	0.0021	0	0
RP4-657D16.6	0.00105	0.00016	0.00104	0.00069	0	0	0.00152	0.00082	0	0	0
RAB3B	0.00196	0.00161	0.00378	0.1057	0.06778	0.0056	0.00461	0.00098	0.01497	0.00269	0
TXNDC12	0.32612	0.34144	0.15616	0.52982	0.19493	0.2342	0.29958	0.56528	0.15349	0.31499	0.15846
KTI12	0.02158	0.027	0.03181	0.0551	0.01911	0.04517	0.03468	0.03929	0.05667	0.04163	0.04788
BTF3L4	0.55181	0.55639	0.25959	0.75069	0.26627	0.35378	0.50778	0.63123	0.21163	0.36695	0.25945
ZFYVE9	0.00214	0.00329	0.00891	0.08295	0.04975	0.00142	0.05005	0.00481	0.00811	0.10181	0.00921
CC2D1B	0.05735	0.04571	0.03781	0.05173	0.05093	0.03304	0.02421	0.05551	0.01933	0.03006	0.02111
RP11-155O18.6	0	0	0.00087	0.00034	0.00029	0	0	0.00068	0	0	0
ORC1	0.01799	0.00242	0.00091	0.00569	0.0029	0.00358	0.00481	0.04186	0	0.00752	0
PRPF38A	0.19171	0.17828	0.20257	0.2365	0.10834	0.19689	0.23315	0.29609	0.17519	0.22031	0.12509
ZCCHC11	0.1225	0.20586	0.30789	0.27603	0.27361	0.27892	0.21841	0.20723	0.43873	0.32797	0.2617
GPX7	0.00265	0.00425	0.02069	0.00453	0.00389	0.0332	0.04911	0.01653	0.03734	0.03758	0.00499
FAM159A	0.00153	0.00299	0.06085	0.00042	0.00346	0.04073	0	0.01816	0.1011	0.00704	0
COA7	0.04013	0.05364	0.01654	0.12849	0.03987	0.02035	0.02971	0.05264	0.02522	0.03192	0.0171
ZYG11B	0.1955	0.22572	0.03031	0.15487	0.07843	0.05288	0.21797	0.18403	0.05456	0.15106	0.08084
ZYG11A	0	0.00024	0.00029	0.00306	0.00436	0	0	0	0.002	0	0
ECHDC2	0.03575	0.04545	0.08268	0.32076	0.23078	0.10424	0.09574	0.04719	0.06315	0.0674	0.15428
SCP2	0.68517	0.6632	0.29903	1.23052	0.5089	0.38225	0.6409	0.7079	0.15753	0.61363	0.50597
PODN	0.00054	5e-04	0	0.00954	0.00587	0	0.05496	0.00036	0	0.03146	0
SLC1A7	0.00347	0.00276	0.00275	0.05758	0.03787	0.00128	0.00499	0.00346	0.00107	0	0
RP11-334A14.8	0.00037	0.00027	0	0.00842	0.00643	0	0	0.00053	0	0	0
CPT2	0.07419	0.0854	0.01201	0.10093	0.03705	0.02285	0.0588	0.09699	0.02902	0.01912	0.0123
RP5-1024G6.2	0.00055	0	0.00151	0.00089	0.00161	0.00113	0	0.00169	0	0	0
C1orf123	0.13062	0.13362	0.06711	0.22257	0.09342	0.0947	0.26119	0.19145	0.0374	0.26301	0.06261
RP5-1024G6.7	0.00076	0.00079	0.00691	0.00166	0.00359	0.00144	0.00144	0.00274	0.00308	0.01951	0
MAGOH	0.34196	0.35204	0.42513	0.64705	0.20028	0.39139	0.42149	0.60648	0.29106	0.47229	0.38812
RP5-1024G6.5	0.00058	0.00099	0.00073	0.00353	0.00068	0.00251	0.0058	0.00397	0.00138	0.00838	0
LRP8	0.00782	0.00324	0.01086	0.02659	0.01822	0.02824	0.00247	0.02204	0.01047	0.05985	0.01037
RP11-117D22.2	0.00179	0.00595	0.00176	0.00013	0	0.0013	0.0013	0.00282	0.00946	0	0
GLIS1	0	0	0.00086	0.00302	0.00278	0	0	0	0	0	0
NDC1	0.05531	0.04261	0.00923	0.10778	0.05005	0.01316	0.03538	0.19003	0.01123	0.05268	0.01162
YIPF1	0.08427	0.1021	0.02681	0.12242	0.0539	0.04897	0.08476	0.07947	0.01577	0.06641	0.01186
DIO1	0.00432	0.00456	0.00059	0.09861	0.03286	0.00411	0.00371	0.00866	0.00253	0	0
HSPB11	0.29213	0.2605	0.17795	0.485	0.16215	0.23383	0.24124	0.51219	0.12478	0.17957	0.30402
LRRC42	0.07431	0.05443	0.02225	0.18271	0.06243	0.03022	0.11397	0.08262	0.02551	0.0407	0.02084
LDLRAD1	0.00026	0	0	0.00706	0.00493	0.00071	0	0.0012	0	0	0
TMEM59	0.9709	0.98981	0.64256	1.60373	0.87598	0.78422	1.29298	1.03626	0.63106	1.00408	0.73194
TCEANC2	0.0247	0.03478	0.01581	0.03853	0.04094	0.0289	0.0289	0.06354	0.01552	0.05779	0
CYB5RL	0.00771	0.00951	0.00251	0.02063	0.01271	0.00344	0.00328	0.01398	0	0.0892	0.03046
MRPL37	0.19059	0.14968	0.04985	0.41784	0.12765	0.08224	0.1879	0.32323	0.04535	0.15388	0.0924
SSBP3	0.08957	0.09463	0.06764	0.19694	0.10916	0.07097	0.20105	0.12547	0.0376	0.25892	0.13976
SSBP3-AS1	0	0.00039	0.00049	0.00086	0.00075	0.0017	0	0.00096	0.00073	0	0
ACOT11	0.07389	0.05642	0.00471	0.07547	0.08035	0.00477	0.01871	0.02983	0.00253	0.01575	0.00638
FAM151A	0.00481	0.00499	0.00072	0.11815	0.07759	0.00403	0.00608	0.00319	0.0011	0	0.01496
MROH7	0.00419	0.00412	0.00034	0.00759	0.01084	0	0	0.00168	0.00366	0	0
TTC4	0.01424	0.01246	0.01037	0.02755	0.01751	0.02056	0.01363	0.01932	0.0182	0.01918	0.00902
PARS2	0.00504	0.00632	0.00279	0.02752	0.00658	0.00275	0.00552	0.00297	0	0	0
TTC22	0.00053	0.00037	0.00752	0.05404	0.03304	0.01828	0	0.00346	0.0071	0	0.01241
LEXM	0	0	0.00044	0.00113	0.00091	0	0	0	0	0	0
DHCR24	0.08725	0.07171	0.02732	0.94397	0.53168	0.05963	0.0771	0.10071	0.02306	0.01481	0
RP11-67L3.5	0.00026	0.00025	0	0.0011	0.00071	0	0	5e-04	0	0	0
RP11-67L3.4	0.00066	0.00046	0	0.0147	0.00614	0.00149	0	7e-04	0	0	0
TMEM61	0	0	0.00033	0.01274	0.00474	0	0	0	0	0	0
BSND	0	0	0	0.0027	0.00221	0	0	0	0	0	0
PCSK9	0.00745	0.00503	0.00215	0.11303	0.09315	0.00438	0.01257	0.00944	0.00361	0	0.01184
USP24	0.07926	0.09306	0.06283	0.12277	0.0785	0.04306	0.07397	0.10963	0.0689	0.10335	0.01018
RP11-504A18.1	0.00095	0.00105	0.00031	0.00528	0.00202	0	0.00156	0.00065	0	0.01848	0
RP4-710M16.2	0.00225	0.00313	0.00038	0.07179	0.01678	0.00267	0.00097	0.00379	0	0	0
PLPP3	0.09759	0.01476	0.00314	0.11747	0.06267	0.00394	0.11851	0.01333	0.01094	0.87688	0
PRKAA2	0.00396	0.00237	0.00046	0.11771	0.07062	0.00243	0.01377	0.00296	0.00056	0.00105	0.01414
C1orf168	0	0.00011	0	0.00291	0.00269	0	0	0	0	0	0
C8A	0.00485	0.00523	0.00106	0.15427	0.10275	0	0.0068	0.00727	0.00324	0	0
C8B	0.00185	0.00206	0.00083	0.05827	0.03314	0	0.00145	0.00172	0.00317	0.00494	0
DAB1	0.00085	0.00037	0.00107	1e-05	0	0	0	0.00191	0	0	0.01152
OMA1	0.06896	0.08421	0.07292	0.18918	0.07652	0.10004	0.0502	0.11123	0.09085	0.02714	0.08703
TACSTD2	0.00362	0.00108	0.03012	0.44318	0.34387	0.00588	0.00795	0.00518	0.0276	0.05243	0.00994
MYSM1	0.14305	0.14114	0.12067	0.12879	0.13101	0.1042	0.13353	0.16715	0.0911	0.18109	0.08499
JUN	2.1421	2.4102	2.49368	1.12664	1.37779	1.93841	2.86989	2.33786	1.93019	2.43474	1.85588
RP11-63G10.3	0	0	0.00074	0.00038	0	0	0	0.00041	0	0	0
RP4-794H19.1	0.01948	0.00158	0.00193	0.01174	0.00344	0.00097	0.00294	0.00676	0.00174	0	0.01161
LINC01358	0.02566	0.00429	0.00297	0.00072	0.00114	0.0048	0.01587	0.01124	0.00996	0	0
RP11-467C18.1	0.00019	0	0	0.00049	0.00057	0	0	0	0	0	0
FGGY	0.04905	0.03214	0.01558	0.10525	0.05607	0.03674	0.02839	0.04975	0.01773	0.0192	0
HOOK1	0.01249	0.01457	0.02324	0.33155	0.13221	0.01811	0.0132	0.02846	0.04689	0.00949	0
CYP2J2	0.00309	0.00387	0.00184	0.12821	0.05655	0.00546	0.00204	0.00322	0	0	0
RP11-776H12.1	0.00065	0.00024	0	0.02315	0.02429	0	0	0.00263	0	0	0
NFIA	0.04393	0.09794	0.02264	0.23434	0.16815	0.01227	0.61271	0.07778	0.00872	0.64669	0.18576
TM2D1	0.19911	0.17936	0.10227	0.4165	0.22304	0.13284	0.29483	0.24338	0.10681	0.19917	0.18298
RP11-430G17.3	0.00157	0.00191	0.00727	0.01141	0.0128	0.00246	0.00589	0.00067	0	0	0
INADL	0.00846	0.00627	0.0789	0.24196	0.1955	0.03381	0.03246	0.01826	0.05611	0.0285	0.01241
L1TD1	0.00053	0	0.00076	0.00155	9e-04	0	0.00941	0.00053	0.00276	0	0
KANK4	0	0	0	0.00795	0.0043	0	0.00192	0.00112	0	0	0
USP1	0.18418	0.12818	0.14208	0.20514	0.07701	0.10718	0.16865	0.60613	0.13471	0.10344	0.09265
DOCK7	0.18073	0.16011	0.01709	0.14094	0.09383	0.01321	0.17079	0.1342	0.02002	0.07523	0.01198
ANGPTL3	0.04171	0.03507	0.01501	0.8442	0.42212	0.01979	0.03347	0.04275	0.01406	0	0
RP11-230B22.1	0.00113	0.00025	0.00059	0.01343	0.00846	0	0	0.00173	0	0	0
ATG4C	0.16447	0.22847	0.01971	0.09703	0.03985	0.03439	0.10098	0.21334	0.06719	0.08624	0.05875
FOXD3-AS1	0	0	0	0.00146	0.0011	0	0	0.00033	0	0	0
ALG6	0.05057	0.05215	0.03854	0.13882	0.06162	0.044	0.04642	0.10354	0.03229	0.07552	0.05018
ITGB3BP	0.12338	0.09614	0.05252	0.24929	0.08216	0.13718	0.15626	0.28764	0.07351	0.1493	0.07812
EFCAB7	0.00823	0.01277	0.00972	0.03381	0.01833	0.01577	0.0355	0.01737	0.01808	0.008	0.00801
PGM1	0.15405	0.10984	0.0421	0.2543	0.08803	0.06281	0.08282	0.18329	0.03502	0.07554	0.01836
ROR1	0.00501	0.00234	0.00028	0.03001	0.01604	0.00133	0.00859	0.00029	0.00716	0.00807	0
ROR1-AS1	0.00089	0	0.00027	0.00285	0.00159	0	0.0017	5e-04	0	0	0.00499
CACHD1	0.00063	0.00062	0.00042	0.01526	0.00918	0	0.00288	0	0	0.10921	0
RAVER2	0.0044	0.00513	0.00653	0.08342	0.06037	0.00065	0.01013	0.01352	0.01494	0.0819	0
JAK1	0.61125	0.66424	0.82581	0.43253	0.23466	1.15935	0.83642	0.74575	0.54415	0.74573	0.29511
RP4-535B20.4	0.00162	0.00093	0	5e-04	0.0017	0	0	0	0	0	0
RP4-535B20.1	0.00031	0.00022	0.00056	0.00013	0.00253	0	0	0.00063	0	0	0
AK4	0.27259	0.07389	0.01323	0.61984	0.25117	0.03834	0.13795	0.13018	0.0121	0.07178	0
DNAJC6	0.00102	0.00037	0.00443	0.00756	0.00564	0.00234	0.0137	0.00036	0	0.00468	0
LEPROT	0.52351	0.4579	0.10634	0.50262	0.24172	0.20382	0.83031	0.41354	0.08403	0.80182	0.19938
LEPR	0.04696	0.03821	0.00492	0.02625	0.01224	0.00975	0.05655	0.02558	0.0118	0.25802	0.01133
PDE4B	0.23012	0.23405	0.4719	0.01469	0.03387	0.32793	0.08941	0.21783	0.4126	0.201	0.06472
SGIP1	0.00261	0.00055	0.00146	0.00038	0.00185	0	0.20184	0.00158	0	0.03719	0
TCTEX1D1	0.03216	0.02115	0.00036	0.00085	0.00041	0	0.01024	0.05145	0.00466	0.15141	0.22618
WDR78	0.00214	0.00259	0.00211	0.00812	0.00359	0.00137	0.02193	0.00089	0	0.01249	0.015
MIER1	0.25501	0.26705	0.38556	0.2727	0.1412	0.40987	0.42044	0.41681	0.27895	0.32399	0.38439
SLC35D1	0.03189	0.03696	0.06686	0.14743	0.06654	0.1106	0.04756	0.04521	0.03653	0.06771	0.04045
IL23R	0.00116	0.00149	0.02944	0.00126	0.00304	0.03639	0	0.00792	0.0046	0	0
IL12RB2	0.00079	0.00109	0.0123	0.00021	3e-04	0.03742	0.00376	0.00581	0.0016	0	0
SERBP1	1.04783	0.99689	0.79802	1.18256	0.51399	1.15291	1.00924	1.36814	0.68346	0.97786	0.71893
RP11-393N21.2	0.00034	0	0.00039	0.00453	0.00091	0	0	0	0	0	0
GADD45A	0.13394	0.08992	0.32484	0.16827	0.11438	0.70487	0.40347	0.20904	0.20385	0.49336	0.31267
GNG12	0.02744	0.02407	0.00885	0.27981	0.11886	0.00427	0.43004	0.03195	0.00423	0.30622	0
GNG12-AS1	0	0.00025	0.00042	0.00412	0.00371	0	0.00202	0	0	0.02259	0
DIRAS3	0.00044	0.00043	0.00069	0.00244	0.00364	0.03015	0.01248	0.00366	0.00066	0.01103	0
WLS	0.05507	0.11708	0.00414	0.08967	0.08108	0.00814	0.17579	0.0751	0.00218	0.22926	0
DEPDC1	0.00851	0.00141	0.0015	0.05614	0.0133	0.00647	0.02388	0.36146	0	0.00612	0.00889
DEPDC1-AS1	0.00104	0	0	0.00127	0	0	0	0.01018	0	0	0
RP3-380B4.1	0.00012	0	0	0.00034	0.00016	0	0	0	0	0	0
LRRC40	0.09138	0.08401	0.05696	0.11813	0.0406	0.04515	0.11362	0.12899	0.05783	0.06291	0.03638
SRSF11	0.5825	0.60044	0.57271	0.73298	0.59001	0.65886	0.76285	0.83017	0.46029	0.85843	0.65078
RP4-677H15.4	0.00124	0	0.00056	2e-04	0	0	0	5e-04	0.00289	0	0
ANKRD13C	0.07216	0.06917	0.0638	0.07471	0.04893	0.06436	0.07784	0.073	0.0629	0.07514	0.04997
HHLA3	0.04374	0.03975	0.01116	0.10549	0.03302	0.03682	0.04178	0.04535	0.01544	0.04099	0.02284
CTH	0.01047	0.00511	0.02691	0.10883	0.03481	0.00252	0.01676	0.00806	0.03077	0.00663	0
RP11-42O15.3	0.00028	0	0.00067	0.00626	0.00154	0	0.00241	0	0.00174	0	0
PTGER3	0.00122	0.00101	0.00073	0.00041	0	0	0.09026	0.00176	0	0	0.0301
ZRANB2	0.26527	0.30365	0.28719	0.57405	0.48149	0.34953	0.52031	0.45176	0.31371	0.42295	0.22578
NEGR1	0.0015	0.00328	0.00228	0.00044	0	0	0.02065	0.00802	0	0	0
RP4-660H19.1	0.00026	0.00028	0	0.00844	0.00054	0	0	0	0	0	0
LRRIQ3	0.00277	0.00282	0.00261	0.02561	0.01118	0.00152	0.00185	0.00225	0.00153	0.00276	0
FPGT	0.06496	0.07285	0.01504	0.13372	0.05074	0.01846	0.07139	0.05495	0.0036	0.02533	0.01805
FPGT-TNNI3K	0.00279	0.00129	0.00106	0.0024	0.00429	0	0.00825	0.00226	0	0.00857	0
ERICH3	0	0.00068	0	3e-04	0.00044	0	0	0	0.00276	0	0
RP11-17E13.2	0.00248	0.00178	0.00025	0.02061	0.01471	0.00086	0	0.00155	0.00321	0	0
CRYZ	0.09755	0.08208	0.04269	0.60443	0.26237	0.04546	0.11083	0.10132	0.03181	0.04297	0.07661
TYW3	0.13733	0.14415	0.09421	0.31081	0.12954	0.14507	0.16975	0.20234	0.10104	0.08824	0.0817
SLC44A5	0.00191	0.00141	0	0.06054	0.05586	0	0.00208	0.00521	0	0.00658	0
ACADM	0.22923	0.20918	0.0721	0.2606	0.09191	0.13139	0.20855	0.27124	0.08972	0.15402	0.09904
RABGGTB	0.2933	0.31533	0.24905	0.73869	0.37557	0.24649	0.31625	0.29215	0.30135	0.22552	0.2371
MSH4	0.00024	0.00036	2e-04	0.00058	0.00073	0	0	0	0	0	0
ST6GALNAC3	0.00114	0.00269	0.00367	0.00213	0.00131	0.00211	0.00059	0.00139	0.01182	0.09906	0
ST6GALNAC5	0	0	0	0.00552	0.00242	0	0.00353	0	0	0	0
PIGK	0.08029	0.08804	0.03627	0.19165	0.08573	0.06408	0.18051	0.15372	0.03424	0.16746	0.06248
AK5	0.00112	0.00058	5e-04	0.00566	0	0	0.00579	0.00118	0	0.00269	0
ZZZ3	0.1119	0.11818	0.07443	0.1895	0.12312	0.06942	0.09702	0.10763	0.06726	0.13548	0.05627
USP33	0.17886	0.20309	0.11902	0.19746	0.12528	0.12602	0.21897	0.22833	0.07965	0.19588	0.09278
FAM73A	0.07515	0.08822	0.07037	0.21144	0.12058	0.07087	0.11438	0.08743	0.05044	0.17256	0.05618
NEXN-AS1	2e-04	0	0	0.00055	0.00119	0	0.00515	0	0	0	0
NEXN	0.00391	0.00933	0.00537	0.00245	0.00188	0.01001	0.31289	0.02044	0.01026	0.01352	0
FUBP1	0.17282	0.1847	0.2073	0.2448	0.14865	0.30648	0.18865	0.35485	0.14683	0.27837	0.15805
DNAJB4	0.58032	0.55691	0.54471	0.2931	0.28342	0.5489	0.81625	0.5164	0.28324	0.78612	0.45241
GIPC2	0.00176	0.00285	0.00371	0.12376	0.04503	0.00112	0.00863	0.00067	0	0.16004	0
