DC	Mono/Macro	CD8T	Malignant	Epithelial	Treg	Fibroblasts	Tprolif	B	Endothelial	Mast
CDK11B	0.09922	0.10199	0.15436	0.0844	0.06262	0.17921	0.16083	0.20396	0.16309	0.14939	0.08133
RP11-345P4.10	0.00103	0.001	0.00104	0.00175	0.00117	0.00147	0.00094	0.00261	0	0.0044	0
SLC35E2B	0.07802	0.10066	0.10298	0.09079	0.08304	0.08113	0.20148	0.10254	0.11214	0.1853	0.01943
RP11-345P4.7	0.00065	0.00067	0.00248	0.00095	0.00034	0.00099	0.0015	0	0.00473	0	0
CDK11A	0.09704	0.10311	0.13458	0.0538	0.05414	0.16066	0.1241	0.1556	0.0931	0.13206	0.07044
SLC35E2	0.00012	0.00429	0.00171	0.00507	0.01029	0.00327	0.00432	0.00243	0.00209	0	0
NADK	0.18068	0.2325	0.03988	0.09518	0.06578	0.03473	0.10763	0.14725	0.07636	0.14176	0.03731
GNB1	0.81477	0.70052	0.35148	0.28598	0.17074	0.33844	0.59589	0.80246	0.34728	0.82529	0.35147
RP1-140A9.1	0.00216	0.00137	0.00095	0.00139	3e-04	0	0	0	0	0.00289	0
CALML6	0	0	0	4e-04	0.00083	0	0	0.00047	0	0	0
TMEM52	0.00178	0.00231	0.00127	0.03304	0.00742	0.00178	0.0028	0.00292	0.00685	0	0
CFAP74	0.00031	0.00027	0	0.00063	0.00103	0	0.00786	0	0	0	0
RP11-547D24.1	0.00017	0	0	0.00034	0	0	0	0	0	0.05836	0
GABRD	0	0.00012	4e-04	0.00322	0.00162	0	0.13973	0.00102	0	0.15032	0
PRKCZ	0.00254	0.00413	0.03209	0.0413	0.02864	0.04932	0.00603	0.00665	0.02276	0.06286	0.04854
RP5-892K4.1	0.00076	0.00227	0.00342	0.00118	0.00061	0.00261	0	0.00263	0.00313	0.01106	0
RP11-181G12.2	0	0.00012	0.00028	0.00037	0.00027	0.00099	0	0	0	0	0
FAAP20	0.40192	0.40098	0.1817	0.38254	0.16713	0.27091	0.51161	0.47454	0.17599	0.2838	0.1494
RP11-181G12.4	0.00022	0	0.00035	0.00031	0.0015	0	0	0	0	0	0
SKI	0.04694	0.07054	0.24518	0.05544	0.05768	0.11854	0.19772	0.11025	0.13646	0.35105	0.1453
MORN1	0.00409	0.00502	0.00345	0.01349	0.01187	0.00352	0.00989	0.01056	0.01168	0	0
RER1	0.47764	0.47267	0.19847	0.50349	0.19483	0.33739	0.49131	0.67108	0.21677	0.30615	0.2439
PEX10	0.0482	0.05106	0.01172	0.05899	0.02661	0.01117	0.05825	0.05486	0.016	0.02978	0.01637
PLCH2	0.00049	0.00133	0.02069	0.03462	0.04419	0.017	0.00336	0	0.01978	0	0
PANK4	0.02365	0.03046	0.01917	0.01662	0.01063	0.01862	0.05005	0.04207	0.00678	0.04005	0.01173
HES5	0.00249	0.00267	0.00132	0.00099	0.00017	0	0.09972	0.00429	0	0.07378	0
RP3-395M20.12	0.10085	0.12068	0.06887	0.02853	0.03068	0.07721	0.1659	0.05557	0.07848	0.00795	0
RP3-395M20.8	0.03734	0.03596	0.04246	0.02494	0.03865	0.05573	0.00713	0.03664	0.02678	0.01581	0.03328
TNFRSF14	0.53566	0.50095	0.25326	0.13768	0.16243	0.35247	0.19011	0.39465	0.26127	0.3095	0.2208
RP3-395M20.9	0.00225	0.00169	0.00437	0.00213	0.00074	0.01515	0	0.00541	0.00603	0	0
FAM213B	0.18871	0.08118	0.02323	0.05382	0.02121	0.04109	0.04153	0.07759	0.01759	0.06474	0.0186
MMEL1	0.021	0.01414	0.00138	0.034	0.02146	0.02312	0.00227	0.00618	0	0.01347	0
TTC34	0.00211	0.00292	0.00073	0.00168	0.00195	0.00235	0.00248	0.00317	0.00549	0	0
LINC00982	0.00056	0.00019	0	0.00926	0.0095	0	0.01884	0	0	0	0.01088
PRDM16	0	0.00043	0.00014	0.02168	0.01282	0	0.03129	0.00071	0	0.02473	0
RP11-22L13.1	0.00022	0.00045	0	0.00031	0	0	0.00309	0	0	0	0
ARHGEF16	0.00439	0.00503	0.00322	0.08338	0.10313	0.00288	0.0194	0.00685	0.00485	0.00351	0
RP11-168F9.2	0	0	0	0.0023	0.00152	0	0	0	0	0	0
MEGF6	0.00787	0.00754	0.01276	0.00757	0.00817	0.00355	0.0234	0.00311	0	0.04342	0.00921
RP11-46F15.2	0.00024	9e-04	0.00205	0.00061	5e-04	0	0	0	0.00606	0	0
TPRG1L	0.06977	0.0728	0.05632	0.06524	0.02886	0.05622	0.07141	0.05746	0.04012	0.09124	0.04763
WRAP73	0.04238	0.0502	0.04409	0.04564	0.02869	0.05981	0.07758	0.07597	0.0594	0.07133	0.01034
TP73	0.00151	0.00019	0.00083	0.00084	0	0.01316	0.00069	0.01349	0	0	0
TP73-AS1	0.02052	0.02061	0.00781	0.01432	0.01497	0.01036	0.04311	0.01987	0.01283	0.05422	0.0189
SMIM1	0.02366	0.02802	0.00886	0.1303	0.03935	0.02896	0.02282	0.01303	0.0211	0.02046	0.14404
LRRC47	0.0658	0.07336	0.03719	0.08037	0.03194	0.0528	0.08477	0.10129	0.03129	0.10347	0.01765
CEP104	0.05609	0.06733	0.03886	0.04791	0.02848	0.04397	0.05552	0.06708	0.03308	0.04863	0.01034
DFFB	0.00855	0.0113	0.01122	0.01182	0.01423	0.01152	0.01521	0.01301	0.00913	0.04318	0.00856
C1orf174	0.09891	0.09123	0.08595	0.07863	0.04252	0.08109	0.10635	0.15821	0.07732	0.06575	0.07039
